Attacker,Fast Move,Charged Move,Level,"Arceus (Fairy), Tier 5","Arceus (Fairy), Tier 5","Arceus (Grass), Tier 5","Arceus (Grass), Tier 5","Shaymin, Tier 5","Shaymin, Tier 5","Tapu Bulu, Tier 5","Tapu Bulu, Tier 5","Tapu Fini, Tier 5","Tapu Fini, Tier 5","Tapu Koko, Tier 5","Tapu Koko, Tier 5","Tapu Lele, Tier 5","Tapu Lele, Tier 5","Xerneas, Tier 5","Xerneas, Tier 5","Zacian (Hero), Tier 5","Zacian (Hero), Tier 5","Mega Audino, Mega Tier","Mega Audino, Mega Tier","Mega Gardevoir, Mega Tier","Mega Gardevoir, Mega Tier","Mega Altaria, Mega Tier","Mega Altaria, Mega Tier","Azumarill, Tier 3","Azumarill, Tier 3","Bellossom, Tier 3","Bellossom, Tier 3","Gardevoir, Tier 3","Gardevoir, Tier 3","Granbull, Tier 3","Granbull, Tier 3","Grotle, Tier 3","Grotle, Tier 3","Kirlia, Tier 3","Kirlia, Tier 3","Ludicolo, Tier 3","Ludicolo, Tier 3","Meganium, Tier 3","Meganium, Tier 3","Mr. Mime, Tier 3","Mr. Mime, Tier 3","Tangela, Tier 3","Tangela, Tier 3","Togekiss, Tier 3","Togekiss, Tier 3","Togetic, Tier 3","Togetic, Tier 3","Wigglytuff, Tier 3","Wigglytuff, Tier 3"
Salazzle,Poison Jab,Sludge Wave,35,1.9253752538194653,1.5745655842041384,1.9626354905203733,1.575326716224728,1.6241171661678049,1.6003372591336311,1.53706948943716,1.512942642274863,1.7315766886741268,1.5949497540001554,1.7737631585492792,1.6330256390624018,1.8565574299658116,1.7293410415754857,1.8095197929700362,1.6703692299848536,1.6693795136330143,1.6112732384785444,1.6002273011090196,1.5689937099098172,1.8088280783130173,1.5449689538460405,1.662048830183522,1.6428694307148521,1.6425665895200847,1.6647112154450157,1.5109436121558661,1.5670595119646464,2.074236260617889,1.8858323020552579,1.6254599034065942,1.6020876342084192,1.527430446703825,1.5796144320425822,1.8285995325113633,1.8570825479792257,1.624705287910786,1.58729148422438,1.5734319266880408,1.555587173467544,1.9504634781739927,1.8935944954350967,1.5220882666966344,1.566889184314068,1.631791375747905,1.618730050254607,1.6560291350519787,1.6336320379861284,1.513062885904335,1.5406274891485552
Salazzle,Poison Jab,Poison Fang,35,1.8909064309797676,1.707162117114972,1.9004841795177025,1.7073427986512069,1.7713076201725162,1.7656548737305593,1.6881209592167008,1.69146048430243,1.8084039457919698,1.7436903714032752,1.866588778378401,1.7839802940261869,1.9832367890226041,1.8950770504523304,1.8957925569913316,1.8104308765891979,1.7785168187744462,1.7689574513916446,1.756139164934093,1.7419916170745515,1.8734195899851995,1.6738518948310708,1.811227504922982,1.7718173930869117,1.7939025929346488,1.827846543305725,1.6939116712779183,1.759965064570581,2.1888189935848814,2.0607225904984174,1.7798973637977245,1.7703818184897042,1.7134763909475352,1.7842865950968185,2.0344960689995664,2.0713528428901054,1.798599269110624,1.7782083202292747,1.750358859282368,1.7400848308455001,2.0902402197760312,2.036164060474214,1.7063591496662236,1.7634815546561935,1.8150713815433082,1.782940487493405,1.816415873734428,1.8202013971194517,1.6868287929790682,1.7142567105511728
Salazzle,Incinerate,Sludge Wave,35,2.7065428684077193,2.216912946090526,1.9470443061593272,1.6764420306773196,1.637535448121267,1.673292021057257,2.0152389362511176,2.0949791694219018,3.1987456220275643,2.867194579368833,2.5677876260779895,2.3571371916270816,2.7932879144064406,2.591190710449905,2.5191688210750653,2.3577595883459765,2.2037333937985375,2.2109994671503888,2.12190010505494,2.1267870943447114,2.677773327737541,2.418209036481967,2.717007820863505,2.7973023508144923,2.6208407996261642,2.6794848349933957,1.5582973302148377,1.637262429136281,2.734306198500157,2.5540589297195515,2.1092344170558492,2.1277233049101234,1.5645724514488397,1.6497823070621163,2.367076448459909,2.496767306889225,2.105195200246833,2.087875932178053,1.6177407609558427,1.6240102608965545,2.708185756253967,2.639491597563152,1.5645477025784926,1.638825542598397,2.1421475173685796,2.2095520294488535,2.1984990977299605,2.2402609556476136,2.006089513786776,2.0812770181367446
Salazzle,Incinerate,Poison Fang,35,2.4365776319678885,2.219989883688155,1.9292409623235662,1.787270226779143,1.7568154406767926,1.8139994750133432,2.122885070913041,2.204484672188645,2.7886958636027193,2.7111030922564927,2.4288835722917437,2.350010161086169,2.583347542356216,2.5150078896606898,2.4092355485080508,2.343197581032168,2.213671560569129,2.255865903293464,2.176749163201841,2.266384589429649,2.549843589540983,2.284026354708885,2.61854064384943,2.6887913380364807,2.6605777898792025,2.7627825386254172,1.718306960509164,1.8086908585124148,2.730565938727789,2.6233635977201195,2.2089637966091393,2.2271127973713996,1.7204448380207324,1.8359495191055508,2.545185768187902,2.6637743090539976,2.2202328638647173,2.2296534359574376,1.7929669478874055,1.7953626817172874,2.672188884031414,2.6427487365592484,1.7239066855568659,1.806851475890868,2.254032645300178,2.298809570364463,2.272396319782908,2.3671696516404404,2.1201594656968403,2.2015570953369448
Muk (Alola),Poison Jab,Gunk Shot,40,1.4850964589047355,1.4645444720876883,1.4890309476082388,1.4659637300644994,1.5655319591193955,1.569839200698753,1.5944288967527624,1.5687365020184942,1.505404350028159,1.5233704362872644,1.5810942360794553,1.5658927239172715,1.6639640033600067,1.6081579575053424,1.6601124172985005,1.6513229361762163,1.5623897964967974,1.6021094042287856,1.5869288887800814,1.5791436404459744,1.4525745127501297,1.4687708291592487,1.5737437647404744,1.5780168509894623,1.610672113534258,1.6851907998101385,1.5945156438044605,1.659927218357583,1.7234967457762151,1.7554104048940138,1.5740529708981073,1.6163388049497098,1.5538994833521966,1.6348038774630747,1.7827512617847099,1.8952159790855752,1.5214453993343986,1.5586150053991652,1.6187945110290836,1.6482815680290754,1.6771371076490214,1.7552099786264692,1.5745164212069476,1.6493219697694654,1.5618143201588353,1.616237129429172,1.6254094726539425,1.7140613904286002,1.5494516830372778,1.6062900266135207
Beedrill,Poison Jab,Sludge Bomb,35,2.001251024823576,1.7662467839523888,2.0199427697126113,1.773127090499521,1.779110802685334,1.7756506963115828,1.8053739358918521,1.7713445036936237,1.8871326165336466,1.8778315327424868,2.0215795566052734,1.8890748666307295,2.100729157993584,1.995247394010298,1.9905514796019117,1.9275647699923555,1.8518200555524067,1.8385063431778246,1.8353667149529638,1.8120575391843805,2.1125189314927537,1.8404244990907532,1.9123275610377293,1.8861836380992216,1.8162934133499158,1.8506404147518,1.7587927660700262,1.832272424031863,2.338662860994326,2.1833212474599195,1.8794298432425374,1.852102759386087,1.7862201364783659,1.8695931694519559,2.1027012836487597,2.173865491687654,1.8117527041268224,1.822057424059801,1.7903586556269087,1.8379059455653437,2.2669327914778457,2.146355555991894,1.755611238130852,1.8129584018119413,1.9920154219264974,1.9783126273754583,1.9126722614456468,1.8912522090381219,1.872657507520612,1.8108064813699833
Drapion,Poison Sting,Sludge Bomb,45,1.5049491846244072,1.5073132182613587,1.513574558260601,1.5106168686547354,1.6772781497684708,1.6786964629994963,1.6775128204039615,1.6772443126542047,1.6959734037503322,1.6924919464208774,1.6863989076230614,1.6742687026740106,1.7187103899687364,1.7286125158812067,1.6697114242050204,1.6879044324914114,1.611660744855734,1.6504224477070464,1.6329866332397907,1.639267764830467,1.495048328340416,1.498013361656994,1.668413609172173,1.710036754124227,1.680511595903995,1.7681133797194024,1.6458481860635539,1.7286180949493988,1.876528007987956,1.952259538118247,1.6558260466754293,1.7125529194300677,1.6753908765017593,1.7736187413872302,1.9274902292685576,2.0255225885836103,1.6436816002477217,1.7021054106052003,1.70781017018641,1.7611546852802562,1.7646187212726405,1.872220242656855,1.6876358019329576,1.7812392906327807,1.679331759257419,1.7357948837617807,1.6711531956278147,1.7737745978959885,1.6629930378411344,1.7239117898227865
Shadow Venusaur,Vine Whip,Sludge Bomb,40,1.469649906108785,1.3912799794413204,1.658499198338973,1.586876906192326,1.5311040612311129,1.5603506546306043,1.670687180381055,1.7223363923084063,1.2058639163140876,1.1882678285987007,1.492168799883454,1.411060866682767,1.6356919354899557,1.5053998626263343,1.527682410265224,1.5145309937008296,1.40093182926138,1.4473953177257526,1.4258071401988022,1.4542189293045824,1.603213007812774,1.3864906507805095,1.6155713247428765,1.6182546449965731,1.260043160385169,1.3059285737939563,1.6255209127445918,1.723958430635666,1.6251325183957397,1.658875669197618,1.4402673088714046,1.4990049310302,1.5914030942041684,1.684635339467441,1.6677109457278314,1.7366709278378192,1.4016851518371929,1.4343843644641943,1.6116781159800035,1.6749749005774635,1.6267161339839142,1.6226432664715078,1.6409805433238738,1.7451987274143281,1.5809183790565418,1.642590314368561,1.646668472035847,1.751431444266326,1.397442660512451,1.4744907637053004
Venusaur,Vine Whip,Sludge Bomb,50,1.4526534725591824,1.469286611245752,1.6511675140353046,1.691258178551133,1.7498967296666188,1.8277875468380218,1.884537502209862,1.9695764378361702,1.3121922531850245,1.3296813321494068,1.5077302196662925,1.5555148335238131,1.6951584098384498,1.6888440245670067,1.5848709839573862,1.619611928070503,1.4840791338359507,1.5333431891616125,1.5221922478366738,1.5727591761276996,1.4141149068031615,1.4419422987073178,1.7683329778709111,1.8499036938412512,1.4287751538945535,1.4939718960765627,1.7798921804782242,1.8888736050988735,1.8248223083024155,1.8767313535163554,1.540730901123935,1.6390501331844134,1.7394013325819604,1.8506381144959725,1.869641133109678,1.9715678084298733,1.6022301880908032,1.6387117018555963,1.8661257202990351,1.94834284829076,1.7841269048343682,1.7936902749568169,1.7879555514333438,1.9069394327672982,1.8171818314114692,1.90080039388226,1.7742008598614822,1.920786007165927,1.5849674484273277,1.6709537561079078
Nihilego,Poison Jab or Acid,Sludge Bomb,50,1.025358350397638,1.032277727510834,1.0308553040986996,1.0365113628719198,1.07442304675887,1.0822806025198013,1.0780566927839583,1.088571831149959,1.0559337447864916,1.073963366149064,1.0287936985448156,1.0439007636116433,1.1075092131056412,1.1285511775352455,1.0967766283292202,1.1150941022328507,1.0585555920866168,1.0866544980443287,1.0559048591327016,1.1212933921192036,0.9652456953852712,0.9742885431571318,1.0729989501779726,1.1117859605457419,1.1313150119399362,1.179276943965089,1.1053843017765421,1.1622037162811636,1.2031209366626578,1.258151629321498,1.0890404761070487,1.149778360071859,1.1053508801007725,1.1719375476514073,1.2454865283765786,1.3310322705035498,1.0655988938184118,1.1084760522308252,1.106266667683089,1.1472287638964942,1.1654872772339266,1.2030111499259926,1.1078673720883403,1.1695547504156154,1.0808163312406203,1.1505927786970216,1.1195616621667168,1.184221498278163,1.073483449129951,1.1115895309104609
Shadow Roserade,Poison Jab,Sludge Bomb,45,1.1020288825422402,0.9826532280172929,1.1065062891550634,0.9848886165166431,1.008257846435137,1.0170093501790975,1.0072944071325656,1.0012726081803065,0.9956037059136618,1.0014256091573028,1.1058868278510272,1.022686444469177,1.152261870104363,1.0933648902049453,1.126257416981903,1.0791443320683929,1.0061314437957032,1.0122783969162747,0.9985117924806984,1.0027054948529412,1.1338767617763734,0.98628037074279,1.068721556966822,1.0564882935526019,1.046632974828628,1.0680345651030072,0.9951922804573125,1.0419788627695112,1.2045833711258311,1.1845743256492107,1.0279406184514395,1.0294757684145956,0.9739637920338687,1.031408398012966,1.1602785371135975,1.2039761750599185,1.0043417985319936,1.013005521557268,0.9954604725062625,1.0259965916088718,1.1674435819057842,1.164283825013095,0.9996399607866424,1.0355177620708422,1.0948654395883726,1.0555701580337171,1.0423654025765998,1.0735343863755358,1.014056197724428,1.018943131689975
Shadow Muk,Poison Jab or Acid,Gunk Shot,45,1.2679654844138868,1.2386891868295744,1.2682585417459884,1.2420657580544179,1.313206842515965,1.3115026813520005,1.2931978864466949,1.261427620139395,1.3198569321781026,1.307567808365412,1.3085318393881296,1.291510845197199,1.502889687522466,1.3504698488608065,1.3110302381551786,1.322464393376667,1.2656430814579673,1.3019305935037697,1.2859093005864866,1.2800804234448522,1.271213644115248,1.2502403334458467,1.276121663398483,1.3113176612367194,1.3106931418037584,1.3654286418644699,1.256827685830631,1.3199628377910106,1.4645544484692918,1.4734606426738515,1.2425989181567643,1.3003159292955635,1.268414776790154,1.3327745265640318,1.4922160268470073,1.5304729665407386,1.2648494789992977,1.3093370054631694,1.2574527465081018,1.2956442103507162,1.5233493264248108,1.4769587735139158,1.2623556510207465,1.3189438697066997,1.262518166729386,1.321046865193412,1.284853149488299,1.3692366024402953,1.258820520582117,1.2988915175893387
Mega Gengar,Lick,Sludge Bomb,45,0.940102038321001,0.938748863631001,0.9429945372809798,0.9431175951304706,0.9701645702154635,0.9748518031230646,1.04847830522266,1.054440907508132,0.9767548296773799,0.9757648161584502,0.9751202968297985,0.9642262140893288,0.9743849175680962,0.9252586090871187,0.9603406375482516,0.9835469846251188,0.96371847400941,0.9896515163539483,1.121878558096046,1.1642760225673117,0.8498565226875954,0.8033475097577151,0.9651360523792859,0.9773237613860136,0.9862878389267672,1.050459016031526,0.9651826893350216,1.0102945616558803,0.9745388529797923,0.986357152933916,0.9652963154663055,0.9954880695791312,0.9720366152228783,1.0141025434604511,0.9996832628629584,1.030662057503852,0.9602194266691638,0.9984730010721179,0.9804554331465062,1.0115497824364303,1.0195257975226109,0.9892273303992133,0.9765577012322306,1.020137495393183,0.975426593591592,0.9999448667409898,0.9650467364687476,1.0195869083166786,1.0734184896026089,1.1485299316488784
Mega Gengar,Hex,Sludge Bomb,45,0.9445166200535503,0.95674740410204,0.9507240412455846,0.9626216836103118,0.9763549386211472,0.9836915986651522,1.03687696008855,1.0519329393884609,0.9698835447518673,0.9887352991841817,0.9890854002327479,0.9993618516949071,1.0226062941623206,0.9891226985301592,0.9778269113813027,1.0045242282691196,0.9667643330876936,0.9939016155546738,1.086206988427893,1.119351231107507,0.9296346479901187,0.9027388457170122,0.9885741263389373,1.01988772909208,0.988302542157725,1.0437345691504434,0.9653092451428182,1.0217964807843085,1.020757931827639,1.0449283291997224,0.9711270967163875,1.0092994280399414,0.9639072780569119,1.010090306815868,1.0047076612660193,1.03305934908531,0.9726765605433116,0.9940365231134607,0.9837827376847011,1.0083443651344302,1.0489571380143348,1.0455232819024924,0.9716874388518136,1.0071225276748452,0.9919705460180005,1.0226527688115,0.985104056422036,1.046971674565934,1.0735377477824828,1.1026015296422034
Mega Gengar,Shadow Claw,Sludge Bomb,45,0.9743670762528803,0.9761948338166253,0.9806129906765076,0.9796600558091649,1.0295858824677189,1.031577962926455,1.1453807655370625,1.15221249344451,1.0022470119384994,1.003812793538407,1.0122178321388566,1.004723959451478,0.9572100744301297,0.8861576451813665,1.0032738745200966,1.021413196362808,0.9911764639192792,1.0232911966441813,1.2417679225711964,1.286486743638994,0.8916959121874788,0.8057511569467571,1.0103056493677254,1.0323627621707918,1.0353551625045534,1.0774309452234738,1.029674022371451,1.0759664795850417,0.9732880307515301,0.9833820656969845,1.0001593347039552,1.030065296715571,1.017842581060667,1.0613935757615938,0.9793017395912497,1.0199838262719285,1.0110779866845792,1.0338354583278904,1.000441587357425,1.0377661383180028,0.988723599993301,0.9769761420343605,1.0169652734735835,1.0762588572345553,1.0158831995497024,1.0515162607854438,1.006384602087098,1.075201269645049,1.2036838017673854,1.2832208325646088
Mega Gengar,Sucker Punch,Sludge Bomb,45,1.0474662671624433,1.061322010614834,0.983869743976015,0.9910814242950345,1.021587836590472,1.0318585806707659,1.1683627699906702,1.1734855646244564,1.0977326258985234,1.106782361555549,1.1133889531972234,1.1215346713109269,1.1741114242084874,1.1023649534880102,1.1060514607470449,1.1397683682528208,1.0780362564480475,1.1178682841108782,1.0887950176017032,1.1268033897150573,1.0494240788503577,1.006565535158804,1.1142707464089667,1.1466660592745668,1.1544592809546061,1.2124575663135586,1.0090285515928856,1.0635153466996354,1.1849213573530346,1.2000990459602614,1.1160520631045447,1.1613372087736455,1.0186605988568398,1.0561929071028417,1.1881365163775777,1.2530337142931984,1.0290525734056413,1.0534999555457254,1.0302585550734165,1.082255619430044,1.197238910567857,1.1756244149133075,1.025097726681981,1.091098917870328,1.125098467359508,1.1612541406039145,1.1311505621932065,1.1848818778658423,1.099620240858438,1.175709887215678
Mega Gengar,Shadow Claw,Sludge Wave,45,1.2228185469149324,1.1795835408721735,1.2254537225924234,1.1802654264477082,1.272878877582878,1.2426787327636155,1.495513749767599,1.461440260510192,1.2101117040767713,1.1940682527674715,1.2560098555085524,1.2250864551976337,1.1390645083971207,1.0164467956532452,1.2082749135936073,1.2297874357510126,1.2502184683407973,1.2502046822742476,1.6325161526893193,1.6749770223693732,1.0258858910072794,0.9466516389201677,1.2815561385599425,1.2503619711806253,1.2343077228757402,1.2699569867943203,1.2243123349124685,1.2828432660558642,1.1451788953918598,1.1255480015198378,1.225843211983942,1.256074067257472,1.2240433018103984,1.273757985310344,1.115710246703761,1.1552618600334619,1.2120380477978654,1.2317723973241272,1.1948215424519526,1.223203142592931,1.161410078419664,1.127867682770832,1.2298237770812548,1.2709413675895678,1.223106733501853,1.253917980943125,1.2273014104265356,1.2768766563899498,1.7032764790168575,1.768821967809682
Mega Gengar,Lick,Sludge Wave,45,1.2611312679411162,1.1939272955511824,1.2623859596542302,1.1922530933070123,1.2373511901294223,1.201927018983565,1.3786841213792809,1.3446539682473566,1.233335996738617,1.200270464510769,1.262827583274199,1.1962306897812944,1.294837233672478,1.123490338918272,1.2020312506791568,1.2072748420508408,1.2373874496910608,1.243752621733462,1.5058772612625917,1.5439901245421948,1.074655112036423,0.9764732789446219,1.245350406573087,1.21671341515181,1.2105224135964412,1.242361568491815,1.157834829002011,1.221678844147728,1.1819741605932126,1.1621709947382026,1.2209079786615569,1.2312536203936457,1.1960522614588316,1.2631124833664034,1.1554471066248235,1.1956388078511977,1.1984315988821532,1.221086151396415,1.2061273834852893,1.2226767127048566,1.269760120953048,1.1857198710311558,1.203442521236343,1.25002834020614,1.2102806218775184,1.23490948208714,1.2077336077245757,1.2609376768318694,1.5357379590114222,1.6040084336910156
Mega Gengar,Hex,Sludge Wave,45,1.3148559626820497,1.2687629054837017,1.312081631269649,1.2763662518170495,1.29558141754372,1.2509417576033348,1.3797646407815691,1.3672095804718607,1.2562381462355559,1.2463155868920937,1.3634973553093999,1.3032120838181294,1.374639410067937,1.2166711184434216,1.2848028244943164,1.2809764612551278,1.2752045802392156,1.304946885097217,1.486929684241288,1.511362468271331,1.219568205252442,1.130732707580304,1.3146198588227498,1.324838789163849,1.2548735360240197,1.2872961288114888,1.2181170665327987,1.2506978046183228,1.279380608902424,1.2944806368238047,1.2526943932896184,1.2794101855633988,1.2182301379463842,1.2863007922564391,1.2551228697049237,1.3013540463739397,1.249888787163025,1.2633563801203693,1.228338097999341,1.2422201945087699,1.3821532893927573,1.3313948351246634,1.2280387939389745,1.2560130719916482,1.29429043816196,1.3128235472867067,1.2590097974960297,1.322649916115625,1.4709219391965567,1.5132720710489305
Mega Gengar,Sucker Punch,Sludge Wave,45,1.5247643281168686,1.4357861742880076,1.3568151596259455,1.282315653663855,1.3405632664588987,1.3094721253472184,1.650055900397723,1.5939027753624275,1.4770522289480363,1.4549883647851425,1.5684807347984022,1.4882597331800786,1.6809340134040014,1.4478893185040906,1.479626464526829,1.4900886836612648,1.4911920185930505,1.5065467943994106,1.4371033843939625,1.4602652839954828,1.4752753471083506,1.377724951792582,1.5627398905451826,1.5658563089748396,1.4692202614643624,1.50673511739404,1.2718197278809074,1.3313336511290286,1.5508208530530339,1.55686497439716,1.4749679218927336,1.5216391481386775,1.2467890646827897,1.3112593231014023,1.534838609038535,1.5613449332581226,1.2809327917102298,1.2969192802030534,1.3100090704580563,1.334691945242945,1.6489232961091629,1.5432952602275032,1.2973723353458562,1.3566905705877244,1.5224928951820584,1.5601535268938116,1.4774928396695368,1.5674863478024035,1.4180137298810511,1.4554479003600393
Shadow Beedrill,Poison Jab or Bug Bite,Sludge Bomb,35,1.7469230409513279,1.5384442159193337,1.7326612307298979,1.4949609079492876,1.5571762926217,1.5480731752066066,1.5392285256481375,1.5292380668050807,1.6835117170501326,1.565200376141559,1.7831053975712654,1.634614734365825,2.0692494729466495,1.7106200938023988,1.7147667441497927,1.6409183389249857,1.629415112521966,1.6060542599625875,1.6634890179629813,1.5695740876735718,1.8925923370029138,1.5132327077540433,1.8269857683889685,1.6428125291185844,1.5885023383141326,1.5706855804575075,1.5040017247748663,1.5227227939665422,1.9445005773560537,1.82711458103327,1.5590206660647308,1.550169941525275,1.5608961542650674,1.5766751748599463,1.785966655222602,1.8201845936997525,1.5646958748994688,1.5455825427925238,1.50220106480645,1.5141727785098305,1.9842365156466835,1.818166894878149,1.5107961872158109,1.5246210550473949,1.6659260432206286,1.6478096389604946,1.6588166271392382,1.5904575460493506,1.598504273740332,1.5140723547497235
Haunter,Lick or Shadow Claw,Sludge Bomb,45,1.6037505003455763,1.4656688070517299,1.611261113702356,1.4666748074387674,1.7160856833321705,1.5577624880204082,1.8321360360229741,1.693911418556401,1.6326615108295348,1.492593284696116,1.8198766089962466,1.591103049231351,1.8230255351683013,1.5282907446100074,1.6155176612540472,1.571456656537511,1.6119703871662607,1.5468638285811462,1.6950527641774935,1.7251817455091005,1.7083852726694395,1.3382776037026742,1.649195695522623,1.5916232898978961,1.6266838253421003,1.6193282360170287,1.6092178127902121,1.611578379928972,1.7937958908442437,1.5981479796092026,1.613453321155595,1.6240955052821726,1.507569690626939,1.5363524570367812,1.605899540310877,1.6008642278015714,1.648153258958138,1.5247515722015648,1.6456665985403913,1.5654935370273726,1.9483476372170865,1.6476392094854355,1.55328294092985,1.5549296991128903,1.655182494292746,1.5991119698792904,1.5919216361992483,1.5567211345097458,1.837425111497284,1.8275139502794475
Shadow Beedrill,Poison Jab or Bug Bite,Sludge Bomb,40,1.6083810082762413,1.4203921765472314,1.6182315817110142,1.427901735059762,1.4372238842311729,1.4407642040919026,1.467750753355686,1.4515017088932218,1.5498192106268152,1.5014209696771308,1.740070418103766,1.5852825177394914,1.9231625103260057,1.6273845321843268,1.634352204921038,1.5867434895788972,1.5089173176123805,1.486038659939913,1.4840253240867276,1.4563772549684084,1.8711679993506323,1.4720084245446798,1.6639595476861468,1.5401651140206112,1.5142832174908105,1.531433123479912,1.453157838595544,1.4941190118763585,1.911756075604362,1.7832318125117144,1.5095635983106843,1.5029034683073068,1.453921475216533,1.4939690390161435,1.7330268217907594,1.787626348698462,1.4415543405440603,1.428240077029799,1.4385715316710115,1.4737744351078863,1.841786494538806,1.7520345568587319,1.4584095819831864,1.4945990846399682,1.6072165589538017,1.5978159536419045,1.5921384981401174,1.544083975161768,1.5439895313523624,1.4850222994567923
Shadow Crobat,Air Slash,Sludge Bomb,40,1.5823874495954118,1.5203676365541217,1.365273806080787,1.3158378850256878,1.2837633143902114,1.3162044137924318,1.5001890848876198,1.5340486170449072,1.5854651529933024,1.5998716840067237,1.8652978103747613,1.8491791641913469,1.7996688770752236,1.684310704226804,1.6998232341536,1.6859969190794921,1.5237807380533985,1.5695492092285022,1.5194308390115492,1.5633822330882052,1.8737977159965788,1.5662716045573324,1.6014434121079473,1.6562737737064102,1.614773509163763,1.6713241922605666,1.3034061742360097,1.3649342180990474,1.7825103685359571,1.850431947004076,1.5361801322374986,1.6081619136427323,1.287167226250065,1.359551828156595,1.8008242723988903,1.906973468817682,1.3068448812453664,1.3192699358287656,1.3129787120505994,1.3643705552265475,1.7697069903169418,1.8161838805115094,1.3157236371059915,1.3820736459311234,1.6322624445702394,1.6503576930449395,1.5802171541992558,1.6860739189859755,1.524647611135477,1.6132092934104747
Muk,Poison Jab or Acid,Gunk Shot,45,1.518511349103282,1.465930123656682,1.5255659241674604,1.4723120268767633,1.5378321033845688,1.5387232550291239,1.4988318871536905,1.5043905262583679,1.4670255390496023,1.4889345390826803,1.524223387553684,1.506286634784659,1.6136612993665689,1.5842870115999295,1.5384693325294854,1.5494410442377469,1.4713283827447425,1.4996661413752057,1.5099138793538662,1.558312210491701,1.4138607610903122,1.3993407500516177,1.5298224413435237,1.539159852486546,1.5206667598803432,1.5885907563921893,1.5524872133435623,1.62692809279795,1.7264271773461957,1.7493239456511176,1.4678040234467937,1.5439934938901758,1.5294606689428847,1.6155257637247893,1.7883069328162156,1.8774530268270038,1.4794053267916885,1.5378546586243467,1.5105420356832184,1.5424484750295868,1.7786963185666742,1.7414374493598623,1.5429572911048721,1.606728169412436,1.5037954120153323,1.5872993485941342,1.518053950898104,1.6128941290886636,1.507370641607903,1.5863652382567428
Victreebel,Acid,Sludge Bomb,30,1.7667941287637463,1.5554125486027006,1.7794530639899095,1.5579714302771688,1.5605189527795267,1.5681896199190852,1.5902206465637778,1.5860404326851794,1.5616312412284827,1.5494746003495934,1.7590349707563597,1.6504085467285603,1.868261662030071,1.769199861361736,1.7752550957774376,1.6907443513814153,1.596292863216371,1.608435304121082,1.5732699703431983,1.5943602727211719,1.6744854869732773,1.5141677721692444,1.6646102302775299,1.6646033557033082,1.6221242783605678,1.6512254532208392,1.5621526118406819,1.6288728337110925,1.923848026721704,1.833177399040722,1.596299045838725,1.5817321963726165,1.5232213061576276,1.6002551510875178,1.8291612017401844,1.8788561247781426,1.5689979562143448,1.5680502361384518,1.590072970418933,1.638219680696061,1.8784197793808086,1.8714810338066774,1.5840970630385969,1.6231933629772708,1.686156615638485,1.6581794356790398,1.633605921279271,1.676742015438705,1.5964254031523049,1.593418373603453
Shadow Nidoking,Poison Jab,Sludge Wave,50,1.423092519635212,1.274340820176336,1.4376365099090602,1.2732000391582894,1.440019187024658,1.3124839890203324,1.4962271537113145,1.3278417944648473,1.5248414951669933,1.3786398332880125,1.2370913228908926,1.222951079728593,1.531192148266642,1.4254423212589495,1.483518379266178,1.363945218211898,1.296445961113316,1.3067727679836747,1.3035123164811144,1.288473157007129,1.4134890981774548,1.239179748012823,1.3558720252454244,1.342866656037305,1.3855264426349545,1.358855716267381,1.3181168556064524,1.3383077801086813,1.5542968872527847,1.5361866192770635,1.3156629226951662,1.3317509790748774,1.3154105005943109,1.337335688477002,1.5169733573960598,1.535461169206374,1.3899086420683466,1.318605281933144,1.322078327336533,1.3121678461526562,1.508775650691478,1.482354998120215,1.3465368431676712,1.3473468905027677,1.3528961949717189,1.3303756690517143,1.316678595368886,1.3730481648038821,1.3159604343450302,1.3210720752469953
Shadow Vileplume,Razor Leaf or Acid,Sludge Bomb,50,1.1915242639181873,1.1252552995874106,1.1980172416907777,1.127918440990815,1.144421405722458,1.1613273949460945,1.1493741774847441,1.1453419152212414,1.1690089597812916,1.1555618560841843,1.2437472641576368,1.1741014717126939,1.3489572720291352,1.259620553468053,1.2730698695583884,1.2173819905594092,1.1272488861175671,1.1625172722634773,1.1417306440154324,1.149240570097007,1.2788728328379333,1.1289465990306882,1.2081303021706675,1.192988514077347,1.1984708051086,1.2268563381007223,1.1647816882183173,1.221331192330477,1.3328404728061667,1.3419378674338582,1.15633442238654,1.1945772368359526,1.138433273823336,1.1951907713726921,1.330607434845555,1.3830769191673926,1.1595409134089676,1.1691865188717112,1.1678754489949075,1.2087719414413765,1.3326607302805933,1.349473039378464,1.1457308853284103,1.1906059046103832,1.1945000086546396,1.1944544531966714,1.1636336049885398,1.2160912959234307,1.156906617365184,1.1682705851549804
