Attacker,Fast Move,Fast Type,Charged Move,Charged Type,Level,Landorus (Therian),Landorus,Arceus,Arceus (Bug),Arceus (Dark),Arceus (Dragon),Arceus (Electric),Arceus (Fairy),Arceus (Fighting),Arceus (Fire),Arceus (Flying),Arceus (Ghost),Arceus (Grass),Arceus (Ground),Arceus (Ice),Arceus (Poison),Arceus (Psychic),Arceus (Rock),Arceus (Steel),Arceus (Water),Articuno (Galarian),Shadow Articuno,Articuno,Shadow Azelf,Azelf,Calyrex,Calyrex (Ice Rider),Calyrex (Shadow Rider),Celebi,Shadow Celebi,Chien-Pao,Chi-Yu,Shadow Cobalion,Cobalion,Cosmoem,Cosmog,Shadow Cresselia,Cresselia,Shadow Darkrai,Darkrai,Dialga (Origin),Shadow Dialga,Dialga,Diancie,Shadow Entei,Entei,Eternatus,Eternatus (Eternamax),Glastrier,Shadow Groudon,Groudon,Shadow Heatran,Heatran,Shadow Ho-Oh,Ho-Oh,Jirachi,Shadow Jirachi,Keldeo,Koraidon,Kubfu,Shadow Kyogre,Kyogre,Kyurem (Black),Kyurem (White),Kyurem,Shadow Latias,Latias,Shadow Latios,Latios,Shadow Lugia,Lugia,Lunala,Magearna,Manaphy,Shadow Manaphy,Marshadow,Melmetal,Shadow Melmetal,Meloetta (Aria),Meloetta (Pirouette),Meltan,Shadow Meltan,Shadow Mesprit,Mesprit,Mew,Shadow Mewtwo,Mewtwo,Mewtwo (Armored),Miraidon,Moltres (Galarian),Shadow Moltres,Moltres,Necrozma,Necrozma (Dawn Wings),Necrozma (Dusk Mane),Necrozma (Ultra),Palkia (Origin),Shadow Palkia,Palkia,Phione,Shadow Phione,Shadow Raikou,Raikou,Shadow Rayquaza,Rayquaza,Shadow Regice,Regice,Shadow Regigigas,Regigigas,Shadow Regirock,Regirock,Shadow Registeel,Registeel,Shadow Reshiram,Reshiram,Shaymin (Land),Shaymin (Sky),Solgaleo,Spectrier,Shadow Suicune,Suicune,Shadow Terrakion,Terrakion,Ting-Lu,Urshifu (Rapid Strike),Urshifu (Single Strike),Shadow Uxie,Uxie,Victini,Shadow Victini,Shadow Virizion,Virizion,Volcanion,Wo-Chien,Zacian (Crowned Sword),Zacian (Hero),Zamazenta (Crowned Shield),Zamazenta (Hero),Zapdos (Galarian),Shadow Zapdos,Zapdos,Zarude,Shadow Zekrom,Zekrom,Zeraora,Zygarde,Zygarde (Complete),Zygarde (Fifty Percent),Zygarde (Ten Percent),Deoxys,Deoxys (Attack),Deoxys (Defense),Deoxys (Speed),Genesect,Genesect (Burn),Genesect (Chill),Genesect (Douse),Genesect (Shock),Giratina (Altered),Giratina (Origin),Regidrago,Regieleki,Tapu Bulu,Tapu Fini,Tapu Koko,Tapu Lele,Thundurus,Thundurus (Therian),Tornadus,Tornadus (Therian),Xerneas,Yveltal,Blacephalon,Naganadel,Poipole,Stakataka,Buzzwole,Celesteela,Guzzlord,Kartana,Nihilego,Pheromosa,Xurkitree,Hoopa (Confined),Hoopa (Unbound),Mega Steelix,Mega Audino,Mega Camerupt,Mega Gallade,Mega Garchomp,Mega Heracross,Mega Lucario,Mega Mawile,Mega Metagross,Mega Sableye,Mega Sharpedo,Mega Tyranitar,Mega Abomasnow,Mega Absol,Mega Aerodactyl,Mega Aggron,Mega Alakazam,Mega Altaria,Mega Ampharos,Mega Banette,Mega Beedrill,Mega Blastoise,Mega Blaziken,Mega Charizard X,Mega Charizard Y,Mega Gardevoir,Mega Gengar,Mega Glalie,Mega Gyarados,Mega Houndoom,Mega Kangaskhan,Mega Lopunny,Mega Manectric,Mega Medicham,Mega Pidgeot,Mega Pinsir,Mega Salamence,Mega Sceptile,Mega Scizor,Mega Slowbro,Mega Swampert,Mega Venusaur,Mega Diancie,Primal Groudon,Primal Kyogre,Mega Mewtwo X,Mega Mewtwo Y,Mega Rayquaza,Mega Latias,Mega Latios
Lugia,Extrasensory,Psychic,Hydro Pump,Water,40,,,,,,,,,5.0359797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.7735567,,2.4739594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.310599,,,,,,9.6050625,5.6688423,,,,,,5.0234,4.0831704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.007691,,,,,2.035409,,,,,,,3.5500343,,2.751366,,,,,,,,,,,,,,,,,1.7932942,,,,,,,,,2.7283814,,,,,,,,,,3.5124803,,,,,,,,
Aggron,Iron Tail or Smack Down,Rock or Steel,Meteor Beam,Rock,40,,,,,,,,,,,,,,,,,,,,,,3.3820717,2.068564,,,,,,,,,,,,,,,,,,,,,3.2417765,,,,,,,,,,3.7827642,2.2762737,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.9268112,1.7177776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.6648722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1985714,,,,,,,,,,,,,,,,,,4.2847853,,,,,,,
Shadow Lugia,Extrasensory,Psychic,Aeroblast+,Flying,40,,,,,,,,,2.598499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0462663,,1.2023034,,,,,,,,,,,,,,,,2.0152395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8462421,,,,,,2.8099923,1.7090907,,,,,,2.4856095,1.9772781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.452816,,,,,0.73882544,,,,,,,1.6760895,,1.0261772,,,,,,,,,,,,,,,1.0199823,,1.186224,,,,,,,,,1.4262474,,1.274533,,,,,,,,1.5431259,,,,4.4579988,,,,
Donphan,Mud-Slap,Ground,Heavy Slam,Steel,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.8344893,3.0135975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.783835,4.132583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.6189413,,,,,,,,,,,,,,,,,2.7525616,,,,,,,,,,,,,,,,,,,2.5420163,,3.457675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sudowoodo,Counter,Fighting,Return,Normal,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.368923,7.206925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delphox,Fire Spin,Fire,Fire Blast,Fire,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.9409666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8696381,1.8162268,1.8287191,1.8874686,1.8668017,,,,,,,,,,,,,,,,,,,,,,1.8095781,,,,,,,,,,,,,1.7766814,,,,,1.0630591,,,,,,,,,,,,,,,,,,,,,,,,,,1.3811077,,,,,,,,,,,
Lycanroc (Midnight),Rock Throw,Rock,Stone Edge,Rock,40,,,,,,,,,,,,,,,,,,,,,,3.7668874,2.1706698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.1322193,2.5375793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.905083,1.7816939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2666252,,,,,,,,,,,1.3837897,,,,,,,,,,,,,,
Magnezone,Spark or Volt Switch,Electric,Zap Cannon,Electric,40,,,,,,,,,,,3.4605334,,,,,,,,,3.4602234,2.8479764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.154945,3.642803,,,,,,,,,,,,3.087457,,,,,,,,,,,,,,,,3.2140863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.6397643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.6818295,,,,,2.4345007,2.8892694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.084698,,,,,,,,,,,,,1.4915733,,,,,,,,,,6.9396443,,,,,
Darmanitan (Galarian Standard),Ice Fang,Ice,Overheat,Fire,40,3.4618564,3.1406567,,,,6.27158,,,,,5.0561,,,5.0336623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.929988,,,,,,,,,,,,,,,,,,,,4.5579762,,,,,,,,,,,,,,5.381438,3.460958,,,,,,,,,,,,2.5144007,,,,,,,4.106081,,,,,,,,,,,,,,,,6.698836,3.9846601,,,,,4.3537636,3.6778274,4.3537636,3.2016587,,,,,,,,,,,,2.7678595,,,,,,3.4552085,3.8450515,3.6291816,,,,,,,,,,,,,,,,,,,,,2.8169405,,,,,,,,,,,,,3.4023147,,,,,,,,,,,,,,,,,,,2.9013605,1.9069993,,,,,,,,,,7.0384703,,
Togekiss,Air Slash,Flying,Aerial Ace,Flying,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.920623,,,,,,,,,1.324223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shadow Salamence,Bite or Dragon Tail or Fire Fang,Dark or Dragon or Fire,Frustration,Normal,40,,,,,,3.6112869,,,,,,,,,,,,,,,,,,,,,,,,,,,6.228271,,,,,,,,,,,,,,2.8740802,7.0230384,,,,,,,,,,,,,,,,,,6.1545496,3.555243,5.08111,3.0282059,,,,3.4923923,,,,,,,,,,,,,,,,3.428849,,,,,,,2.877935,3.2100315,5.172261,3.1876285,,,,,,,,,,,,,,,5.2658257,3.124276,3.4082394,,3.1067019,,,,,,,,,,,3.7714393,5.9610567,,,,,,,,,,,,,5.287606,3.2506487,,3.129327,2.8244174,3.129327,2.4428232,,,,,2.0745373,2.0388267,,2.0838718,2.0712123,3.0457883,2.8491778,1.5787207,,,,,,,,,,,,2.9361713,2.403842,,,,,1.5099717,1.9130013,,,,,,3.1872375,,,,1.9356809,,1.8652871,,2.7976847,,,,,,,,,,1.7286234,,,,,1.786777,,,,,,,,,,,,,2.2068987,1.5618503,1.5092518,,,,,,,,,,6.692498,5.398136
Toucannon,Peck,Flying,Rock Blast,Rock,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.3831544,3.9605455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.2922225,,,,,,,,,,,,,,2.3337083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shadow Lugia,Extrasensory,Psychic,Aeroblast,Flying,40,,,,,,,,,2.775735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1928797,,1.2852341,,,,,,,,,,,,,,,,2.1541066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.9741977,,,,,,3.0657945,1.8518169,,,,,,2.6631567,2.117502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5685636,,,,,0.8026436,,,,,,,1.8059752,,1.1069368,,,,,,,,,,,,,,,1.0911996,,1.2655454,,,,,,,,,1.5277935,,1.3827183,,,,,,,,1.6430752,,,,4.81094,,,,
Shadow Haunter,Shadow Claw,Ghost,Sludge Bomb,Poison,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.1115446,0.89166176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.1135778,,,,,,,,,,,,,,,,,2.7852526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kleavor,Air Slash or Quick Attack,Flying or Normal,X-Scissor,Bug,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.473179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.8146658,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Samurott,Waterfall,Water,Hydro Pump,Water,40,,,,,,,,,,,,,,3.8211966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.805263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.1316714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2544146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.91171,,,,,,
Shadow Dugtrio (Alola),Metal Claw or Mud-Slap,Ground or Steel,Mud Bomb,Ground,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.4593155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.9531056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blastoise,Water Gun,Water,Hydro Pump,Water,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5260901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.3517747,,,,,,
Jirachi,Charge Beam,Electric,Doom Desire,Steel,40,,,,,,,,3.1204867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3694859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0618026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.7329226,,,,,2.5016377,,,,,,,,,,,,,,,,1.826453,,,,,,,,,,,,,1.5918443,,,,,,,,,,,1.8569242,,,,,,,,,,,,,,,,,3.0249524,,,,,,,
Shadow Muk,Poison Jab,Poison,Frustration,Normal,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.678946,,,,,,,,,,,,,,,,,,,,,,,,,,,2.6951141,,3.6866682,,,,,,3.9456415,,,,,,,,,,,,,,,,2.6851647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shadow Weavile,Feint Attack or Ice Shard or Snarl,Dark or Ice,Frustration,Normal,40,2.9001625,2.752228,,,,,,,,,,4.676552,,,,,,,,,3.7341642,,,,3.144197,,4.5276613,2.4102106,,,,,,,3.955659,1.1373564,,,,,,,,,,,,,,,,,,,,4.0506773,,,,,,,,,,,,6.6888337,4.0473166,9.557461,5.4114184,2.3605115,,,,,,,,4.6935596,,,6.1811314,3.7276106,4.1146564,6.019713,3.589375,5.3479767,,4.791692,,,3.7127366,2.6933286,4.3502426,3.8134475,,,,,,,,4.242422,2.5084164,,,,,,,,,,,,2.5069246,,2.972499,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0086834,2.7595353,3.0086834,2.3452303,2.5519629,1.2132016,,,,,,,,4.1663036,3.7584043,,,,,,,,,3.885632,,,4.2057805,3.1305118,,,,,,,,,,,3.84558,,,,,,1.9725951,,,,,,,,,,,,2.5253675,,,2.1778119,,,,,,,2.5845847,,,,,,,,,,2.2047617,1.6010158,,2.8323693,,,,,,,7.404259,4.9109707,,
Shadow Ninetales (Alola),Charm,Fairy,Psyshock,Psychic,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.6035836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4501017,,,,,,,,,,,,,,,,2.740594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thundurus (Therian),Bite or Volt Switch,Dark or Electric,Focus Blast,Fighting,40,,,,,,,,,,,5.219875,,,,,,,,,4.3639183,3.9182372,,,,,,,,,,,,,,4.222343,1.2111074,,,,,,,,,,,,,,,,,,,,,,3.3473127,,,8.443441,4.5500493,,,,,,,,9.7805805,5.9577894,,,3.8350775,6.254634,,,,,3.7613955,,,,,,,,,,4.143688,,,,,,,,,,2.8454764,4.710308,,,,,,,,,,,,,,,,,,,6.9000664,4.194202,,,,3.152168,,,,,,,,4.173552,,,,,,4.1152797,,,,,,,,,,,,,,,,,,,,,,,,,5.4364233,,,,,3.620948,4.0872025,,3.5060313,,,,,,3.3736384,,,,,,,,,,,,,,,,,,1.3404295,,,,2.4587145,,,,,2.1236691,,2.545177,,,,,,,2.1966684,,,,,,1.9039377,,,,,3.0599616,,,,,9.164162,,,,,
Genesect (Shock),Fury Cutter or Metal Claw,Bug or Steel,Techno Blast Shock,Electric,40,,,,,3.9618747,,,3.6247687,,,,,,,,,3.9731827,,,,,,,,,2.8442044,,,3.463583,5.50189,,,,,,1.1882614,6.405115,,,,,,,3.3494859,,,,,,,,,,,,,,,,,,,,,3.1019688,,,,,,,,,,,,,,3.9357617,4.01087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.5159802,,,,,,,4.115463,,3.7603064,,,,,,3.5692096,,,,,,,,,,,,,,,,,,,,,,,,3.300528,,,,,2.9831164,,,,,,,,,,,,,,5.242458,,2.106419,,,,,,,,,,,,,,,,2.4634683,,,,,,,,2.2528114,,,,,,,,,,,,,,,,,4.473859,,,,,,,
Shadow Toxicroak,Counter or Poison Jab,Fighting or Poison,Frustration,Normal,40,,,4.734416,,,,,4.763808,,,,,,,,,,,,,,,,,,,,,,,2.1813912,4.2021294,6.9738994,4.269467,,,,,6.5003605,3.8261156,4.30922,7.323538,4.341159,,,,,,4.157639,,,,,,,,,,,,,,,3.7525094,,,,,,,,,,,,,3.465634,5.861578,,,1.8709964,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0725536,4.371811,8.6199665,5.2360325,7.5346904,4.746408,,,,,,,,,,,,,,,,,,,,,,,4.5638638,5.1677513,,,,,,,,,,,,,,,,,,,,,,,,,,2.5712466,4.8584514,3.776684,,,,,,3.7263815,,,,,3.5299788,,,,,,,,,,,2.6400888,,,,,,,,,,1.9429005,,1.6090786,,3.4032273,,2.5812905,,,,,,,,,,,2.9461484,,2.4833817,,,,,,,,,,,,,,,,,,,
Cryogonal,Frost Breath,Ice,Triple Axel,Ice,40,1.9579121,2.0094194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7952218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.4520276,,
Pheromosa,Bug Bite or Low Kick,Bug or Fighting,Focus Blast,Fighting,40,,,,,,,,,,,,,,,,,,,,,,,,,,2.3620462,,,3.0007718,5.0176888,,,,,,,,,5.3754473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.7168195,,,,,3.954497,,,,,,,,,,,,,,,,,,,,,,,,3.6665606,,,,,,,3.3935952,,,,,,,,2.359611,,,,,,,,,,2.330931,,,,,,,,2.1019456,,,,,,,,,1.5093322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2336138,,,,,,,,,,,,,,,,,1.6276677,,,,,,,,,,,,,,,,,,,
Shadow Blastoise,Water Gun,Water,Skull Bash,Normal,40,,,,,,,,,,,,,,5.169126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0304174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.031586,,,,,,
Keldeo,Low Kick,Fighting,Aqua Jet,Water,40,,,5.0856633,,5.0707903,,,,,,,,,,5.081421,,,3.989767,5.073792,,,,,,,,,,,,2.475881,3.6465101,7.90942,4.853447,,,,,7.0048175,4.463317,5.0532527,7.719206,4.436202,,,,,,4.8256445,,,,,,,,,,,,,,4.005925,3.9962194,3.887646,,,,,,,,,,,,4.3092,6.918811,,,2.3155787,3.5463793,,,,,,,,,,,,,,,,,,,,,,,,10.698126,6.6578875,8.485538,4.6988053,8.293659,5.0570817,8.430538,5.5526567,,,,,,,,,5.387728,3.3231652,3.3747265,,4.010251,,,,,,,,,,,5.7721925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.8040981,,,,,,,,,,3.1447732,,,,,,2.5018303,,,,2.082418,2.272677,,1.8619002,,4.1519184,,,,,,,,,,,,2.2781503,3.010704,1.9675975,2.6190646,2.9265718,,,,,,,,,,,,,,,,,,
Shadow Drapion,Poison Sting,Poison,Frustration,Normal,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5990396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Terrakion,Double Kick or Smack Down,Fighting or Rock,Earthquake,Ground,40,,,4.331751,,4.3149157,,,,,3.3466177,4.2182913,,,,3.8796835,,,3.441537,3.4388561,,,4.1655455,2.5113473,,,,,,,,2.35322,2.9607873,5.271027,3.3717344,,,,,6.3035197,3.8320127,3.3015373,5.6872926,3.2108524,,3.9242804,2.4241583,,,3.643429,,,3.8034225,,4.507635,2.7208369,,,,,,,,3.1128097,3.2404504,2.8933017,,,,,,,,,,,,2.7550755,4.434788,,,1.4468309,2.213916,,,,,,,,3.7314947,3.179947,1.9576968,,,,,,,,,,,,,,7.644071,4.620621,7.0945477,4.2572727,6.823981,3.994707,6.3617225,3.811357,4.904197,2.9033277,,,,,,,5.2723756,2.9648187,3.6202233,,3.4548447,,,,,,,3.0880964,,,,4.196345,,,5.3239555,3.1853974,,,,,,,,,,,,,,,,,,,,,,,,,,2.9219697,3.0026453,3.0442657,3.4604197,,3.3073406,,,,2.6785624,,,1.8267494,,,,,,,2.7030346,,,,,,1.8697015,,,,1.8655833,1.8110008,,1.4659872,,2.7011151,,,,,,,,,1.4104934,,,1.6763867,2.8026862,1.5888995,2.391227,2.5434942,,,1.8928953,1.5295708,,,,,,,,,,,,,,
Chandelure,Fire Spin or Hex or Incinerate,Fire or Ghost,Energy Ball,Grass,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.8618612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.6752636,,,,,,,,,,,,,,,,,,,,,,3.4329576,,4.8481283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1459706,2.1585264,2.1608295,2.1621609,2.191166,,,,,,,,,,,,,,,,,,,,,,2.1320357,,,,,,,,,,,,,,,,,,1.2623982,,,,,,,,,,,,,,,,,,,,,,,,,,1.5859652,,,,,,,,,,,
Shadow Drifblim,Hex,Ghost,Mystical Fire,Fire,40,,,,,,,,,,,,5.5346828,,,,,,,,,,,,,,,,,,,,,,,4.963049,1.4340789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.098013,3.8673291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shadow Regigigas,Hidden Power Bug or Hidden Power Electric or Hidden Power Grass or Hidden Power Ice or Hidden Power Rock or Hidden Power Water,Bug or Electric or Grass or Ice or Rock or Water,Thunder,Electric,40,2.6199625,2.6206064,,,,,,,,,3.161643,,,,,,,,,3.1628985,,3.9063559,,,,,,,2.8638635,4.7237144,,,,,,,,,,,,,,,,,,,,,,,,4.2916174,,,,,,,5.4332137,3.2140064,,,,,,,,6.745673,,,,2.7413516,4.579889,,,,,,,,,,,,,,,,3.2441907,1.9285858,,,,,,,,2.148994,3.447744,,,3.4954934,2.1308837,,,,,,,,,,,,,,,5.1253386,2.983275,,,,,,,,,,,,3.0913024,,,,,,,,,,,,,3.0404096,,3.0404096,,,,,,,,,,,,,,,,3.3040457,,,,,2.3669863,2.688542,,,,,,,,,,,,,,,4.240067,,,1.5698526,,1.883532,,,,,,1.2443078,,,,,,,,,,,1.937053,,,,,,,,,,,,,1.4965881,,1.8825549,,,,,,,,5.8548865,,,4.143571,,
