Attacker,Fast Move,Charged Move,Level,"Arceus (Ground), Tier 5","Arceus (Ground), Tier 5","Arceus (Rock), Tier 5","Arceus (Rock), Tier 5","Groudon, Tier 5","Groudon, Tier 5","Regirock, Tier 5","Regirock, Tier 5","Terrakion, Tier 5","Terrakion, Tier 5","Boldore, Tier 3","Boldore, Tier 3","Claydol, Tier 3","Claydol, Tier 3","Donphan, Tier 3","Donphan, Tier 3","Golem, Tier 3","Golem, Tier 3","Golurk, Tier 3","Golurk, Tier 3","Graveler, Tier 3","Graveler, Tier 3","Hippowdon, Tier 3","Hippowdon, Tier 3","Marowak, Tier 3","Marowak, Tier 3","Nosepass, Tier 3","Nosepass, Tier 3","Onix, Tier 3","Onix, Tier 3","Piloswine, Tier 3","Piloswine, Tier 3","Rhydon, Tier 3","Rhydon, Tier 3","Stunfisk, Tier 3","Stunfisk, Tier 3","Sudowoodo, Tier 3","Sudowoodo, Tier 3"
Shadow Feraligatr,Water Gun or Waterfall or Ice Fang,Hydro Cannon,30,1.200681309700261,1.2135566953132166,1.2008943675551595,1.2151097935251869,1.245856636307813,1.124036871992185,1.160342099610579,1.1419806713961205,1.2050662778914683,1.1973033942826705,1.1950722045370255,1.1955498980096426,1.1805451084947127,1.220879602963278,1.1949533774025354,1.2053384086175831,1.1767023395859135,1.192484309428903,1.2197995882281103,1.2134147422907509,1.1932697271940758,1.1980649453299246,1.1990884117629816,1.220612951545757,1.1613908649503764,1.1941058035549648,1.1442001757734117,1.2137188660313691,1.1080845951112404,1.1756904858435897,1.149549637536012,1.2038432206824043,1.1988642286192563,1.1968667133202262,1.149121576402573,1.2177266594202814,1.174623071707717,1.180132652777284
Shadow Exeggutor,Confusion or Bullet Seed,Seed Bomb or Solar Beam,30,1.504153640257755,1.375700663781566,1.515003709187251,1.3801393008542906,1.370785513987602,1.2432361537340084,1.2674092167854074,1.2516945763981073,1.224143664121479,1.2360827326458321,1.2796808551736925,1.2752892817406354,1.3392662615712863,1.338035198475176,1.3423813305889112,1.2828854606045283,1.3214768207117213,1.3023715834027487,1.3656250355166104,1.3438254196353123,1.2554892190275588,1.3324983707055291,1.3273680903531193,1.3241319701498593,1.2259947852218087,1.2650178245234662,1.2179253762454219,1.2601868167812929,1.1498187117998497,1.2013437952617607,1.2930121653319284,1.3407568391918356,1.243246150888318,1.2476941877197503,1.2530566225812616,1.3033268014038308,1.264789785132329,1.2749088929513166
Shadow Vileplume,Razor Leaf,Petal Blizzard or Solar Beam,35,1.8097200433278209,1.4378370119475694,1.806769639593796,1.4450629060797533,1.5917777871496648,1.3130052865925022,1.2859274131867846,1.2725602759061623,1.497749848498919,1.422849450951908,1.4272383792805043,1.3667030458029423,1.4390187118135802,1.3947765740759046,1.4308421402148215,1.3660255113176054,1.4546657462914874,1.3924296559234743,1.398019677052755,1.3617722298147839,1.395525142058767,1.3523061491713215,1.4262052907412404,1.3668778132945711,1.348639949924876,1.3258732974992313,1.2497967112786696,1.3047286293438374,1.2117818467299788,1.2531797185288545,1.3568368335932666,1.3709352767080398,1.4604842721825966,1.3780063041501507,1.2787294464617258,1.3312217873690093,1.3604929756270367,1.3148849261869535
Shadow Sceptile,Bullet Seed,Frenzy Plant,40,1.2484088602487864,1.1685823326671043,1.2519349805299442,1.1685188624724294,1.1436707679174622,1.0401592067457226,1.093249189135738,1.0811056841952014,1.14585597713486,1.1353357057339273,1.098738545401162,1.1153109160588452,1.112852248820615,1.1128755367827283,1.1363142369339803,1.1145466755924618,1.137496241552185,1.1215736059811157,1.1333959366753585,1.1286251102960418,1.1170826717287206,1.1166503872655533,1.1285661996538177,1.1141866934032212,1.0528309124357438,1.0781203848833862,1.039418125359405,1.0889744152181944,1.0039326497837464,1.0323538336129325,,1.11375609187233,1.0821836336602602,1.084715691681914,1.0447361076684232,1.1035937012564514,1.0808965007688458,1.0720250142264234
Mega Venusaur,Vine Whip,Frenzy Plant,30,1.2303717628521627,1.2063553897046118,1.2358861336821874,1.2082987387900133,1.1584182650480288,1.1171816801264334,1.1641960024770104,1.1695572552134192,1.2189063472425217,1.235400779109494,1.1923798136358017,1.2308335393744592,1.215553889144054,1.2471273882876777,1.1686704587531447,1.2121102363240406,1.2030591556694834,1.223272209204413,1.211028532805114,1.2564799490138925,1.189022320386198,1.2225351876140031,1.2246896197181085,1.2623419237542208,1.1514357572112952,1.2048463956718665,1.1806957056828924,1.2585414451596666,1.1351517834417109,1.1824774446305253,1.2056860633789959,1.220245168119618,1.196461321513974,1.2299268256336517,1.189268454333412,1.2757578363646234,1.1639431838542647,1.2012674543179866
Shadow Swampert,Mud Shot or Water Gun,Hydro Cannon,30,1.1774161285977094,1.182490319602386,1.1780068910459995,1.1855318246539697,1.2079732074721248,1.0953656241694822,1.0702640860601071,1.0881174611037665,1.1194086224266102,1.1754864439171266,1.1131359910063048,1.1802971241809865,1.1549116647290953,1.2081122208507489,1.1627435227189478,1.1964751673701313,1.1148522984938527,1.1587206839371562,1.1897139697605879,1.2152858568640605,1.117542422602418,1.1653656147627351,1.1455277175044511,1.199968132592466,1.1379838385668049,1.190668605167277,1.1350290044752118,1.2262166828308858,1.106905913797492,1.1593694381608248,1.1306263524700635,1.185505434973364,1.1609640454452683,1.1542424840626793,1.1186162647202922,1.2144826540829485,1.0737920783080366,1.143159386156332
Kingler,Bubble,Crabhammer,50,1.1373211093261133,1.1134876905740982,1.1413545388832118,1.114625659346459,1.1482296404746264,1.0300927853154813,1.057598751350527,1.051021284442318,1.1247142822436194,1.109911735436086,1.0982292696872296,1.1094829784274942,1.0849871785053644,1.114601021228321,1.1028492955336,1.1068771600432097,1.124962313590162,1.1003083909213387,1.1285276002339373,1.115552753558918,1.0791651294686413,1.0967949895199662,1.0910284228714788,1.1049207335817086,1.06482756999309,1.097657850825453,1.0406141135115268,1.0834277225291524,1.0169477701069065,1.0507816122582398,1.0378501604673966,1.074100463512313,1.112366341799007,1.1126865681245348,1.074813476417067,1.1045280167644187,1.0649214431044354,1.085675034039758
Shadow Victreebel,Razor Leaf,Leaf Blade,30,1.6311812509294585,1.4276017325949104,1.6451516541814595,1.4303822551369332,1.3651234047240857,1.2707726256233771,1.3195301076409107,1.3147468873475503,1.4292226002149284,1.3820764173950715,1.358137729478304,1.3592091690876498,1.4015740998962727,1.385533172454461,1.3983104613654234,1.343838578308635,1.3875068084704054,1.3771815816055797,1.382430807851681,1.3922530463569496,1.3541182821737576,1.3450630616867407,1.4215346261178956,1.3913300358583494,1.3461381122909806,1.3172987791265012,1.2530286594197935,1.3144761123614308,1.2161450267398064,1.2731972824200157,1.4383035080108724,1.3900594832267277,1.391251608273792,1.3560282567174304,1.2860124454757105,1.353507078341482,1.3340263336439406,1.307661410884414
Shadow Tangrowth,Vine Whip,Power Whip or Solar Beam,50,1.0582731090464306,1.0661951063080133,1.0612473640168891,1.067858776286158,0.9658636040229148,0.9530872631331342,1.0237944142727604,1.035618864891622,1.0224524715735384,1.053569056679001,1.0322159336753616,1.0837325380145877,1.05409998328257,1.1155375299904486,1.0296450038717702,1.0895973955520601,1.0200820373398873,1.0646712610222697,1.0362913521026087,1.1015700495419163,1.0289519532843487,1.0813022816623516,1.030194458829038,1.0897313291940778,1.0333707372063086,1.0996983804550364,1.0255914328353086,1.09522930954464,0.989084237434392,1.0204362893486318,1.0130816326342427,1.0669765904435824,1.0194544827953633,1.0641765264992304,1.0501694023790877,1.1061397591625626,1.0060343368594789,1.060014531092431
Mega Blastoise,Water Gun,Hydro Cannon,45,0.9688546397834163,0.9816855696363033,0.968336935098263,0.9824270989686164,0.9621445656366762,0.9251882264701917,0.973356241708918,0.9902364480845524,0.9555293523836813,0.9938405643264849,0.9726030334404747,1.0602133298306342,0.9864969741963622,1.0451854921370178,0.9796159675074135,1.0377873449169843,0.9751214198929969,1.046194353283539,0.9707923883370437,1.0267736244186043,0.9624777411017227,1.0347666790725996,0.9802784339574283,1.0490672394783065,0.9854603927275712,1.0394893416624988,0.9902088197175893,1.0637988579650004,0.9206221953526841,0.9992069029244022,0.9425157268956957,1.0149291839675552,0.9625755235592325,1.0027582136817097,0.9818352867969743,1.0700019408181618,0.9417350805433528,1.0063990567165864
Tapu Bulu,Bullet Seed,Grass Knot or Solar Beam,35,1.3728408683768532,1.3654892188547476,1.3754404854683258,1.365226780749172,1.320067982940096,1.1929783500930544,1.2541190749756097,1.2697701310633203,1.30420259117368,1.3263006330917415,1.2814003778279144,1.3168293747682036,1.2924873993891262,1.3388111226633903,1.3029993180239732,1.3104989895773445,1.282937808940786,1.3015966081121222,1.2544664060462318,1.326727967702814,1.2871654935204733,1.3497030431374333,1.2889802053794286,1.3361799546490714,1.2361151178471717,1.290431485909687,1.2629497875195557,1.3242170773699646,1.2177636935554654,1.258510316517746,1.3037291598436396,1.311867273262024,1.2663195875200786,1.2869282697663573,1.278272250135434,1.3606759027917399,1.2645796305678247,1.2997874727226706
Shadow Venusaur,Vine Whip,Frenzy Plant,45,1.1534069968954341,1.0993447163417982,1.1492212577072518,1.0966729436790046,1.087693411809959,1.0047873728932797,1.0335330440661854,1.0373596129923335,1.1165648977501097,1.0986358318164304,1.0946331437754975,1.1061240573618494,1.0973882742423686,1.1126844219463963,1.065439492177923,1.090730540244615,1.105153362565529,1.081045499269784,1.107203952176201,1.1200233220614018,1.0779804983067798,1.102505158755311,1.112778499721536,1.1232706933340748,1.042290140260108,1.0826976212823907,1.0543185601106093,1.1253169714456663,1.0222181981587042,1.059297549412173,1.0731195760060979,1.0938823292456548,1.0843991458229152,1.0960120986972437,1.079761483575349,1.1358262248862032,1.0538744390327497,1.0922899366785221
Tapu Bulu,Bullet Seed,Grass Knot,45,1.2184633259881419,1.2268738090879754,1.2243920891708853,1.2314187078945864,1.129427534854027,1.124298456704731,1.1487466620983418,1.1607014239886606,1.1850877185015687,1.2208475932046687,1.182654163833601,1.2205445666955124,1.2107371196616745,1.2638672616868942,1.2093157711123887,1.238101858373202,1.1780311437093174,1.2125141124420669,1.1695088641858573,1.233080357339992,1.1665991112151257,1.232541764383704,1.195492806158226,1.254371809971041,1.160945027269948,1.2258177139654665,1.1572559341484214,1.2256456254249175,1.1061593481399132,1.1643844209527001,1.1765263394173302,1.2031934288149382,1.1742745169902433,1.2021924770749404,1.1985408002645757,1.2605548382405263,1.1426707492041754,1.2016269873144998
Shadow Blastoise,Water Gun,Hydro Cannon,40,1.3306557090331659,1.3297439103641435,1.331983312901512,1.3392663544609542,1.2200416426865532,1.1698406914561963,1.2525192720723213,1.282539539385102,1.2830640750237443,1.3264761450223523,1.2717200055631104,1.336969109284213,1.3114225598806122,1.3949790002081202,1.236537794762687,1.2888119378075793,1.267580916884132,1.296473793340617,1.2733580575995629,1.313082476935106,1.275520331373846,1.3581500749502544,1.2985460495312708,1.362672503011996,1.2185685881834196,1.2814522114843219,1.2190005816990535,1.3074019442023839,1.2236842243498183,1.3161220571050904,1.2471624823202956,1.3290486177924432,1.2656572837076043,1.2821265992978288,1.284459790946158,1.3651263366368194,1.2281264058422023,1.2908881600132305
Kingler,Bubble,Crabhammer,35,1.3537481025375222,1.2644000335504313,1.3529209304096623,1.264561083664868,1.3422048846355068,1.1661765058753855,1.2593177492356546,1.1858167107286375,1.3280388369530494,1.2640230740290253,1.2490949321609592,1.2264833029422673,1.2325771207416216,1.232888603632679,1.2658411070800246,1.2273579294357462,1.2951148853923147,1.228615400283243,1.2872358858166584,1.250468728769211,1.2499598838717996,1.2225590243410904,1.2849881211232057,1.244170631929188,1.1885194482831793,1.1982516524087432,1.165549980958102,1.2266754708563188,1.130971520040648,1.1896116126068432,1.1825091724733803,1.1958445221495941,1.290904743606605,1.2445337994228103,1.2073900013497734,1.2387256146325403,1.2360105916008646,1.2099534751217118
Shadow Blastoise,Water Gun,Hydro Cannon,30,1.4234699365644596,1.436706435309364,1.4259891138027756,1.4392425824767245,1.4713151185056916,1.3254517835205633,1.3447973023885844,1.3648426548038342,1.3981178218628834,1.4151788643674226,1.384626595530968,1.4110495348621586,1.4062269579530087,1.4597774988767076,1.4103746004536617,1.4372015398985034,1.428228064402886,1.4186279116050222,1.4421779809828594,1.4452802777248723,1.3726150677369355,1.4030647800980662,1.4106489151177024,1.4393016828847218,1.371378052294141,1.4373639323346308,1.3833690737496762,1.4856303839253657,1.2977343153449097,1.393580364352846,1.3419748065569415,1.4078813985443681,1.420801713707576,1.4149273030647993,1.349686904026459,1.4253459894378981,1.3993579959358031,1.4350925488067423
Roserade,Razor Leaf,Grass Knot,30,1.6570018469521979,1.4396859783223737,1.6718368454437855,1.4516297189031202,1.4685513005977369,1.2600340641829633,1.3281934319172575,1.3100546218367635,1.4623840809543673,1.404333964010745,1.3982501313512177,1.3728916197923104,1.449942045603076,1.4260029162414534,1.4147969679826096,1.3782074170666527,1.4316121964117599,1.3824438389249205,1.4259100160931417,1.3714141072809032,1.3869889933912671,1.3675239762261149,1.4426613794829513,1.3834823109582544,1.34875217067982,1.3662630241931197,1.2993981483267407,1.3671075722903738,1.2748231314249914,1.3230085541593901,1.397715451864225,1.3698903517424221,1.4030182914038976,1.3683217870492363,1.307912544641723,1.3660342543614035,1.3594153068039865,1.345566546672562
Palkia,Dragon Tail,Aqua Tail or Hydro Pump,35,1.4993097368041564,,1.5017645315185486,,1.3158789918936007,,1.3269233538043108,,1.4354917024634566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shadow Tangrowth,Vine Whip,Power Whip or Solar Beam,45,1.1000284814195302,1.1075004060724363,1.1009472011138162,1.106006600622081,1.0661290334308535,1.013544052937911,1.037010337857003,1.0544073676516557,1.0569813219431465,1.0881730615751708,1.0594580603288415,1.1116655334404748,1.0788603971761936,1.140164102079839,1.0684585858242894,1.1172046844212906,1.0609903945467543,1.122890608680312,1.0578502513291086,1.1230832703354627,1.0514876013805798,1.1223608815471768,1.0565375911396582,1.1163870927980408,1.0535362587086428,1.1171974028249725,1.0412317281250627,1.1100106509588856,1.0274287427969182,1.079662876438169,1.0710340815638293,1.1032270308237366,1.0451316822022678,1.0837073468031546,1.0655558235917488,1.136267682156742,1.0552548061032478,1.1155560807230012
Clawitzer,Water Gun,Crabhammer,50,1.2383963872189736,1.2031838764569152,1.2397899759340432,1.2062256798142477,1.2112150673521556,1.1322594756744397,1.1470916431739733,1.147578428492841,1.2064119072016428,1.2310883624237359,1.2008953130794906,1.2324785202126343,1.1989249406588818,1.2534077678021274,1.218189718419914,1.2508361050558146,1.2036808483543264,1.2288422096125928,1.2017803875051316,1.2295023461413197,1.191358455076708,1.2358247317961892,1.2143836249627022,1.266865727730582,1.193675268704756,1.2491607425426567,1.1928795938828087,1.265094545051614,1.1661254715102511,1.2348914959344701,1.167096431133922,1.246936781666813,1.2080722925986334,1.2072149755351929,1.1883360647014651,1.252731880038511,1.1463218891586808,1.192674197914677
Mega Blastoise,Water Gun,Hydro Cannon,40,1.0,1.0076695537653573,1.0,1.0101645494158744,1.0,0.9467418796943006,1.0,1.0155409163871576,1.0000330362042742,1.0248841519084142,1.0,1.0676312932686365,1.0,1.0696378523559835,1.0,1.0692623968146104,0.9999999999999999,1.0685252301538213,1.0,1.0571849822342747,0.9999999999999999,1.0514688028708086,0.9999999999999999,1.0779736838347314,1.0,1.0683291011744869,1.0,1.0896244336481975,1.0,1.0617980591852512,1.0,1.0802027782251529,1.0,1.0355757755296333,1.0,1.0830779749015187,1.0,1.0591136411989972
Shadow Torterra,Razor Leaf,Frenzy Plant,35,1.2394162800446245,1.2116152686305242,1.243760573485572,1.2107290728969313,1.2688074681980979,1.1182734645486365,1.1126080138289274,1.1218413676968224,1.1572392200367871,1.1754846842567614,1.1444965771417974,1.2005364151934725,1.1903084586548782,1.2271168997478183,1.1889746546263256,1.211751950376494,1.156511937536987,1.2005327448296057,1.168761504214686,1.2008840116001502,1.1576224435787377,1.2160650330924196,1.1746006991288322,1.2103254909948267,1.1499843941585153,1.2050412364832994,1.141700984871169,1.1969763621075942,1.1028472509740606,1.1479542269142038,1.2616623367155144,1.2204225267694337,1.1738294121780204,1.1679081849714972,1.1530050389881978,1.2143957240239587,1.139121139286835,1.1778349838927484
Roserade,Razor Leaf,Grass Knot,35,1.5620943621703827,1.3695416467267156,1.576599764140866,1.3724145809112358,1.4251593230863873,1.2276798617582059,1.229368009335637,1.2207320555422743,1.3542335952540485,1.311252301465468,1.315058567190011,1.3037721558598094,1.3584689777154035,1.3389751620448698,1.3205135911138477,1.3101723018013864,1.3584073504615715,1.3249509470744858,1.366459191749447,1.327823725262251,1.3119471301393202,1.304643665308515,1.3398875020386871,1.3085402397421144,1.2705286706061378,1.300401881252291,1.2308137814123143,1.2858970902144333,1.2064360247919241,1.2719952207878538,1.3234875216320166,1.300562150404569,1.3189049608313428,1.301872456649638,1.274908774075318,1.3397715147330347,1.2875246306904018,1.2848861109668128
Sceptile,Bullet Seed or Fury Cutter,Frenzy Plant,45,,1.3051569976507504,,1.3074346748798706,,1.1814633510546828,,1.2086939762938729,,1.2790753790819296,1.2395279469032017,1.2646846798120905,1.2350160869275648,1.2615844016206117,1.2678241752930746,1.2754441370785576,1.2618181523300653,1.249114610040851,1.2532663518112366,1.2689572735810204,1.2027606993045634,1.249872825643551,1.239826953964373,1.271750445129059,1.2078450804202558,1.256607876289058,1.1915145764630968,1.2414196995251032,1.1931288606058348,1.2432675332092686,1.240400409125597,1.2514122231539875,1.2410247963067678,1.2571273006454715,1.2186282682406608,1.2993378140941916,1.2113594454189733,1.228859660815578
Shadow Tangrowth,Vine Whip,Power Whip,30,1.2819292226893568,1.2745562324841546,1.2836996170729942,1.2755368634322286,1.2324977286303107,1.1627769953060179,1.2109549462847877,1.2229257504208075,1.2088226419018502,1.2196302488114346,1.233290579799728,1.2616437832241314,1.2345357535156025,1.2838489729592852,1.2198299785894091,1.2414724319717825,1.2213221427744,1.2301248500075224,1.2025231868720618,1.2373526662414447,1.2027870822274986,1.2700924106569673,1.1972645889217166,1.2429828194087542,1.1790101325444362,1.2402749448085537,1.1610886032877634,1.23755336287366,1.1453732804410934,1.1979236023263797,1.1934483165417136,1.2269386914113898,1.2010669234928812,1.2186639288800034,1.1816984333828693,1.2613784656844589,1.20165355223882,1.2430571545529165
Shadow Omastar,Water Gun,Hydro Pump,35,,,,,,,,,,,1.4883675747929286,,1.4648655347309565,,1.4271390669791,,1.4634900856937425,,1.4828614664340614,,1.4300373098953296,,1.4725210501513326,,1.5133622029473222,,1.2866829226699414,,1.2720239877482546,,1.346575929405921,,1.4512227513572042,,1.4391701267409047,,1.4000648436401955,
Shaymin (Sky),Hidden Power Grass,Grass Knot,45,1.1351131399093743,1.160738792388771,1.1376952262815232,1.1657702897386217,1.0404406057276692,1.0325514816528956,1.093286353062567,1.1073630034241242,1.1188635818193253,1.1429432283614565,1.1272107568920757,1.1643132262949685,1.1121134318247787,1.1681867500068615,1.0828282902437356,1.1403701054378679,1.1037928690132064,1.1499387028137267,1.091214690878987,1.1513285221130307,1.1010411774042996,1.1480766469959491,1.1261555505282548,1.1734054007739871,1.069570320585614,1.1231007474694068,1.0855299267734937,1.1577163982333267,1.0504488056506256,1.0973007288680554,1.1189949014685394,1.1687432768270114,1.0976060752920505,1.1269954498623944,1.0835029958163664,1.1593719685092707,1.1147051045093288,1.1309211225911349
Zarude,Vine Whip,Power Whip,35,1.2004959095185728,1.203442074744088,1.1983262067734857,1.2034328912856855,1.107647744463548,1.1176115952377406,1.1785780401901012,1.1961618031864212,1.1667513195749843,1.1886445597318416,1.1949706777722833,1.252323178081345,1.2079996964887574,1.2856764382060002,1.1884741463178876,1.2375754261050145,1.1508458042222098,1.2335466287861334,1.1770324133725893,1.2437114153878694,1.1829013739164447,1.261124627618857,1.169951590100961,1.2346119880076332,1.1677784033243168,1.2330538666018944,1.158387221084083,1.2392238354811946,1.1371944286458564,1.186261197696924,1.1696268721269838,1.2206650215605535,1.1566296655382478,1.1978674656281747,1.1751969415760606,1.2551018697101706,1.1725554219601744,1.2271613344609895
Torterra,Razor Leaf,Frenzy Plant,45,1.3302069792090432,,1.3310149774051057,,1.1996748460213131,,1.2480860212256086,,1.2704290324433691,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crawdaunt,Snarl or Waterfall,Crabhammer,40,1.3552914415564292,1.3263941424668513,1.3589910588661374,1.3292650486083606,1.416838965978718,1.2347404676094866,1.4561384173195449,1.2685639661342711,1.5629081986322786,1.3668721571551536,1.3379268914575349,1.3072250896278899,1.1725368133737903,1.2044626645024217,1.3779393679111542,1.3619690922163423,1.3941569223371604,1.3292534156289,1.2328376499452474,1.2394847306264627,1.3288902215786305,1.3023367576958769,1.3428887955247335,1.3119205900280568,1.3107256273193495,1.2952597191776865,1.217861127298978,1.2814516218070235,1.1811834280532303,1.2261875611548616,1.264647730112401,1.2752079074019906,1.38596666423876,1.3561522343906396,1.278951802130185,1.3104831574670945,1.3159223928990145,1.2881695040817362
Shadow Sharpedo,Waterfall or Bite,Crunch or Hydro Pump,45,,1.1943900763233946,,1.1955523130639403,,1.1320389737589998,,1.1908131942245284,,1.2617063392502577,1.2237477206700456,1.2133844959203857,1.1735353039427736,1.1414196687185025,1.2958032397455443,1.251269333423876,1.2209568875625991,1.2397460233843975,1.4102702925352535,1.2374221430655759,1.1877002759101158,1.2269662726564028,1.2293965710970127,1.2002274310735783,1.1707764485514431,1.2126326584079703,1.0919403088711566,1.1127338219357077,1.0158461827189074,1.0467123289633722,1.1216002097854614,1.1332254414626501,1.199823337606621,1.2154217467185295,1.1705032828715076,1.1833137452926028,1.1715703441166692,1.1975340182774563
Shadow Exeggutor (Alola),Bullet Seed,Solar Beam,50,1.2144601015787742,1.191771886225289,1.2195833577311486,1.1924891463891452,1.0658200035411192,1.0504161360138708,1.0758589197407544,1.090110500011584,1.1592259333522394,1.1277074645246794,1.0614271696130546,1.0841355737730252,1.0999175772483776,1.1446460751178809,1.131431799414929,1.1300322879477447,1.0656425567420857,1.100310157737247,1.1283302998076075,1.1529705749090466,1.0470227386124098,1.083097864391776,1.086264395763138,1.1191004371997868,1.0319750581834923,1.0903653898644956,1.0522897965356914,1.0915498269202553,0.9850577798534814,1.0330223120632605,1.1456218497381028,1.1426703781449254,1.0756841356707472,1.092913094404996,1.077243234654877,1.1058162617982734,1.0805964826621304,1.1005391418394326
Shadow Torterra,Razor Leaf,Frenzy Plant,40,1.1755874478609945,1.1801591017461905,1.1787894914306003,1.1808501776568574,1.187373138685707,1.0589759003949404,1.0825920220121539,1.0949273761324858,1.1007088820162485,1.1278580573939907,1.1108588824329335,1.1519443843491162,1.1298507977374592,1.1661631284638843,1.1295128910904626,1.1546028487602304,1.0976893355037078,1.1566728310420675,1.1326140464149344,1.1697579962413382,1.0821739474324321,1.1319286187537616,1.1358402360593245,1.182099385725656,1.1004766169252105,1.1496318352222914,1.0924314075986417,1.153579723830626,1.0776045106441094,1.126024596133174,1.157866659530466,1.1692217920337598,1.1149487939008236,1.147514488298047,1.1261332078636175,1.1974614629717961,1.0839376722236758,1.1369831121967608
Roserade,Razor Leaf,Grass Knot,40,1.4707154274579588,1.322868182053387,1.4695712607309026,1.3306160761244443,1.2918196061650373,1.1556157729582852,1.1916162200771008,1.1878151579561902,1.2988770642235166,1.277244140274221,1.2462711707256768,1.252447575411052,1.2680154107449504,1.2644925306740527,1.2443832567620623,1.246328456111195,1.295786705815683,1.2635945724683781,1.2858629086708597,1.2739260699991943,1.2518508135095732,1.269633878706814,1.2797384166858947,1.2769067269541898,1.2026373521895062,1.2362202277347398,1.206494916684547,1.2640837880753157,1.1617891101009565,1.2139620996251794,1.282406628175262,1.2682593329545104,1.2656617362999782,1.2519253086637412,1.2141512041788853,1.2785728196136525,1.208063660594545,1.217210823259617
Mega Abomasnow,Razor Leaf,Energy Ball,50,1.3701491128678036,1.3645042863841021,1.3712201789761378,1.3651837638642534,1.3749051096456228,1.216392545035653,1.2920330772835005,1.2744531512707762,1.3972012091023713,1.3821779100638725,1.3437104594202003,1.3464287921869205,1.340894755493352,1.384909515710833,1.3171327702863396,1.3454213928186503,1.378226426700448,1.3502233685686258,1.3396822011705696,1.3716573576047242,1.3171639062111467,1.348140599851237,1.33844284121989,1.3728679088441824,1.282930297389873,1.322481855335235,1.2947802852307368,1.3566122474986475,1.2567832292059145,1.3017225315880232,1.2773190246757482,1.3134466677340886,1.316384356009726,1.3269362020725401,1.3075378289367188,1.3644838245507023,1.323459799977944,1.3276995461339325
Zarude,Vine Whip,Power Whip,30,1.2337188451803458,1.2345190009049887,1.2374169017608967,1.238906043690097,1.1425843915183294,1.151953450645927,1.21334904133513,1.232261935449073,1.2485223393992044,1.2734211362229153,1.2264247743849672,1.2916608202497217,1.2462836347109123,1.3212694012236286,1.2252626923018688,1.2718209769340993,1.2226016346127753,1.2849194741937733,1.2487463586651733,1.3204462239970454,1.2183967796581703,1.2776344865433549,1.2489296985448468,1.321248571039892,1.1964588002282666,1.260907834540501,1.2505542103478582,1.327199705013533,1.1916119287377827,1.2591928919247648,1.2451485591561826,1.2858496225841287,1.2189656241852465,1.2747006017691465,1.253525141730363,1.3330789959478573,1.2049631003741872,1.272033417255897
Kartana,Razor Leaf,Leaf Blade,50,0.9007399749983107,0.9058560321071296,0.9021686696373735,0.9051178919213476,0.9152655493842489,0.8406229242734982,0.8879285791912852,0.8966502621609906,1.0095853808779185,0.9394668319914884,0.87367373902831,0.9145151401594758,0.9104475492074958,0.9396351070635268,0.8902858258035319,0.9131888412877065,0.8823752049223309,0.904041736359626,0.9254551863082843,0.9348567995605026,0.8817833772416681,0.9209523476738333,0.9083782721401444,0.9325512339977134,0.888435424325251,0.9099616186746056,0.8596874840790977,0.9124668629075137,0.8448643478319005,0.8728071520088402,0.8874712927662176,0.9003170423200694,0.905927275525644,0.9051603486611468,0.8768312632103058,0.9334361629377446,0.8710603212180198,0.9009857478786882
Clawitzer,Water Gun,Crabhammer,45,1.2697672872841037,1.2392211446749168,1.2704689276859311,1.240055462528145,1.2391123316377894,1.1588913080071828,1.1812233297665222,1.172827278804656,1.2354666244650916,1.254662986441079,1.240189802509581,1.2688000293608603,1.224104780986633,1.2851840641498904,1.2523764776848236,1.2847709507271938,1.2843469578850435,1.281665701486848,1.2850217305553027,1.3007496619904546,1.2497772078633027,1.2980025635316492,1.2508010068296964,1.2862231334831,1.217549282650522,1.2796260128379935,1.2154134153662464,1.2986159340313632,1.1696099794228367,1.2513026648119046,1.1997261064496807,1.2692147938224336,1.2354541657090163,1.2396393709027467,1.218524337345077,1.289990558226786,1.230629105492783,1.2731604952616296
Sceptile,Bullet Seed or Fury Cutter,Frenzy Plant,40,,1.349511569311829,,1.353925233201151,,1.214848168161705,,1.2427407741921999,,1.323520823820761,1.294876529855359,1.2996666962850785,1.2671609728558968,1.301407200701863,1.309307787450448,1.308718571787115,1.306266710284368,1.3263833590948682,1.3090371123875493,1.3297014092773838,1.2936153868240323,1.3262366250228208,1.290120502392686,1.3138842686993664,1.2415896634848251,1.2932716455183584,1.2217504632109601,1.2923682228169424,1.1997833882264626,1.2520185342507817,1.290680978149434,1.3191942259086578,1.2726937952224457,1.282590801355956,1.2489371737736195,1.3074347281601095,1.272836040577646,1.290902159807175
Shadow Omastar,Water Gun,Hydro Pump,30,1.5308174570240605,,1.5356699894212993,,1.554999958190074,,1.5648175426597661,,1.848864928243321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
