Attacker,Fast Move,Charged Move,Level,Arceus (Fire),Arceus (Fire),Arceus (Fire),Victini,Victini,Victini,Volcanion,Volcanion,Volcanion,Entei,Entei,Entei,Reshiram,Reshiram,Reshiram,Blacephalon,Blacephalon,Blacephalon,Mega Charizard X,Mega Charizard X,Mega Charizard X,Mega Houndoom,Mega Houndoom,Mega Houndoom,Arcanine,Arcanine,Arcanine,Flareon,Flareon,Flareon,Lampent,Lampent,Lampent,Magmar,Magmar,Magmar,Marowak (Alola),Marowak (Alola),Marowak (Alola),Ninetales,Ninetales,Ninetales,Torracat,Torracat,Torracat,Typhlosion,Typhlosion,Typhlosion
Tyranitar,Smack Down or Bite,Stone Edge,35,1.237101172539814,1.246944797188141,1.2372503132335786,1.3986246766457022,1.26071099089145,1.3980096109899682,1.2564445079552948,1.2338568333114392,1.2762122018274438,1.2519110734609662,1.2614016798876575,1.2740604767635544,1.2543723365948833,1.2317657136729412,1.2670111641903339,1.253015681809355,1.2171358774665317,1.2494815652926077,1.2500533084947862,1.268032165684872,1.2903723664050901,1.247105472734321,1.2593905339220564,1.2715079830029974,1.2583315785278624,1.3075240414467846,1.2533082996891736,1.2920212684087977,1.3248710030211854,1.3129990950684467,1.2898568992852055,1.3401827622764804,1.3081994716648722,1.2477435698268204,1.30968360569642,1.2552794741058442,1.273600890185845,1.3274714128842227,1.2693724736650167,1.2816748572281809,1.3220072649093197,1.2872628238042476,1.2735178875959274,1.3372415031520548,1.2767151564103638,1.316044953329149,1.3215865166496528,1.373507785990859
Aggron,Smack Down,Meteor Beam,50,1.1944190629000135,1.1932483021003382,1.1989834204344354,1.2817336849386531,1.23968300699107,1.3000403279170367,1.224715857994768,1.2175036971018245,1.239158746656379,1.2645949725707601,1.2674250618972036,1.2752075045869282,1.248065294306776,1.2389422630049425,1.247627436236189,1.2594317158740251,1.234710685216149,1.2735820705488488,1.3002387774670128,1.2730512858773337,1.303905557890318,1.2759584698022524,1.265265342499968,1.2705026491436493,1.2430539491826385,1.2971189206850413,1.2576590241886607,1.2897385566291377,1.3011383782895831,1.3465910864457766,1.2604109605635103,1.308161320211015,1.2736302453345407,1.2565251339426178,1.293866592385076,1.2624281381459659,1.2708585265911967,1.324323603573841,1.2865848440661347,1.2441278137056033,1.283438004915156,1.2489515235044957,1.288075572552926,1.3538457963388861,1.2909467478529042,1.2823552325597347,1.2761906545681816,1.3150620786795995
Aerodactyl,Rock Throw,Rock Slide,50,1.242602985863614,1.2346228362739309,1.2485863190416366,1.2282394676137878,1.2252877295411564,1.2337507732803552,1.2884268469683593,1.2069468336858347,1.2942241245576116,1.2065632243040403,1.2004491857210415,1.2116899660600484,1.2258191258216609,1.2218765824736417,1.2239867418499646,1.2286091244257122,1.2071324976958109,1.2257252587020298,1.248543073661909,1.2507229491835876,1.2467112361248618,1.211739148809992,1.224998375966575,1.217340560783188,1.235968726116157,1.2525851164015354,1.2403656437951844,1.210519933595199,1.235719350100627,1.2222539800949581,1.21184256477093,1.2737451307859857,1.2118715124559754,1.2046220915836263,1.2551456987074234,1.2086582535120904,1.224383752330476,1.281552498426658,1.2285467934372085,1.2000163510959738,1.246693134150233,1.2061807688727544,1.2296333576522522,1.2982736853152823,1.22541137996842,1.2380585002410398,1.259294548583602,1.2550094381973143
Flygon,Mud Shot,Earth Power,35,1.650483002366089,1.5701245902972565,1.3702019774166851,1.6534193995651165,1.6050987067366955,1.387640056076291,1.538926459750705,1.4972435179432693,1.2970718027392216,1.5368177349879262,1.528404043248552,1.3006177169258593,1.7314039754002102,1.5961044777255171,1.4617626749500694,1.6474718774544659,1.5714960393586805,1.3929707430505742,1.7124213331439333,1.6508909883880643,1.442650092276646,1.5957353517478536,1.5797607068267758,1.3915347670619427,1.5321257426681674,1.569583363676287,1.2927078697285648,1.5955265224347794,1.6004476181859164,1.3665178489873353,1.5462560081534613,1.5838032248885083,1.3244248107914212,1.545915753064717,1.600129221762938,1.3113244466270264,1.566000250024389,1.613225828847166,1.3193569287193068,1.5449293449761872,1.5863492097288747,1.3008377821144124,1.5549860665022197,1.6316076376929627,1.2959288643760027,1.6336700576098067,1.6251655099412137,1.3940979444258803
Shadow Nidoking,Double Kick,Earth Power,35,1.9393839019542898,1.5471875055594198,1.6892841500844187,1.9376049314511972,1.7050246103205613,1.6558734586329635,2.018929126390927,1.4427975310161845,1.7718401394621381,1.6907364389509343,1.4952685174418687,1.4688785677992582,1.744770667925666,1.4405059471247281,1.495704775257989,3.5451746137364486,1.834922709583177,3.120262397907734,1.7500418425900077,1.5244719035169592,1.506724195782235,1.5487090183528904,1.4404280401588105,1.3233649159487535,1.5238023435451924,1.460275922874338,1.317727441794032,1.6586768206191482,1.5196953871793741,1.4295942106245092,1.6359373590201396,1.6169376332364085,1.3872741579424495,1.50441579080849,1.4663607427592336,1.380875215329791,1.6085191647295027,1.6284910161691066,1.3764663334058351,1.505927886480264,1.4723164207314428,1.374879448201011,1.4993887413261768,1.48622833469785,1.2931436410026595,1.7726305579517718,1.5082584375622954,1.5038454853230452
Swampert,Mud Shot or Water Gun,Earthquake,50,1.4447209870309863,1.39335855862572,1.229830214269558,1.3814856966217266,1.3766482220707295,1.1838095098864472,1.3461427446743977,1.3068923693941525,1.1614015011734047,1.3653515885241818,1.3849533747645222,1.162846270168707,1.3986136346267442,1.3554932280457175,1.213014053147912,1.442328592898007,1.3507429022615305,1.2252179160275918,1.4325297591984822,1.439634718568571,1.2294194573537616,1.4362721238029263,1.421185424979692,1.2075529115171537,1.3837837497197245,1.4330116223110427,1.151455199108894,1.3519698264087825,1.3952673705214986,1.2016776116251267,1.4480699869237508,1.4381829406614701,1.2555113223815524,1.341459496845685,1.410825830131538,1.1775173671604529,1.3419559069274647,1.4168893106472018,1.1784390984134028,1.356254758264469,1.3751268984263914,1.2127047333283654,1.3771070067201074,1.4415779754687965,1.1619737152817906,1.4622134496369605,1.4236072380946472,1.260724519283019
Landorus (Therian),Mud Shot,Bulldoze or Earthquake,45,1.133896490174335,1.085246084262586,0.9608641858171902,1.1455758938120646,1.1020329482833175,0.9995542096459222,1.1170485115765783,1.0332719723574608,1.0040118431328795,1.1388196237146284,1.1418377201170167,0.9681991051486412,1.1355541640330522,1.0839362110024924,1.0891288837261566,1.1739994954853226,1.0851195067570905,1.154861936554577,1.1570350412382413,1.1330514737907729,1.0716707431673955,1.163027039076658,1.1564323199844702,1.006321745964245,1.0673949006125445,1.0886988279184295,0.9216993944578922,1.1416791104944297,1.1168295260566632,1.005244417107421,1.0872719033424079,1.1369536318438158,0.9176501084040152,1.097491556416463,1.146318423603885,0.9368611751074825,1.0650516454519134,1.0967687779624768,0.9158527277582095,1.1074518686791344,1.1452786005645632,0.9087275817329596,1.118517111647648,1.1496858278511004,0.9323389528750586,1.1450066907829914,1.1284237846628427,0.9684605663729609
Shadow Swampert,Mud Shot or Water Gun,Earthquake,40,1.338841429683615,1.2449212955628846,1.164243084505718,1.3088635625679987,1.23557447420783,1.1648170133989095,1.2445556787182583,1.1809861038075333,1.0566946321676933,1.2564583287048083,1.2328421470546567,1.0737861410855185,1.3138608573045338,1.2428607636078552,1.1207064384090462,1.2868134518645362,1.2580380160733298,1.1186746346636274,1.3403073372076413,1.307490723366415,1.1478498163942372,1.304268993123838,1.297147807707328,1.120848837170894,1.2416076590861365,1.2901450660093652,1.0479854290192316,1.2229414173693636,1.2360112700011667,1.102391185612811,1.2991893484244679,1.3048065788108376,1.114969018217384,1.2010761209365188,1.2570847170932045,1.083983041892425,1.2546852848944647,1.320898989584155,1.0456205336411641,1.2845034739937047,1.302147180063783,1.0813334632685867,1.2746489768554081,1.3402980108057525,1.0484922436838549,1.3041917334919826,1.2728525700253637,1.162554860304778
Shadow Golurk,Mud-Slap,Earth Power,45,1.0890771490703803,1.0728739297323262,0.9083045231860621,1.1425698145204353,1.114567736281391,1.0808532898654877,1.2959941812722087,1.0676950910098009,1.1000928474846494,1.1835535934136354,1.1077364796338651,1.0698499953979237,1.3306524972265643,1.1037364620087513,1.1033110688176662,1.654656309745366,1.1751947955804312,1.3807365763463055,1.3242551501420419,1.1275850240632714,1.1211049565036124,1.303006015995734,1.2142038683248095,1.121377590269791,1.0887495333456403,1.0974521295262263,0.9305293277973102,1.2653894104164511,1.1169723645612635,1.0734076275761455,1.1385289851252007,1.1002333963687319,0.9725218787810623,1.0944577214879898,1.094322891702192,0.9366572829485099,1.0873159262947905,1.0972901778335038,0.920345880949458,1.1326238349844118,1.1044104829360346,0.9576099884177461,1.1157557214816627,1.1218495464143023,0.9523432995187502,1.2027646497846027,1.1127784053472818,1.0343028337735598
Rhyperior,Mud-Slap,Rock Wrecker or Earthquake,50,0.9966570628136043,1.0226825162716267,0.9222412783826897,1.014554886747129,1.0247689199774095,0.9585358705905708,1.1230550487769302,1.0319291285315781,1.0726867409397034,0.9905387660722822,1.0303855328035703,0.9197035512736209,1.0058591469550002,1.002640266892211,0.9384267632073919,0.9680562019798241,1.0100787301815537,0.9373403202876361,1.0084940059594039,1.036006205602464,0.9298098714114704,0.9880669327060683,1.0280854030690039,0.9171702299555103,1.0096645156093713,1.0640793163201405,0.9306922275860866,1.0140561431561153,1.0591682972744025,0.9338581485626893,1.0477192134041016,1.0767588714739595,0.9856460866803618,1.0145433957342849,1.0758857257597085,0.927535184659639,1.0320845316481706,1.0854261154862879,0.9426301344876914,1.0364689494325297,1.0800350661400466,0.9925985221775728,1.024564822538319,1.0874288473999019,0.9695713036945376,1.1005511888144088,1.072998816452562,1.0308541905584145
Terrakion,Smack Down or Double Kick,Rock Slide,30,1.2592027135897206,1.2603965168595486,1.257404638483128,1.311193310086192,1.277744702837208,1.3223307593228373,1.3550133862805294,1.2543871670647917,1.344916719261893,1.232935573529781,1.2299488693463347,1.239559043195174,1.2171624304050062,1.2167376908031085,1.2244593802023074,1.2719789104318024,1.2660760635688493,1.2812689436525981,1.277509930349406,1.294929665432861,1.2828715148227872,1.2092509686819446,1.2322760783984243,1.2167299919717272,1.2363632801116016,1.2730020428857172,1.2395341665634585,1.2504552204164987,1.2812490730960584,1.2577809800965403,1.2735028582767465,1.299949467644959,1.2854526695865534,1.2120565605020492,1.268989145971596,1.2232587179631398,1.2316674567602397,1.2822484484028764,1.2318369433651999,1.2503586731645213,1.2870676479508036,1.2983050683211028,1.2396356619257871,1.3242249052874056,1.2402152541003235,1.313212897648855,1.2835660095817116,1.320413825256098
Shadow Nidoking,Fury Cutter,Earth Power,50,1.5037676556573925,1.2942875005612369,1.2786549635768014,1.3153478165024954,1.248027750377407,1.212521390242664,1.5342038766151163,1.2371891287928252,1.3954495951481827,1.4211298486623827,1.3294108447998125,1.2771512830848164,1.5531237058058749,1.2760102469712793,1.3082588976947582,1.6936082615723838,1.3218444171755699,1.4737143328296147,1.6154406402943424,1.3277321061417915,1.3783872790882439,1.4089706609362918,1.2651432964939593,1.1993350059536598,1.3135270745643728,1.3290494206908765,1.1370659166117971,1.5252003515006745,1.314720205549355,1.3362547283788462,1.355457569785152,1.3885937240470423,1.1650825263366813,1.345283034969713,1.3720555120456015,1.136798953072414,1.3493662691894,1.408339871812428,1.131678883392428,1.3229381035949754,1.3259724739262804,1.1476469298838254,1.3028914466214012,1.3865052903767985,1.1375838203902828,1.4328512792297503,1.3412274571553082,1.2909410961765606
Nihilego,Acid or Poison Jab,Rock Slide,40,1.3141459587997246,1.3259001600265667,1.3142473202539078,1.341450645092786,1.3942088995720414,1.3365790750335858,1.2576873090861005,1.301776299553517,1.2723583737286661,1.308275456334087,1.359869895410244,1.3102419711081943,1.311668299005662,1.3392428066557602,1.3325927234141743,1.4338102258111667,1.4674473027883672,1.4717172012984654,1.3350248197026284,1.3763078098577162,1.3497959307822438,1.2963489611225452,1.3450865641576204,1.3003067750439716,1.3394809113339203,1.4111536521742603,1.33750541871234,1.3627702441934277,1.4268828682547106,1.3573582040150998,1.5145642205147136,1.6052994999055699,1.519640519327074,1.341618709339569,1.4301768039587766,1.3362901979833064,1.5418292097125135,1.6514299380913955,1.5369215527662297,1.355129207779846,1.4373533280758692,1.3498521713518425,1.3461769321124064,1.4469556851389975,1.3424651898268538,1.3533901786439653,1.400467236398241,1.3518618324979148
Terrakion,Smack Down or Double Kick,Rock Slide,40,1.1574535613747206,1.1620612506131245,1.158025260307905,1.1962664408636734,1.1788788858299646,1.200335492106385,1.1117891928288872,1.1005993955411626,1.142077533787673,1.137274884176273,1.1562692540625945,1.149559802032819,1.124919380940863,1.1244209258156197,1.1262343557008827,1.1881372184398984,1.153160550672617,1.1848028842050833,1.1551614805476944,1.1584517174730993,1.1604076097299032,1.0996643269010318,1.1031288750771466,1.0965410163086833,1.1213122068979664,1.1706279383049403,1.1273506649837053,1.1410023177812936,1.1760240751206827,1.1544458664363606,1.1635130789865715,1.1980248410366867,1.1647567732733244,1.117190478078018,1.1736797101304584,1.1166085880444927,1.155779090962181,1.2130445217822217,1.1546601558680398,1.1333155764252683,1.1792111510652916,1.1435723131996474,1.1501328016790007,1.20331649675566,1.150435014367305,1.1820511529656028,1.1768876722696182,1.2082441338290208
Landorus,Mud Shot or Rock Throw,Earth Power,35,1.2585473162723047,1.2213610475513563,1.0572269064890816,1.2609164295530055,1.2456288500513213,1.0937962621705095,1.3396546919346848,1.1820441972899614,1.2094272372222434,1.2441769309316362,1.2559738267374567,1.082491711213514,1.3255442308779528,1.2299282877275137,1.2040566133351895,1.4794949473747452,1.23280826016467,1.2334412915977944,1.315903353251627,1.2655665184114562,1.1905321246783376,1.2766136730655984,1.269231033089374,1.1329516339554857,1.2359320163046017,1.260404841614218,1.0415612119970663,1.3169863607208783,1.2466654832983237,1.2541239403806754,1.2431707281008824,1.2768534181051452,1.0460855767717394,1.2283014903403127,1.272065436466785,1.0764105635512717,1.2404641209938008,1.28842451215707,1.0396562929799746,1.2315508181962858,1.2725234572713653,1.039442310248807,1.2354314222434348,1.3014538351725855,1.0366622109759325,1.2821979093882951,1.263855474076899,1.1608353404091676
Shadow Golem,Rock Throw or Mud-Slap,Earthquake or Stone Edge,35,1.2638392059158154,1.1942981746466752,1.0971090171454616,1.404215859095239,1.241889212392799,1.235469687025356,1.331964728877525,1.1813707657857655,1.2402496925871467,1.223332728379114,1.212749049505356,1.0504385821912057,1.359434230790652,1.2139593765375394,1.2063302633782353,1.2645373189406297,1.2042243111973223,1.1658372046518415,1.2379657765037175,1.2369846454017661,1.0736245651913923,1.2833128215300333,1.2552748478596172,1.096767745773003,1.1837132271125759,1.1954343640270646,1.0302163506510187,1.2239758098029792,1.2241611690144876,1.1004499916353887,1.2122101766610613,1.2372299863185006,1.037583320512002,1.183348837770212,1.2086465564021298,1.0381929750979733,1.2104674955353993,1.219112451675923,1.0400645236208348,1.249675148217635,1.2384815536980638,1.0640292812915346,1.1948089226766467,1.2353318037223708,1.0349128154608325,1.2807924840860527,1.227095983060753,1.107218708853653
Nihilego,Acid or Poison Jab,Rock Slide,45,1.2767603134114802,1.2907492953832886,1.2649812483427636,1.2609582674826765,1.3085028907604923,1.2686495216433862,1.1968745438828545,1.2247900381241306,1.2053789593261788,1.2713718832474903,1.3274974198077398,1.279612629251258,1.2495976341565336,1.2650791545525077,1.2494943670649312,1.3507478669674986,1.4093502507050824,1.376645218717922,1.2660600300629654,1.3004872850282196,1.269779999544549,1.2557945385555698,1.3116886449700318,1.250156707579887,1.301332686995918,1.3809339364571822,1.302865780500993,1.300727843453602,1.3583723573977615,1.2845269650471445,1.4785108810748484,1.5943254389712747,1.4720720364974482,1.318507625378933,1.3913059401515888,1.3144986468750248,1.5059839883120913,1.6136956091463919,1.5074732199911942,1.327658301948237,1.4058646385848195,1.3189540594257243,1.3393241826197966,1.434534441270334,1.32226539183531,1.3132703690709144,1.3703258316475644,1.3225392985826179
Mega Aerodactyl,Rock Throw,Rock Slide or Earth Power,30,1.1128552839687944,1.0920588192936638,1.1131540312886248,1.091216785492799,1.09035723244115,1.1072001730455243,1.1706848516618031,1.074644388629261,1.1579900452712857,1.0867586870319839,1.0827094370261412,1.091743817565043,1.1229594070228064,1.1223285067172395,1.1272832729767062,1.1033177307497926,1.0813772496559584,1.1050347020378295,1.1246208488050058,1.1194689152155264,1.1209363917785002,1.0928691339044565,1.097759189594193,1.1008277869874563,1.1137140406937744,1.126590465969416,1.1117326286150808,1.087966855713116,1.1124963984702327,1.0918023644447488,1.0870082703299075,1.1277377925154952,1.0855511218919984,1.0890079555834047,1.1342523439608003,1.0898834925013454,1.0978326756221606,1.1432121866523208,1.0899393820256769,1.070927997034419,1.1066884444702858,1.0742621329090238,1.0825830872989195,1.1301115027439617,1.0848894084416982,1.1091355164798928,1.1301476887302448,1.1374595776378367
Aerodactyl,Rock Throw,Rock Slide,30,1.5260003778287385,1.4924412226402437,1.525887579854443,1.498868019509748,1.437259696397052,1.497206139999908,1.5107603345305403,1.431613631441925,1.549292630431319,1.4556397073483471,1.4603817213034578,1.4871383943861016,1.6604444509180896,1.474524190572975,1.7019199135693657,1.5020213266171962,1.44834914728347,1.6532728535785035,1.446427152409106,1.4586255214797006,1.4915479560671119,1.479561359370605,1.44271481473357,1.4866960960438544,1.4470011961433222,1.453586477463686,1.4621989051696394,1.4376530065779072,1.4316020913398295,1.5005800566664658,1.4556101583569854,1.4894115058490922,1.471811227123623,1.3971669006582903,1.4440584727653554,1.421054540921878,1.4329927885629707,1.4836203362771776,1.4516845590135763,1.4093985499116521,1.4487864020027499,1.4230437988263789,1.4227984318749554,1.4711376049393263,1.4337225407999035,1.4871454591850306,1.4548306832854014,1.5371283579326127
Rhydon,Mud-Slap,Earthquake,45,1.2713264414886452,1.2721570717086754,1.0591877190411283,1.3017393806678372,1.2933315918495483,1.0972146133829055,1.4165925921136564,1.2530429252623838,1.197922414661943,1.2631993460723803,1.2717100420765375,1.0793574520597826,1.283738332207526,1.2356453724041478,1.073644795658375,1.3145537150392004,1.2715146161572144,1.0922626502907622,1.2839028092581448,1.2690646544853106,1.1002841474152267,1.2759776109523966,1.2713973708698627,1.0907010175215208,1.2260111897318007,1.2823011887998306,1.0350068281014282,1.2526296309775145,1.2822677288404463,1.0732347253782306,1.3078286050461914,1.3109330341109777,1.0952818980749208,1.2276612795050126,1.2784051547417268,1.0377687489268725,1.2639049342459485,1.3327311237493578,1.0460438422604905,1.2816260632648198,1.2864056878884238,1.0985654438285257,1.2448561581412594,1.3373734072167522,1.0416020420082541,1.34446976096541,1.2947577712278315,1.1315143275330641
Hippowdon,Thunder Fang or Bite,Earth Power,45,1.515958308377717,1.5243856259038029,1.2986215181090943,1.4279245482273029,1.4368364119637627,1.2637680932214475,1.3350166426920975,1.343981997207804,1.1708374495368703,1.5383560691286666,1.5525537772081526,1.302354676098951,1.5505851654021816,1.5723163522926018,1.3293589975398434,1.4247874068913386,1.4179648953810764,1.254958390107993,1.6085255053478094,1.646890741234117,1.3890760503206712,1.4992493027243192,1.5555072603822317,1.2937656681112588,1.529026669785165,1.5901956169494522,1.2945424425610375,1.5471861174207306,1.5897101327736403,1.3617178710819922,1.5046448425118761,1.565634705045506,1.3014019172032405,1.5125934875038787,1.5791502079268382,1.3071787931594117,1.5120258693101587,1.5847208542957554,1.2993108970013163,1.5191397904057011,1.5773118852813657,1.3012145534035258,1.5125884334611375,1.6243416522893617,1.3167650875750132,1.5803246780437215,1.5805938423322978,1.4204995462531316
Swampert,Mud Shot or Water Gun,Earthquake,30,1.6572285584308757,1.5523451219853124,1.4436563740809487,1.7114172536159515,1.6604099886277777,1.5040351000032317,1.6433615096958192,1.569255516775784,1.3961982552641354,1.6470780566946934,1.6231804991997578,1.3744946299974004,1.7669810290603025,1.6532175752186618,1.4800735362531683,1.65597547611216,1.6179440059093828,1.4243907960133033,1.770019509555478,1.73157218097593,1.4849391359517106,1.6333039242830303,1.595522004149564,1.4501797785944857,1.6385949032067046,1.7030250582550295,1.3513052334103888,1.639798403517193,1.6361286190968896,1.421884095975392,1.6437801770994798,1.6507174908982916,1.4625631422727206,1.5724480934155585,1.6391484741185955,1.378009341015468,1.5765551162562774,1.6423389860374544,1.3643159723163814,1.6099810474692242,1.6130368461984248,1.4068504813746274,1.5719549291906123,1.6619288345666363,1.3857893417801457,1.7433648691482786,1.6811906026739032,1.508484207497423
Golurk,Mud-Slap,Earth Power,35,1.4241987446936666,1.3719108900238812,1.1962678399124387,1.439797719861687,1.4056705687188475,1.2812116245196814,1.610630161072671,1.3780006200899626,1.3922310163197598,1.4800872634439053,1.415298570875003,1.3610615878980685,1.6758402110756945,1.401207309946885,1.3924091591561099,2.141273033564806,1.4856354716803744,1.8017003426652627,1.617934554208011,1.4349639548580957,1.4351255126413989,1.6740849069236163,1.551644051171917,1.4259285342291617,1.4031917988078397,1.3970968076123056,1.1859042522152499,1.5690788153523916,1.421976646120266,1.358399716797132,1.4493847894852352,1.4142457270048363,1.2589084399163528,1.3991077971715862,1.4000314734631951,1.206813009703626,1.3939059424451057,1.4011935851528272,1.1731411299909655,1.4478791755007625,1.4090873604390284,1.2063875460881164,1.431812669942554,1.4243110429273447,1.229685166902213,1.549599835465313,1.434924724068578,1.333274360754946
Tyrantrum,Rock Throw or Dragon Tail,Meteor Beam,30,1.2690118168903,1.2333516035271923,1.2687495393623844,1.2894151769157731,1.2432519747502806,1.2930283870833712,1.1623028902247234,1.1558596601073465,1.1750602997515054,1.192123207534594,1.1938222536785592,1.1969891168832143,1.3873575683270305,1.2257214609230929,1.4161776769134047,1.2552385503511052,1.2099486171785614,1.2858586572091741,1.2318414704895477,1.2160015619110287,1.2576968468921108,1.2334274270491383,1.2334513111391414,1.241974797542107,1.196520423801926,1.2418511675027861,1.203896893335834,1.207726023952852,1.2317301713040754,1.206380206179398,1.2268069875702563,1.277438622609224,1.2452013769527885,1.2033310271904427,1.2605750523313872,1.2086844484484807,1.242685675459116,1.2811797685485296,1.253353303028097,1.204506487618071,1.242681287658362,1.2114546797573704,1.2236385321963297,1.2751001649467473,1.2141650108420854,1.248935869050813,1.270737833446089,1.2920792510331434
Mega Aerodactyl,Rock Throw,Rock Slide or Earth Power,40,1.0,1.0066510565226712,1.0003309390060733,1.0,1.0007209588984178,1.0016391812307546,1.0,0.9687733983590466,0.9889835954881532,1.0000502621740783,1.0052592353859553,1.006790125415954,1.0,0.9951399574877581,0.997010156262437,1.0246620826300523,1.000886294281878,1.0179409391036707,1.0,0.9988102531305503,1.0009175112552984,1.0,1.0020503051446583,1.0046347838909095,1.0,1.0251557501705821,1.0032487112523543,1.0,1.0343064140530074,1.0096126142078714,1.0,1.0398209571669532,1.0025086628587923,1.0,1.047625870540934,0.9875550328430136,1.0,1.043352929454302,0.9908258658894832,1.0,1.0443739263621978,0.9899757408697965,1.0,1.0580904548552148,0.9867551414371095,1.0,1.0311387590968581,1.0087165984266846
Aerodactyl,Rock Throw,Rock Slide or Earth Power,40,1.3623517382239847,1.3411581721560553,1.357891241235178,1.329060077728141,1.3224277079046949,1.3406039319574843,1.3831350383724899,1.3025666368446238,1.4004828348797067,1.3008168036084893,1.2860285294101523,1.3074305209117478,1.3845339229828242,1.3232820653306276,1.3863418907298786,1.3472213546206517,1.3028343694905118,1.3614552294756228,1.3263081840921083,1.3119851987909203,1.3303016631772628,1.3110473317448437,1.3268927315547703,1.3283322984972588,1.32027550040559,1.336769677609999,1.3340888518466496,1.2938971997180053,1.3225708571763115,1.322560485921345,1.3142769767098093,1.3593419050956506,1.3262405397865993,1.2780343069315725,1.3354101634442117,1.2901142254089764,1.320845766570614,1.370132668206946,1.3174330236759144,1.287776777785876,1.3373508713168747,1.2813441638188736,1.3165012556362203,1.3866960036544569,1.3159561394699295,1.3304681925652317,1.3443576663417407,1.3745052148977854
Excadrill,Mud-Slap,Earthquake or Drill Run,35,1.1852998359071152,1.1883755397402131,0.9859947527551426,1.4637733542208797,1.3060583053387893,1.2363857453268476,1.3798681419804182,1.2460467954293335,1.2130010768351054,1.4235126565751837,1.3130040247248347,1.1997190280992098,1.3335425285582294,1.229430206081806,1.086147116483552,1.4003251065432185,1.2628373156350154,1.1505495552440428,1.4157934398144307,1.30050305064729,1.1691792657584925,1.3889317400330294,1.3333001892178915,1.1786076812080402,1.2747187772230977,1.2723557513575328,1.063129449946149,1.3387505039983993,1.375909329627108,1.1832774805531778,1.2786235593461386,1.2830563056399618,1.1129037744030819,1.3477648981064752,1.3080967032700541,1.1309659667808007,1.2634300482506564,1.250270897262368,1.084583042697797,1.2975031002933644,1.2681291752960326,1.087640782526875,1.2666911617752878,1.2975774270907425,1.1320912779937211,1.3515991549941322,1.315940180570615,1.140153457345945
Krookodile,Snarl or Mud-Slap,Earthquake,45,1.2713401653127805,1.2362369951941201,1.0595547042642972,1.2554695158264715,1.2199541148517532,1.0938304538578612,1.3757913366258885,1.2612170687516555,1.2318257044807814,1.302598542858602,1.3060638629683476,1.1411027151672601,1.2719340446344458,1.2339166290035897,1.231975842596676,1.3783323389257707,1.1956931238570965,1.2401604869484164,1.3647583791478506,1.338472792443077,1.276070242680652,1.2836593949211412,1.2957258573986008,1.1289875525778175,1.2162763595375463,1.24636892164485,1.038974852815452,1.3433415320429345,1.2717055909982684,1.1855656296898103,1.2254793169760305,1.2538525747640246,1.080219833419113,1.2704835753300636,1.2920597183922427,1.0943249345777346,1.205146614774416,1.2575158659153631,1.0287335634562913,1.2493102649123224,1.2876712599870666,1.0744354299587564,1.2632334419565687,1.3328243836425435,1.0754319822404748,1.3294986941132918,1.2852622516128085,1.1693952121503712
Garchomp,Mud Shot or Dragon Tail,Earth Power,45,1.1787792404286916,1.1324011439908712,0.9618791981559247,1.1172802768112842,1.1268062444119915,0.9153774492982001,1.0556830214047246,1.0446978092440937,0.8879530115625329,1.0873568126741466,1.097886074521319,0.924212951194621,1.1162293991605954,1.0250413360147297,1.0198731728855912,1.0971886441212038,1.074058581770781,0.9320267023254054,1.0678186769078428,1.0654031929678331,0.9641502562231595,1.0957806214148984,1.1067136906568233,0.9266557708916126,1.10168882417357,1.1553734973240153,0.9422763910162097,1.1251998911953223,1.1645655932969183,0.9289633333702537,1.122604654503236,1.150816835559776,0.9557638203426052,1.1244461459620738,1.1997658139737104,0.9349776768070067,1.1305632114428805,1.1737492704340082,0.9514727640511288,1.1103266315677698,1.1706040733610075,0.9349448853416928,1.127841348076684,1.1771537779014596,0.9470989700959199,1.1488960774725505,1.1892805627773435,0.9535643734207289
Shadow Sudowoodo,Rock Throw,Meteor Beam,45,1.2767074089165888,1.2267653539518262,1.279382283898481,1.4691377943274309,1.2681400126033155,1.4888255698806918,1.3795867118312108,1.2195397625370865,1.613211830533616,1.2547293329990217,1.2226770118647008,1.2810841395141765,1.4461910059311818,1.2522393482819452,1.462802161867618,1.2938451094692527,1.2411854159311255,1.4719536218535547,1.2814755409160017,1.276505389691865,1.3007302985100535,1.3185067057123543,1.2838600382162377,1.318108383459573,1.260091768104671,1.251526543098076,1.2864121370468429,1.2402028680763422,1.245970824983706,1.3204899749090429,1.282773014929203,1.276781210551235,1.2761225914415986,1.2253942313214536,1.2673929023320645,1.2453638669419804,1.2553692793840263,1.278537043386208,1.2835925264086854,1.2598387465288043,1.2589062290578357,1.247826518966316,1.2428572401355402,1.2818729862904057,1.2529746866576088,1.2999586814176847,1.2758454383199518,1.317255432108147
