Attacker,Fast Move,Charged Move,Level,"Arceus (Fairy), Tier 5","Arceus (Fairy), Tier 5","Arceus (Ice), Tier 5","Arceus (Ice), Tier 5","Arceus (Rock), Tier 5","Arceus (Rock), Tier 5","Kyurem (Black), Tier 5","Kyurem (Black), Tier 5","Kyurem (White), Tier 5","Kyurem (White), Tier 5","Kyurem, Tier 5","Kyurem, Tier 5","Regice, Tier 5","Regice, Tier 5","Regirock, Tier 5","Regirock, Tier 5","Terrakion, Tier 5","Terrakion, Tier 5","Xerneas, Tier 5","Xerneas, Tier 5","Mega Aerodactyl, Mega Tier","Mega Aerodactyl, Mega Tier","Mega Altaria, Mega Tier","Mega Altaria, Mega Tier","Mega Audino, Mega Tier","Mega Audino, Mega Tier","Mega Diancie, Mega Tier","Mega Diancie, Mega Tier","Mega Gardevoir, Mega Tier","Mega Gardevoir, Mega Tier","Mega Glalie, Mega Tier","Mega Glalie, Mega Tier","Wigglytuff, Tier 3","Wigglytuff, Tier 3","Aerodactyl, Tier 3","Aerodactyl, Tier 3","Boldore, Tier 3","Boldore, Tier 3","Cryogonal, Tier 3","Cryogonal, Tier 3","Gardevoir, Tier 3","Gardevoir, Tier 3","Glaceon, Tier 3","Glaceon, Tier 3","Glalie, Tier 3","Glalie, Tier 3","Granbull, Tier 3","Granbull, Tier 3","Jynx, Tier 3","Jynx, Tier 3","Kirlia, Tier 3","Kirlia, Tier 3","Mr. Mime, Tier 3","Mr. Mime, Tier 3","Nosepass, Tier 3","Nosepass, Tier 3","Piloswine, Tier 3","Piloswine, Tier 3","Shuckle, Tier 3","Shuckle, Tier 3","Sudowoodo, Tier 3","Sudowoodo, Tier 3","Togetic, Tier 3","Togetic, Tier 3","Weezing (Galarian), Tier 3","Weezing (Galarian), Tier 3"
Shadow Magneton,Charge Beam,Magnet Bomb,40,1.6821874401343262,1.6409873068596805,1.6889227381736889,1.6466140198986114,1.692117075183621,1.6512465203680107,1.789784443555726,1.7237690043595222,1.8254146861267828,1.7208402308521658,1.6855268024872534,1.6856564579259772,1.8687979297534192,1.6442566754459131,1.7592290420562182,1.6145462474984003,1.742339441158536,1.7059886577850845,1.7654973235002942,1.6512436423833432,1.7361631603925665,1.5512533958377765,1.6949134598770166,1.663734000336988,1.6219300645593298,1.5519931969101337,1.7793070362130086,1.7159487863611418,1.7955989479262537,1.6703797040082429,1.6019133055754806,1.5805695305209153,1.5948883197922514,1.579001157641244,1.586035402268694,1.4651308487523036,1.8268702916262094,1.6491407587350224,1.602688224150679,1.5469656820906796,1.6603314041628698,1.6014310580581763,1.6391958551074026,1.5478871029190728,1.5593983304826198,1.5433322100803233,1.6979173764208428,1.5884297770423927,1.6861524750213535,1.5528937232613258,1.5457745598071864,1.5163421863128217,1.6280980100255562,1.5414611985860314,1.5357308297916423,1.5370219116541097,1.9702956808980925,1.6997672200580374,1.5247665081011172,1.4981215393203156,1.59086962913308,1.5194585381874233,1.4198806459122644,1.3818523470055952,1.6404410603475774,1.5226468314253467
Shadow Magneton,Spark,Flash Cannon,40,2.020474960371805,1.9202789182837676,2.0238886549201114,1.921924349353101,2.0191950975280597,1.926957826347593,2.360581682410891,2.2435380257665454,2.6426943243090464,2.276315927953642,2.286370424007422,2.240900279180652,2.2667320460943476,1.9580754219662313,2.123065962023409,1.901193186681503,2.3453001959190036,2.058681989684356,2.2794597926154543,1.9978997328303858,1.8185696223376646,1.5983511003606787,2.1671558623187575,2.1035942844347786,1.9398465153015891,1.8340143381235778,2.3658817080356367,2.267408881420405,2.113237796348553,2.003669036719587,1.8915867223053824,1.8899529491916673,1.9671369384842508,1.9493521001323266,1.7497258592131166,1.5822014136346545,2.117032594502293,1.9418881447866099,1.9383150501821624,1.8968405618778499,2.0033888064577816,1.8847852765409623,1.9336949366323817,1.7959413307847116,1.8810261036693607,1.8450363373642893,2.0132604155230975,1.8831185570626627,2.02074253205936,1.8956211984284466,1.8802204838742649,1.850914207093915,1.8840381741201921,1.8065734236123792,1.8474431231285866,1.8768358855610343,2.7658154281605603,2.339279919957595,1.7767941844513049,1.763377316474094,1.9855268394958103,1.8838952948875136,1.5193762867038991,1.503160389106081,1.957627888337288,1.8144926267063965
Shadow Magneton,Thunder Shock,Flash Cannon,40,2.0115454294462753,1.9423115112752256,2.03504451507553,1.9497484900897972,2.043435615144304,1.9543520377535875,2.3942090922239263,2.2706590952364896,2.495279121002268,2.289198908082345,2.123713959145181,2.105470476907473,2.3635520396739302,1.9923566935473138,2.2124254762395577,1.9543307125126865,2.304116657787806,2.0508810959243506,2.2706184688993805,1.9473773675815662,1.9026781571115525,,2.1876360610439756,2.1103148244735457,1.9427803123047374,1.8560928613250969,2.349806570952962,2.232791945175587,2.124121739444559,2.0086237972451335,1.8663585435579806,1.8544965080886768,1.9455993432674237,1.9185984619067058,1.7470445914124417,,2.185087847791877,2.002360046848121,1.9528523725376252,1.9178034465103035,1.9774902537502754,1.8621676118942514,1.9134154919991988,1.8040541491079305,1.8392679936419112,1.814146548528692,1.9776225738048796,1.8482871541145753,1.9879023241205782,1.848582523565154,1.88615528443969,1.8234690039744337,1.8801624193010327,1.8019421071083441,1.742624468893981,1.758221444667321,2.5381953433479563,2.2295880530575363,1.6825093811141076,1.6819911786296955,1.9578287771110396,1.8720390240386704,,,1.9608466713233372,1.8137755314618151
Shadow Magneton,Charge Beam,Flash Cannon,40,2.1835490176449115,2.0987567745534026,2.203458202280055,2.0935415601830467,2.2008201008454105,2.101816656647839,2.4109684040559873,2.358114340846476,2.837173217117418,2.4507634678699524,2.3192901718099903,2.2765521712308,2.448106186107749,2.1311757726657556,2.2714488667899464,2.0714830665639536,2.486620213544189,2.1807235163459073,2.3746256540408335,2.114539211170911,,,2.2489144367045224,2.254169387374753,2.093232543528946,2.001337968008405,2.4139513618113266,2.33763960385777,2.181823889995232,2.144854695421714,2.007876038562151,1.9976372107295286,2.054342741326657,2.0295371108927505,,,2.2595952472628653,2.114930525719519,2.0052565867517473,1.9737952416548663,2.077573589972871,1.9804198105482067,2.092809482471598,1.967919226369859,1.9622881873549376,1.9577306788398618,2.073224402074527,1.978741110351981,2.126018664099334,1.9885008358107092,1.9786532667675139,1.9281342052531303,2.0464967132576297,1.9637791031686538,1.8833633369871292,1.909609958351037,2.751885122712024,2.4347717077221165,1.8529836053326985,1.837260634545802,2.0545872447975153,1.9618372289394437,,,2.072175738747056,1.9167460451053362
Bisharp,Metal Claw,Iron Head,40,1.5859371864294582,1.5742036067991028,1.5917567699460853,1.5718348237614672,1.5897808441633876,1.5737929220976234,1.6083338932926532,1.5795767932873963,1.6802768970787014,1.6172874162530706,1.6281519428761675,1.5935346501179808,1.7255906607073344,1.6218652425285358,1.7211146572186056,1.6249022796656112,1.7231502064040345,1.6099617940885271,1.7627419838432747,1.6334688220550837,1.588661660123615,1.5795864686924697,1.7008758833882065,1.648983404909744,1.6227400245592167,1.5791870189219117,1.6294437164135374,1.6138378578131602,1.5719560472379641,1.591660865419612,1.5473256282657413,1.567066614190707,1.680781469320241,1.6683494490919515,1.5945964472093068,1.6070722502942192,1.683896315331302,1.6387740430128312,1.6219220985129,1.6319983807580376,1.6171751569619224,1.6247088711735422,1.612649026147552,1.563068755378831,1.5585815530456903,1.6041056995227712,1.653240281238596,1.5844142303445552,1.6405542153116275,1.5753703200195428,1.635192591764815,1.6001503631485725,1.51860826704249,1.5505157051163587,1.6502824222200008,1.6693868109917738,1.6033568350150111,1.566776738994195,1.6457980129363743,1.6327533439772168,1.6076111660188872,1.5833961102088387,1.5968665666305244,1.5750239192735336,1.6419226430911804,1.6131987038651174
Bisharp,Snarl,Iron Head,40,2.082589628705548,2.0862393147676523,1.8599609927070395,1.8463836484450655,1.8559652066913734,1.844106449035067,1.8458739449554578,1.8404805815805014,1.9764975038503378,1.8981476219243094,1.879562902213714,1.8531957296862094,1.956778297893852,1.8442289387781592,1.9661981721697086,1.843938649156487,2.4244423530542893,2.1786666535424373,2.249133287838175,2.1074519390941613,1.8545871295946343,1.8602553420797907,2.0839865912026627,2.06334746984204,2.1249074866975355,2.099149624151821,2.265835745494705,2.3022068875273685,1.7702465003534702,1.8093549594254457,1.7887708501031185,1.8251595582010474,2.1364215285243606,2.16403145639389,1.7865823905076617,1.7899143206497898,1.8710598235510763,1.8245015233280926,1.7970784012640342,1.813989940614834,1.806780287459629,1.8144606489504735,1.8519039429070292,1.811286607689113,1.7838689824930187,1.8464141446307945,2.1353714551883676,2.0828259285762853,1.6059047175367183,1.5400410574148744,1.8564221736310345,1.787252556516322,1.7529505732143358,1.79455792321353,1.8311194717388029,1.8467690808125865,1.828636849755557,1.7842430209873312,1.8124544242856588,1.8053423857889959,1.7963876327130508,1.7777981983487186,2.021826451371589,2.00034568759137,2.089660880784868,2.0700183735770783
Scizor,Bullet Punch,Iron Head,40,1.6295027985349522,1.6371350141687107,1.629409395760596,1.6381924067333569,1.6281549300588778,1.640833740670818,1.6014257854897014,1.6014777550798105,1.5794580370167985,1.6024507743112704,1.6737471540706559,1.6480984695602467,1.5871472674425906,1.5812082866520105,1.611367480436847,1.6179590206364152,1.524000836106784,1.6275154105659009,1.6854006625879534,1.6330709410071342,1.6499470566819798,1.6392068724341762,1.6389717435037043,1.6241502675567796,1.6231667771036293,1.6191765652517347,1.697929512297998,1.6644990324028943,1.6292902124710194,1.6451550445217942,1.569496137856012,1.586457445627774,1.6383009026237472,1.677475405837219,1.6285358803406644,1.615712807273699,1.6705896976596242,1.6403274702185433,1.585672743745534,1.5976778052872649,1.6046725814892113,1.607224458858795,1.6286328596185446,1.607946165177199,1.567754753379603,1.6112242500146314,1.568816381097829,1.583183576021129,1.5882039796443594,1.5754314720310265,1.6603900956968018,1.6002669441879878,1.6036653092535795,1.6020040426774107,1.606602408492794,1.6216411278647016,1.5682954303949486,1.582144954678645,1.6188332817232403,1.6036546696569778,1.5933606866855812,1.5719498341920624,1.6234514361245806,1.6293427704817094,1.6697228407187754,1.6025483319619185
Scizor,Fury Cutter,Iron Head,40,1.9024646362992148,1.9081593094247102,1.9033716654576074,1.9048752279506125,1.8958632088559904,1.9065939536942254,1.804231518906933,1.8055340198545724,1.7776210315236824,1.8060991447810173,1.88044156671088,1.8576954525967984,1.7713337210054876,1.7749508057139145,1.799999334369201,1.810080784860379,1.8321992989237879,1.952466662857439,1.9992747491454637,1.9493021139689912,1.956967371198335,1.9340301570007299,1.9358506038361931,1.9447019154231857,1.9017676157628312,1.9202476146917997,2.094757855489264,2.069699825601556,1.7194073715700298,1.7362390489714103,1.8145272728432116,1.8293244318895796,1.9967807408390426,2.099743829751364,2.0089304767878735,2.0222667297149033,1.8042735293132888,1.7967674568960785,1.7415531451443125,1.770836909029729,1.7955726013708049,1.81058583796425,1.7632308770643326,1.7642964205525093,1.814620220397736,1.8933049166754352,1.8735390595762111,1.9151534971975144,1.6417704396451758,1.6382660004875047,1.902708229744691,1.844842619237103,1.7325721826820346,1.7619838328787443,1.7683096737381376,1.8023612976034025,1.73913053115892,1.7608732935822762,1.6896435801963317,1.6753582199734356,1.8083812128557997,1.8093504374725122,2.135099136808153,2.151674797884142,2.2565644383936863,2.171016534401254
Aggron,Iron Tail,Heavy Slam,40,1.7285972398256906,1.7386676142040867,1.7290178220727994,1.7390718862064716,1.7291228634322156,1.7393143332496537,1.671158393881797,1.7017990377939332,1.8088295963814258,1.7248302194595793,1.714969273343341,1.7271985389197346,1.8145917271277452,1.7730713239542004,1.7832772681440505,1.772511545061404,1.9497529475179007,1.7794888224781553,1.7569738523002698,1.75017531395023,1.7569095542625273,1.7106583333617373,1.724805387665487,1.7558398574460696,1.6985208064144903,1.7363438677998089,1.7135417236838293,1.7347163959082073,1.6905286244428082,1.7544409016111915,1.6771198647825625,1.7049311794607214,1.7749274043810896,1.82541872879624,1.6917622887591655,1.7164840561129304,1.765760496534637,1.7335957802547706,1.7379165912846377,1.7494718800570066,1.7283531078737568,1.7795120873595967,1.7107008830464334,1.7016965187587252,1.7163030617243695,1.770397827131127,1.7178762898635835,1.742254228013198,1.7760348335900114,1.7073844495568828,1.8120070973990463,1.7567311368207577,1.6737641099195986,1.7012499430343475,1.7581899933446086,1.768106052027935,1.7744876375769663,1.7301635348081978,1.6937407045553121,1.6795371853533754,1.7112939802707592,1.7039598162476222,1.7543989941873843,1.7519360588537531,1.7357273987626742,1.7357069948527621
Aggron,Smack Down,Heavy Slam,40,2.2152900537385625,2.257675392254925,1.7327675440444064,1.7409940938761852,2.2123211121599273,2.255123720855764,1.67765658648299,1.7147753822557328,1.8289357744758035,1.7394386397171175,1.7293005628996938,1.7470221776090842,1.7902652189494406,1.7571672879868379,2.2943895075805405,2.3081586595093397,3.31380511815512,2.7898417986211874,2.1571287582640535,2.1627478586687316,1.7681234294384842,1.7237099616065472,2.187995602750107,2.2449305442891054,2.2005181438671033,2.2666138167485954,2.4904826952240815,2.5692165300206184,2.048307556835594,2.152576317583674,1.6954485135429767,1.7257000875505766,2.2310689176710135,2.307182309156191,1.7155823008980364,1.7406674413008905,2.2225953811899415,2.1900173457061753,1.7445833915388018,1.7531077036969398,2.1431981494113543,2.2289214502546213,1.719288203544017,1.7134558247054184,1.6861355518459094,1.7414112542150653,2.1268631253046864,2.1722549079923454,1.7988355125112865,1.7325554047016731,2.285717728625917,2.220056525574385,2.0990431486889034,2.14686064532844,2.253980794019096,2.2590341123541378,2.2403476120617873,2.1881476631780625,1.7573332606289696,1.7585275374207212,2.1902121466645736,2.160705361464581,1.7078179900844608,1.7106431391830876,2.1869723402515477,2.1874068499640695
Aggron,Splash,Heavy Slam,40,2.68767388720604,2.7664448093367917,,,2.7005071597474206,2.7693783640476464,,,,,,,,,2.7977101326419542,2.814916423130067,3.8526371901959853,2.950897097080563,2.7053761560503093,2.765652899443584,,,2.694183750173172,2.8127655064718216,2.6665438225554703,2.784618461808795,2.66229308807099,2.781993736914181,2.6073611251636604,2.744589666432566,,,2.750561351144686,2.8518255459895783,,,2.804100051896742,2.7927302330122514,,,2.6527599963609063,2.7870660872148605,,,,,2.696865984749132,2.7673126468566074,,,2.8305561616935737,2.7929000781878663,2.655874473334989,2.727522178926333,2.7633633901475694,2.809407948529366,2.811433769077775,2.7609666681815335,,,2.7003014512122108,2.6967333911552176,,,2.696132591512001,2.7273810842304345
Aggron,Dragon Tail,Heavy Slam,40,2.7634078005565637,2.849797317780362,,,2.23107485999229,2.2655492008421128,1.7452344547590757,1.7954089325644744,1.9105009604771344,1.8127900968373056,1.7900690471250338,1.8024425692984933,2.240231482778373,2.2322236381719436,2.217591501810414,2.2407863684718943,2.6365954639297535,2.2749934939034753,2.736996697031073,2.7888133057735582,2.3068693573294907,2.239458116515365,2.5242310818237454,2.6155965736285065,2.7828856807471523,2.8853359287846057,2.909879209476494,3.0218974624708568,2.632608922823859,2.817134098516965,2.109007526747652,2.1708039015844043,2.8251930865114256,2.9582753916389883,2.1980733006735504,2.244730903792104,2.2769210165065124,2.2581126762830452,,,2.6504401200949848,2.794694588016622,,,,,2.743842760340468,2.81695306740752,,,2.945565402459062,2.910595356889357,2.6541797399116187,2.7144821221149806,2.241879853566615,2.2509826452226216,2.2062060559990004,2.180321923857333,2.149869290560489,2.1464919394905286,2.136195313191838,2.1205412652509317,,,2.733786703270843,2.7507816004844674
Shadow Magnezone,Spark,Mirror Shot,40,1.7228136233674782,1.725880137559893,1.7272348178384878,1.7231008391017688,1.722719317186378,1.72481221659552,1.8522184505804884,1.8330411650763396,1.988106781553682,1.8547151473819026,1.869561513374993,1.814110996092865,1.8624085034148312,1.7360829858522837,1.7174979279197338,1.7283986092939272,1.880638792771428,1.7812047754268334,1.6834320606385644,1.6630997593812453,1.712940968686381,1.5225652823079052,1.8264638409058755,1.8194617444979126,1.7287841095859122,1.7230317429755513,1.8766086889326066,1.8596559688714347,1.7024690285313395,1.7310939494445667,1.692439890283716,1.6882254791716211,1.7141630527069829,1.7475919041463088,1.6497608716337497,1.5454553396796553,1.7719745036327719,1.7412181316242943,1.6779254295750068,1.6884449489393334,1.7203628309736807,1.709701501064571,1.7189199311225523,1.676955240769785,1.6797694740026938,1.7071781429133568,1.677834380925006,1.6713421169369853,1.7349316883418882,1.6519196702157208,1.7303926905698472,1.6899900540568351,1.6702357666346785,1.6709795975049222,1.6920712533001927,1.7063248902718189,1.8488749957857162,1.8620918105593316,1.7359955303491528,1.7222413471657823,1.676205147741621,1.6420653387289508,1.5092744721663118,1.502108902649438,1.6890143152041541,1.7065212335492699
Shadow Magnezone,Charge Beam,Mirror Shot,40,1.7452111215513424,1.7602435525974578,1.745520676670134,1.75772857097737,1.7435244014026947,1.7632024840932783,1.8422530897889149,1.833746192045862,2.0109025559501483,1.8748313771520244,1.906388000097443,1.8789257992896753,1.9469330270594518,1.816257073757363,1.763380183594774,1.7964798262025004,1.9170213437485013,1.8543263381191954,1.7354707109420584,1.728451657866338,1.7920337593143723,1.6055701490025365,1.859882227906032,1.8497466333611772,1.74311044384666,1.7336633623265347,1.870858783111543,1.8786843190199887,1.7461733476495753,1.7683074028696948,1.7406938631031985,1.7536275629589833,1.7265135449815407,1.7796428962208655,1.701882190133149,1.5917934274761447,1.8409927763083,1.803856295901147,1.7548313790376515,1.768691352330321,1.7557154685377379,1.7429284661413003,1.7547083869196718,1.7095199469598672,1.717297424284897,1.759001392741036,1.7261608151731815,1.7214392028485728,1.7764023865963012,1.7150732881948079,1.754940463893808,1.7249576919732967,1.6984770618742295,1.6970157892640467,1.7618973433513199,1.772686007202367,1.8630948597308004,1.8896963048094895,1.7570204317605345,1.733191573489069,1.7341067145844185,1.693863099728008,1.5684738496491246,1.5649412363147297,1.714613206092623,1.7347500598084402
Shadow Magnezone,Spark,Flash Cannon,40,1.7766842494476498,1.75588336732676,1.7768550069899103,1.7496137971448071,1.7735712387872238,1.7578201640096605,2.0146462876445663,1.9547093031345215,2.365894681723563,2.0146098235211083,2.0229673603300062,1.9118444395648826,1.978303923055449,1.786200685273079,1.779703155451214,1.7593915457135523,2.1951818504175313,1.8550283243272312,1.7496594094922788,1.6811284420735915,1.688553052037186,1.475728298557805,1.9188717116643956,1.9142313256630596,1.7379660398468513,1.7394164637931848,2.099957981705138,1.993931503926842,1.8530020915391903,1.7910739569289442,1.7263806691597088,1.7132185603383618,1.7513656145879322,1.788121799507179,1.6250184531161518,1.4888213146722202,1.8520310878226804,1.7902190199241086,1.6746050104807138,1.690942659660468,1.7464183677894072,1.737831931044727,1.749435518215273,1.6933093677776603,1.6894449455190856,1.7333362562831307,1.6940178744052399,1.687298960927103,1.7501635301064709,1.6870977641352847,1.7718478611499304,1.7141714431118806,1.6728672179595891,1.6844307399936915,1.6544577317651201,1.6731807714535987,2.0777150009308896,2.0548115668374702,1.6946871119342046,1.6967252096124212,1.715204000647929,1.6471205766463475,1.4300764090516378,1.4164032848815127,1.7238875332942576,1.737221333954725
Shadow Magnezone,Charge Beam,Flash Cannon,40,1.8336966986076286,1.8075311484664869,1.8470754311083157,1.8059326294882019,1.8398028135475148,1.8109291817823097,2.0122240160349034,1.9576909862217335,2.3974984454848647,2.0625490703729663,2.1390326262296195,2.0265803681280956,2.1152163493969347,1.9223139476333324,1.9010360421625159,1.8944208720036846,2.344999853422978,2.0043077681352037,1.8604298288958936,1.7823142637873706,1.8608737910720319,1.5993530258165531,1.9764427550650532,2.0071113275759354,1.769879200266692,1.7951852260333567,2.132336861152879,2.0538683644635345,1.8953353961776518,1.8755844735047904,1.8311994862866179,1.8259131745896706,1.773255304789093,1.8825583155905363,1.6984033781904955,1.5810995073719478,1.9741153488800347,1.9083214149517758,1.815613738281695,1.8453024875293598,1.8100497186725435,1.8056282494181992,1.7974338405498067,1.7736678994810149,1.7790871252092382,1.8380642353250025,1.7989567838177851,1.8004249330004674,1.8489161389513757,1.7891045864255808,1.7820377179459865,1.795373489186479,1.7422829522926369,1.7598714208974053,1.7869971926857733,1.814072124484953,2.0985950480726006,2.115310346412377,1.7708417647883763,1.7629229966330848,1.8044225116093309,1.7406511595908571,1.5188417544685984,1.5246861326549288,1.7744909029508686,1.8099986985319774
Heatran,Fire Spin,Iron Head,40,1.7580469435444976,1.77825965134171,1.4339113184388428,1.4300707853416654,1.9817085127929968,2.0189109387538444,1.6427634604436827,1.6746062685415073,1.66303380363821,1.727623479380541,1.6728956503307315,1.7198712492724226,1.4006805835818266,1.4041712239328739,2.016391320775072,2.0684839591918256,2.070549486368281,2.029091254365807,1.6845904039219664,1.7137429781345528,2.093160689704392,2.0650771565298567,1.9981470686668135,2.0737780612826366,1.7387719975407696,1.793755557341798,2.187761809394711,2.253391096497119,1.6179242760276282,1.6813368841408087,1.3279322697179772,1.3844816722729156,1.7781735117434676,1.8396096142321245,2.0056452216360134,2.067972697055771,2.0834448346000602,2.0675249310484403,1.4209364092481007,1.4452096943891866,1.6919005105104838,1.7704921404548517,1.393986000305483,1.398370355025035,1.3999246068588982,1.4449763097507204,1.694575046534614,1.7315689709325104,1.401290804481297,1.408327116560773,1.8035365970823125,1.7761573360477128,1.7175253247430786,1.767362395205627,2.081124898533702,2.1111073651405032,1.430191818570702,1.3896049716896053,1.802412884413902,1.797274065093589,2.0312758696351336,2.0514865383938132,1.7275211794038174,1.7360188841262245,1.7368193130724476,1.7570786451823943
Heatran,Bug Bite,Iron Head,40,2.0002059676978226,2.0563514487252337,1.840744301543514,1.8761480523455312,1.837996367384278,1.8781390599422938,1.7088747765262724,1.7604510267296036,1.7337757709849626,1.80510021247324,1.781795726464854,1.8543084092279485,1.7102226313601658,1.732900888581241,1.709395090558867,1.7454687111513267,1.9345892456944265,1.907241609536257,1.876512603750276,1.9239279692748261,1.9128321662106385,1.8905653332674734,1.9952415127159122,2.0928549177664584,2.005217352696596,2.0916462650820624,2.0930008951023735,2.1546919265294147,1.72981556006344,1.810791498567203,1.7198058053790937,1.8375378427787432,2.058445338276471,2.1518624002329214,1.9455345306534204,2.011000497615124,1.8440174356312988,1.8346659185448497,1.7453002887971405,1.7804868457142133,1.7362004772133284,1.8296806286112581,1.7456393408830078,1.7775705074008368,1.7312839417321984,1.803665281533968,1.8835501902789171,1.9383584008185653,1.588572933717086,1.623645136398554,1.9064252074053352,1.8670670364335313,1.7100246744486458,1.7715797553222066,1.7805065983180925,1.8115173945008307,1.831089948129636,1.8362282160558145,1.863272523470086,1.8508819030902233,1.8040572360587923,1.821045363970742,2.0929641772173713,2.1216658455851833,2.074571177457221,2.120179890455482
Durant,Metal Claw,Iron Head,40,1.7527711770347003,1.7352684802407663,1.7507469377029061,1.7367850304032149,1.7483525027181623,1.7411898640657864,1.768581323703865,1.7532552265318275,1.7517968037978764,1.7397439771130265,1.7577301055153418,1.7183076284980359,1.6470822196613537,1.6211654963916124,1.6741237609779869,1.6610994811345747,1.6251589742933108,1.7068011996185648,1.7788804931424582,1.7178224680474854,1.7635194573983324,1.736178516284236,1.7439080685601551,1.7161980233022225,1.743303941999222,1.7305396195761333,1.8364845176267552,1.7567331230615968,1.6727034237074214,1.6716210854398097,1.728254656612913,1.6995941659547886,1.722169697764683,1.7870719374591908,1.6960824704172761,1.661172333181537,1.7523177126929386,1.703552678975503,1.6754871469630628,1.6861235929530536,1.731937578344786,1.6877654667545239,1.766551181597712,1.7097086671782284,1.7300975987369236,1.7368902586624575,1.6918953662107503,1.6646990444673984,1.7028928509381343,1.680464216023892,1.747783173113693,1.7107501551531943,1.7141055843024067,1.708659102106491,1.7155119062403417,1.7232875459752177,1.6846059020406887,1.673678242128276,1.6968122971760857,1.6810482805829852,1.6679571379144411,1.6358342526685292,1.7197187657643929,1.708990345427965,1.7335240633132398,1.6621581430611831
Durant,Bug Bite,Iron Head,40,2.3133868179534023,2.3272936692917,1.9362238315640081,1.9239536411921685,1.9337817462763829,1.9279063401561125,2.0781664075866035,2.0741445319702687,2.069859649844846,2.061614751974121,2.0172955221991593,1.965114338592804,1.9467324292586865,1.9269015844168302,1.981363555244495,1.9685112678984116,2.057681877093426,2.188157451857286,2.263656201310258,2.2077687483783577,2.186074171741848,2.1676466977613162,2.1798844639490906,2.1700144225461897,2.3360019108609613,2.346432147621692,2.6340255619343225,2.543749577000683,1.9324094389592403,1.9472839398584119,1.979641814348184,1.946337549805488,2.296611450144233,2.3971045193087264,2.2802765519324733,2.2803358665474134,2.1170863745940336,2.071357537870618,1.9434823618531594,1.967238872516134,2.0545905657079935,2.0330895420629447,2.0257646927715087,1.981785430073516,1.983660438246287,2.0107345451692984,2.1827166549745307,2.19669918693922,1.700379811350943,1.6814751447211982,2.0540770105808512,2.004852598549808,1.9642170528509348,1.9790841501998548,1.993656482849187,2.017032625475299,2.020575035392066,2.0334366622817606,2.0465582237723594,2.024092987986813,2.0548391006838194,2.034138335172004,2.4060067975470987,2.411912487351232,2.5294390834474094,2.3984649646777942
Empoleon,Metal Claw,Flash Cannon,40,1.8172594198112133,1.8005117536903608,1.8208883908901699,1.792689106714578,1.815706916953456,1.7951643232637913,1.7446892125856208,1.7578766660954919,1.9848007096721088,1.7794592064582784,1.758207938837335,1.7605194642240973,1.8795329709693447,1.8287917899463448,1.9081968495937804,1.8590418312321935,1.7306562416146432,1.763057267573903,1.8595647306041734,1.793383719295557,1.747617967237625,1.761082043731244,1.7479198327693015,1.7584100047866584,1.7974129307675242,1.795960995119613,1.7868788617388813,1.7735706888291887,1.8446189794792085,1.8406928175606052,1.6912020070965277,1.7560515025813745,1.8517859743205904,1.9171338123008437,1.8002974670037961,1.806241593416774,1.8469737921451768,1.8292187310864367,1.7348391541742634,1.7474525489119161,1.8232307225427682,1.8571705637466813,1.7567891110939229,1.7692613684249305,1.7485314389545659,1.8016767607451405,1.7805543104883974,1.8098111276968458,1.765618397967751,1.7565592044929539,1.8838438684547625,1.8418187321673933,1.7462399755459903,1.7672914886676925,1.7510087562627799,1.7811977720460817,1.7469937247759157,1.75436140524771,1.7636367790032468,1.7516240011248163,1.7795692375242216,1.7814796341660177,1.7760490701943543,1.7796686335227538,1.8087651833361114,1.8206484643965166
Empoleon,Waterfall,Flash Cannon,40,2.3586690519628486,2.36830508200425,2.3569893879835635,2.372686834948381,1.7624970685974526,1.764809643225455,2.851123844599923,2.9207132022489164,3.6679706288373213,2.962773777519833,2.824533597996712,2.870094001275657,2.3869773871862763,2.3353325235408917,1.865865815406049,1.8428628491540413,1.7161293916806477,1.7897695353350662,2.444875342436072,2.4186017281351093,1.7789693534139346,1.8050749024629955,2.899780674472205,2.9568266644141215,2.3732726647785385,2.352537201087448,2.3381293487325285,2.3473249905461415,2.4404780226882012,2.4596064037565424,2.293564594804228,2.3840576645076434,2.381798236277725,2.4392323460656007,1.7541195022878169,1.7615225384705269,1.8378335621254225,1.7955563791543583,2.296035307146942,2.3107324881414635,2.265945645491877,2.3474184812624026,2.3194675014895223,2.3395077588747006,2.2588343582721238,2.341403594112281,2.278577893590623,2.3166490195887963,2.334387237871323,2.3018700973452173,2.4174638678787046,2.357666927940055,2.3050919891073844,2.3407725152479553,1.7699998803890107,1.7880727187901733,1.7621483838673357,1.754416802175417,1.6862141353625189,1.6905491877555845,1.7440957585153027,1.7450195783588904,2.3858888558138154,2.373086498183097,2.2576891241776704,2.2920404852006113
