Attacker,Fast Move,Charged Move,Level,"Arceus (Psychic), Tier 5","Arceus (Psychic), Tier 5","Azelf, Tier 5","Azelf, Tier 5","Cresselia, Tier 5","Cresselia, Tier 5","Deoxys, Tier 5","Deoxys, Tier 5","Deoxys (Attack), Tier 5","Deoxys (Attack), Tier 5","Deoxys (Defense), Tier 5","Deoxys (Defense), Tier 5","Deoxys (Speed), Tier 5","Deoxys (Speed), Tier 5","Latias, Tier 5","Latias, Tier 5","Latios, Tier 5","Latios, Tier 5","Mesprit, Tier 5","Mesprit, Tier 5","Mewtwo, Tier 5","Mewtwo, Tier 5","Mewtwo (Armored), Tier 5","Mewtwo (Armored), Tier 5","Uxie, Tier 5","Uxie, Tier 5","Mega Alakazam, Mega Tier","Mega Alakazam, Mega Tier","Mega Latias, Mega Tier","Mega Latias, Mega Tier","Mega Latios, Mega Tier","Mega Latios, Mega Tier","Mega Mewtwo Y, Mega Tier","Mega Mewtwo Y, Mega Tier","Mega Slowbro, Mega Tier","Mega Slowbro, Mega Tier","Raichu (Alola), Tier 3","Raichu (Alola), Tier 3","Alakazam, Tier 3","Alakazam, Tier 3","Claydol, Tier 3","Claydol, Tier 3","Espeon, Tier 3","Espeon, Tier 3","Gothorita, Tier 3","Gothorita, Tier 3","Grumpig, Tier 3","Grumpig, Tier 3","Hypno, Tier 3","Hypno, Tier 3","Jynx, Tier 3","Jynx, Tier 3","Kadabra, Tier 3","Kadabra, Tier 3","Slowbro, Tier 3","Slowbro, Tier 3","Slowking, Tier 3","Slowking, Tier 3","Starmie, Tier 3","Starmie, Tier 3","Wobbuffet, Tier 3","Wobbuffet, Tier 3"
Giratina (Origin),Shadow Claw,Shadow Ball,40,1.1223568565034974,1.3532118429016522,1.2105668472287452,1.3431101959991363,1.3843033835233156,1.418865996398086,1.246529752628287,1.3777209478224075,1.1327457111294188,1.3091733420507574,1.3903158052872415,1.500793293603076,1.3458351086103963,1.449918849894331,1.3579365466479785,1.4020959539133857,1.2964249736990818,1.3653306158913294,1.2056648450472853,1.3627741941442904,1.2408089693994886,1.3531987098538532,1.3399923647814893,1.390532994074866,1.3544106936341984,1.3867776531862241,1.109191443289661,1.3051129391971212,1.2587756663396508,1.3806894548273154,1.1259960299456202,1.3525008086336805,1.200064206954817,1.3068748567541264,1.313599361161442,1.3786738865097738,1.3485181527300267,1.429890703088227,1.2791569407036893,1.3793893527663765,1.3190580185385128,1.4275063269426118,1.31661021433934,1.3234496651140655,1.3495891788283418,1.447466164078227,1.292662694505651,1.4060313161168703,1.405035920832836,1.4694446472949236,1.3579560798156445,1.4161003051041217,1.3594915710607791,1.3999180887722558,1.3635613140096137,1.4474329030971578,1.350540196743555,1.4451297076091107,1.3695497235256426,1.4611249475521098,1.496499414064761,1.4944083848875054
Giratina (Origin),Dragon Tail,Shadow Ball,40,1.3008042550868957,1.6115614696572014,1.3821388097491343,1.54269110751016,1.6156019857795823,1.6812040883770063,1.424804405756566,1.5982253933315114,1.3111201009768245,1.5324876458472572,1.6419938203182414,1.7832291448389426,1.5313661154238043,1.6657987662865361,1.3472887412683077,1.3965510910355177,1.3160396512866788,1.3937968771805886,1.4100374324267497,1.6227471889291318,1.406220395251956,1.54787230448736,1.5064243157304147,1.5800210361010798,1.5966006563645374,1.646183585534303,1.2891015693165786,1.5413976650514591,1.2617028637513443,1.3769542628991416,1.122083244847255,1.3440231342700228,1.3962495076938857,1.539023114026641,1.5193099291691545,1.6345175575992292,1.5817173198355412,1.686436376901548,1.4932350049164207,1.6268161550810358,1.559124568573796,1.6871094866396252,1.4942063607221443,1.5137069002717272,1.5896002695958316,1.70183623213853,1.515460267284609,1.675473824929127,1.6053473828544842,1.6932779400101332,1.5479972267964273,1.62937602298647,1.56573543419637,1.6560006443077524,1.5932168649919844,1.701625158329181,1.5862346675712347,1.6979971009367447,1.6135613695398785,1.73476440008207,1.7125965817597193,1.747018430285889
Giratina (Origin),Shadow Claw,Ominous Wind,40,1.4202611364152546,1.6649357933478561,1.5143856858357039,1.666643282117889,1.7177016311561526,1.7431577479171945,1.55948888846642,1.7095938767527126,1.400894108463872,1.6332144436324358,1.731738187753511,1.8492550761549538,1.6707037521693537,1.7874141982543452,1.6979417180436205,1.751832666879085,1.635440515252299,1.702396183824136,1.5009304757320006,1.6927925863237463,1.5569019135616036,1.6782428273826282,1.6679246011763231,1.718974591237921,1.6599924754162507,1.6982765441395133,1.3679672458302174,1.6169598277664547,1.5941357338823832,1.7198336399960805,1.4473207003344544,1.691994810638661,1.5061636794395477,1.637093083575375,1.6354865524768036,1.703483174307943,1.678275611318271,1.756758154073883,1.6048115942028984,1.7039564037389776,1.6376243327425928,1.744144360965341,1.651020072695772,1.661270265110404,1.6698119513699115,1.7751842066567975,1.6062203144637597,1.73825079622833,1.7580083786940206,1.8310993854562956,1.698932149707687,1.75555224125877,1.6942528020120302,1.7291772257158986,1.6956475407719223,1.7975076478216359,1.6825683514246947,1.7941098281443506,1.7043644851291022,1.8086686779313765,1.820569371958132,1.8247908630749183
Giratina (Origin),Dragon Tail,Ominous Wind,40,1.6667368863989689,2.0235382496038836,1.7517443044402508,1.950246367332826,2.0456633228161536,2.1053966578488716,1.8170106828561006,2.021029703504501,1.6375429890128184,1.9506783909355452,2.080616262876029,2.243915953510161,1.9248387204731001,2.084237287546125,1.6739257904229146,1.7303704444292833,1.659985526118878,1.7291141567327273,1.788544499544229,2.0468274933641526,1.7877399419664721,1.951221021982353,1.9059511430171923,1.9794041388802721,2.000107183815466,2.060843660479736,1.614463269155734,1.937452133532717,1.586427196553998,1.709461459366954,1.4327660315570534,1.6655987738938762,1.7684273753738464,1.9587196335626151,1.9379185680001254,2.0506501493332934,2.0224847624794786,2.131696361942282,1.9092180753281176,2.0571328338921684,1.9610435019532078,2.1067005630802975,1.907369152015073,1.9240641893040495,2.01158914006603,2.153290613181951,1.9260597462603424,2.0989337481168002,2.0408792344363684,2.133585796952628,1.961130360637678,2.0616911696937508,2.000911427135159,2.079647212865297,2.0299619648057146,2.1616381046064372,2.0266460312075982,2.157338599425925,2.0563747438659723,2.188374286405234,2.1596439853875764,2.1733953364512795
Mega Beedrill,Bug Bite,X-Scissor,40,1.2934636667904975,1.3554774914919214,1.3447543322263373,1.3428701887080057,1.342537260774694,1.3436683720011147,1.5336743896620335,1.407663651037652,1.396091475346942,1.3067518281522088,1.4530480204311162,1.452414007014498,1.338138238469558,1.3671619141686924,1.3847510418585822,1.3802663294712565,1.5252075594758132,1.3698959483098168,1.3215808338108626,1.371467645119838,1.430511080650432,1.3830090004584683,1.4298593472982208,1.376174137310056,1.4599848697569453,1.4070742059729562,1.2064491751001907,1.347749742608052,1.4620178172962228,1.3790079369399775,1.3065394549660654,1.3396539165396004,1.53171947978686,1.4154562166346198,1.353410924651477,1.3464083857408484,1.36394246179858,1.3629048913693447,1.3330558590911032,1.3558897220814856,1.364320953064106,1.3640317504258326,1.462608847117657,1.3643751193219118,1.382667867507255,1.3891122209537126,1.307513526134443,1.3264151408833968,1.4018298582498905,1.3881098515242694,1.3890729499982812,1.402260361514697,1.382990231717038,1.3719147001322194,1.3748053975902594,1.3646108386095372,1.373515603799186,1.386326171913373,1.384129138195354,1.380169110707524,1.3682190183023009,1.3872195747751674
Mega Beedrill,Infestation,X-Scissor,40,1.350074650647295,1.4144378358142333,1.4040073763019325,1.4294901686028494,1.4087124723757098,1.4138181303340513,1.6176416664309599,1.4612802326841963,1.4845897103581327,1.3747031043952656,1.4869243699526171,1.4820279467705129,1.407591070658699,1.436346031006296,1.4657568212479954,1.4649634287124909,1.6131104214177705,1.4749913070674447,1.3934964610540204,1.4555245234832226,1.4904402178324114,1.4603934463149597,1.4660403525594703,1.4228221463603683,1.5013670883046002,1.4489217469793965,1.2667848453983355,1.4172544196693229,1.5722028253109963,1.499084864684799,1.3594584542852999,1.417841446673572,1.6059019715979024,1.5232091696562744,1.4238610848590236,1.445460992866886,1.3932666284854407,1.3896052963090006,1.3964463255098114,1.4266927298292753,1.3928014810443308,1.3912550399226318,1.5006439703878331,1.4243716475446495,1.4211134948614226,1.4331799831530223,1.3545819624444517,1.3872372718056503,1.429760479423203,1.4202639587033,1.420568959792324,1.4414826049066567,1.4134728055669092,1.4142569978103017,1.431940888694992,1.43818118155668,1.4301958955223881,1.4559038639050281,1.4306070377303186,1.4419863825167083,1.377161129333661,1.3882661969194043
Mega Beedrill,Bug Bite,Fell Stinger,40,1.425776921329838,1.4511909551153932,1.4732723158999377,1.46125370929829,1.4647493925994906,1.44350555844509,1.71894457703281,1.5170384121761538,1.5860610068866978,1.4117064841672078,1.5485997864314978,1.5525201436610974,1.4661156769127928,1.4556588866901075,1.5131133980083626,1.476428609523248,1.6627351168073479,1.483333537130002,1.4336310855675736,1.4894968301488578,1.5859451689667565,1.4861514554360675,1.5437738575663673,1.4623589175999436,1.5979988718915485,1.5302863016253812,1.367842413086953,1.49328933008061,1.6213898626330656,1.4895700906467566,1.4263971752304814,1.4568537361422913,1.6942270253435676,1.563551958563354,1.4957280990806738,1.4585512853278382,1.4901578925696932,1.4655800902308518,1.4783703133683894,1.4595647987908666,1.482757780161443,1.4574238403641204,1.6041487682123785,1.489531872353669,1.5100693014754596,1.4876434221858477,1.417125410513991,1.4259444428286152,1.5161557261531537,1.4882967199047639,1.5081879650198007,1.4973567039238498,1.4911643344624381,1.4685097548825767,1.488532900397824,1.4741253187579326,1.496660498643148,1.497532666621809,1.476573500951818,1.4621937035419241,1.4640239079223223,1.462521087151048
Mega Beedrill,Infestation,Fell Stinger,40,1.4788077992320139,1.5372351204702932,1.556407128017116,1.5479769499058267,1.5356136324812815,1.5289681317283372,1.8054343043067598,1.5870778739690552,1.6584581271305914,1.5132673502847247,1.5879167326455292,1.5880604363636426,1.538138407208764,1.5369654961343566,1.6032914826736662,1.5795530408390053,1.780257950024905,1.6153961322147825,1.5139239233836137,1.5824113382648544,1.656250160290693,1.591979859563892,1.5846256871552706,1.5350437752690427,1.6524457406667075,1.5875927203112996,1.437732690054117,1.580879062104974,1.7414648392452716,1.6218680373693897,1.5052754916949884,1.5711437969127533,1.797703561548674,1.7022850276699892,1.5890372230628689,1.5691849388657517,1.5347298441839532,1.5120507776902399,1.5455956564490614,1.5457312083364168,1.5104230891680284,1.4989503050553028,1.667693828106029,1.5482438102984293,1.5482015276306063,1.5516083476664646,1.4688755701797789,1.500045623084227,1.5521530344784986,1.5329589854382684,1.5473824761592125,1.5443316628344554,1.529100090986111,1.522281601991626,1.5544011871747672,1.5501344199133211,1.5637693351424695,1.5781320497754243,1.5232039317417712,1.5351726195677895,1.4848302416186063,1.4653381381114816
Mega Beedrill,Poison Jab,X-Scissor,40,1.5187893390424645,1.58556650886848,1.5729201543946825,1.57617727629453,1.5822656193471987,1.6148013798274898,1.7709201333745708,1.5986734163201666,1.6597654341394978,1.5117997601875395,1.5880103617265755,1.6200704390505318,1.5474205259432314,1.5878083559104519,1.566636896325029,1.5874410917197748,1.7307113197811943,1.5922858770114088,1.5066450298369414,1.5824897907817428,1.6371979406756982,1.623765071143034,1.595483527740253,1.5598018639540834,1.631701160133296,1.5919202066487088,1.3893952950660442,1.567464270479384,1.7135058018414877,1.6508982851108587,1.461509962545722,1.545819554888056,1.7310880884438178,1.6570557635088203,1.5851226297842358,1.6114156557751727,1.5457511762201492,1.5605084901774262,1.5575857381043992,1.5810029360195375,1.7718490534048321,1.7869140652222604,1.6598893956551073,1.5853253663346143,1.5877509513576498,1.6064886895992074,1.4978209789396448,1.5571821154761645,1.616619804368477,1.6144026598555885,1.5635010165035022,1.5997839020739923,1.578640467247349,1.5915877198734771,1.5748819455715963,1.6019775158566056,1.5800751356852103,1.6273053716474255,1.5952453974296394,1.6199534478178894,1.5853681485538942,1.5768800693609433
Mega Beedrill,Poison Jab,Fell Stinger,40,1.6249206836872487,1.6582234654451349,1.666512777868742,1.669869289210983,1.705843393222588,1.6972555995602565,1.8927017253283245,1.688560776106906,1.7596002508835724,1.6156148228278848,1.7060087457519764,1.7026217665636134,1.6285768844724218,1.6599638997958492,1.685649059524987,1.6746048592585479,1.85242297907318,1.7062791705510025,1.628343776210492,1.6938783945578546,1.7654338137477972,1.7038241411760922,1.7192652225009772,1.647190989773587,1.7724196111732156,1.7126160602868037,1.5105863674988196,1.6818910218614316,1.8425383931747408,1.751874347861644,1.5678268986425248,1.6638164982429482,1.8350155791156528,1.7339943318267315,1.7071276591204496,1.7222533433408085,1.6706457493439941,1.65630128737168,1.6541856269505366,1.6797009757319414,1.8392125472221008,1.852410116980991,1.800657383321192,1.6685778331925445,1.6810714140214356,1.683599041927386,1.610070040613462,1.640856880368421,1.7187086749265885,1.7062694869329886,1.6806605216110573,1.6882810708492917,1.6713068995973748,1.6796736458772403,1.6923109800744647,1.6941780082975044,1.6952005766621439,1.716861111154578,1.680152720009446,1.6955350379919325,1.6652524933667971,1.6483290605415248
Shadow Houndoom,Snarl,Foul Play,40,1.211108597324901,1.314851708220626,1.1759858992592827,1.279493566433344,1.309455285974066,1.296681083634081,1.3763087182659268,1.3501130798433119,1.2036086813143634,1.261317448816502,1.4148076868419879,1.3970056010676586,1.3395060384731017,1.3442671507850112,1.3352605076909252,1.3483648560089596,1.288914023359236,1.3095975084680387,1.1582926988984716,1.2782991909981078,1.295914510825996,1.2953264214531035,1.4416613806723377,1.3344485686701688,1.3154974188052435,1.3103751258779144,1.1513559664962736,1.2774354733245492,1.3474544692401582,1.3806962911235923,1.214622216299358,1.2989223376654417,1.2718411185911087,1.3177952745352333,1.2926293147802073,1.3260526742399636,1.3320338910589933,1.3011962613307035,1.276154332863067,1.2671142685141434,1.3111448423384109,1.319343173726066,1.229800280258838,1.2107000044459673,1.2349726429053696,1.2933986320398723,1.2085559470425364,1.2975071016771855,1.2699194854230167,1.3000921088883686,1.3604463196532421,1.3102319738963142,1.2864598748901825,1.2832240936731032,1.2948879805143518,1.3144347545956916,1.2466618724559024,1.308076952968723,1.4501876647060872,1.4253732873665088,1.3362129294668743,1.3279048160658282
Shadow Houndoom,Snarl,Crunch,40,1.312513622862817,1.4896492072143663,1.2927286947959522,1.4193847100961174,1.4461449178182972,1.452567866808989,1.4902250869758555,1.5249700377132644,1.2920540437567345,1.406468103177773,1.567010487593944,1.5879242026136346,1.4621170077026635,1.5214521463623305,1.456262432599303,1.51544022826938,1.4040905466347111,1.4905215317495404,1.276015766725602,1.4322346902135825,1.4219210081432199,1.4717157174226032,1.58280232362581,1.5282415563980838,1.4600222706830983,1.471216790403837,1.2597245593997048,1.4403065163100728,1.47485775121937,1.55722279599285,1.310739090306855,1.4855156614368819,1.4174642458021822,1.5115019028853114,1.4375201474563821,1.4890806699777488,1.4706718733407766,1.4819119032764725,1.4019089906374247,1.4248130653581006,1.4503357632365763,1.4846607090343318,1.347721571437333,1.3565961479617858,1.3596985676534838,1.4321923212878078,1.3331619879038261,1.443062963422326,1.4096236788859184,1.4524928536868196,1.4840601401266622,1.4582592331432525,1.4133563323827556,1.424848720016086,1.4394471175851313,1.4680392247221354,1.374325712347354,1.4471049617726675,1.5668073656877937,1.60923787651862,1.4837327732656378,1.4574663507988992
Shadow Houndoom,Fire Fang,Foul Play,40,1.4387060525125048,1.6029674803602236,1.3858719023112511,1.5306800608109383,1.5733145221393972,1.559903608527343,1.6393563485303249,1.5967208593968176,1.5124985016122903,1.491117712088538,1.685430040074546,1.6808872057656983,1.6267057354174876,1.6265422867404205,1.75845632599581,1.8197086401917417,1.7279099090245098,1.7998612804871923,1.374254704106625,1.5161434382176329,1.5370542296979959,1.5479053142117158,1.7295904403768851,1.612484998866357,1.598930372119429,1.601164919058329,1.36210290793067,1.5077122690707412,1.8016207479945912,1.8620042535266634,1.692589833627699,1.7752545947143668,1.4882420153216176,1.5231859152530531,1.7192107271008956,1.7985493776769854,1.5867747167782453,1.560985736723554,1.510976187422513,1.5145046196410172,1.5514057178267127,1.5669965918206732,1.4670191259786913,1.4689625728027116,1.4795516347609332,1.5754320367365027,1.423985418102523,1.5375169139937301,1.5635934066705928,1.6029644482918344,1.3411162601414384,1.2927001124972737,1.5613046817130445,1.5588104640951506,1.772579405643484,1.8228141313396813,1.7118100407055632,1.8112637492082515,1.9147000953074216,1.9057810932517874,1.6192971459516552,1.6254914951241295
Shadow Houndoom,Fire Fang,Crunch,40,1.4865532000302828,1.6803092979623746,1.416340694258053,1.580226035654568,1.6178615116872646,1.640875579573655,1.6431343673216539,1.676508118418351,1.4327071799754723,1.5564196143289588,1.7308456257029288,1.7664348132800842,1.6413088200264192,1.7043191564098727,1.701452183669197,1.8258714110247238,1.664338132645973,1.806774752382742,1.407781747947043,1.5909713795520068,1.562716731874178,1.6262492941999724,1.7879052522445784,1.708727990321782,1.6324161210635646,1.6661190956443357,1.390851039057523,1.5768900349125197,1.7738210080166448,1.8855678274106953,1.604615022370708,1.8140939413892905,1.5234112302123242,1.6221192482796618,1.7059898227782555,1.8079256162318014,1.6229461288117937,1.638148398898513,1.5674581847719207,1.5869541394602165,1.5962250215620002,1.6395046858498252,1.5001609718210394,1.518037108787585,1.527560003464876,1.6224889967484992,1.471517770578347,1.6095580377814098,1.5975921774173591,1.6764832252585673,1.4548420480136206,1.4107491174851792,1.5827928830773665,1.6076923768240408,1.7243737727013813,1.8195888458734064,1.6746652815468115,1.8059194163344496,1.84291823489596,1.9179347560519928,1.665692747883055,1.6516578914436062
Shadow Scizor,Fury Cutter,X-Scissor,40,1.2258168875961961,1.412547898833856,1.3575949581969655,1.406460681116146,1.4040487586784671,1.4294175123624608,1.3313157129655346,1.4399498821741505,1.3161559105778795,1.363877143048586,1.4708917500030452,1.5116783579072954,1.3638293450415844,1.4131576781331765,1.4095169756693824,1.4365817514256578,1.3166336834910646,1.3724459900077632,1.2428944918974862,1.3709291572040656,1.5774655876626404,1.4457120335888423,1.3602117858487306,1.3918842220505903,1.3923084006051325,1.402039232985104,1.4011116929999643,1.3758888020171602,1.2802568423429554,1.3872974525681305,1.1824295325424294,1.3954412651791466,1.5273002821001835,1.416076134015976,1.3751047383213513,1.401947419219544,1.43649652379441,1.4451865114697784,1.3797530161173102,1.3933589458223985,1.4048630655564702,1.4802443036816533,1.385082158787524,1.367615608221378,1.370306249948086,1.4723644334387083,1.3492146883492582,1.4428301204747143,1.422591312555063,1.4610618886290683,1.4097837493370524,1.4549706021652977,1.37551539383988,1.4098556025739126,1.4103533542963218,1.4741581711208436,1.4526726594301222,1.469753263184835,1.4661684114798288,1.5041148921161636,1.471706808137881,1.5088740124977227
Shadow Scizor,Bullet Punch,X-Scissor,40,1.3479638771856,1.5699808389147851,1.5646941622897028,1.6059492413368015,1.6047021141265143,1.6406902922298316,1.5023746738550323,1.652989709159742,1.5001892569373072,1.5495357050203649,1.6183501630185433,1.67324558899596,1.5877450901812626,1.6656408134022875,1.6056018391551063,1.6549155261579935,1.5314447301000889,1.6195390601575044,1.446023986712451,1.6120111438365416,1.7486642542854567,1.6220582174427114,1.5487957920989972,1.6112375165197488,1.5907164048473146,1.6138176867067606,1.5856745230376166,1.5854515461912897,1.5346868390384891,1.6602825787286024,1.3458514157730517,1.5972009030052963,1.6585635188165722,1.6038474385124823,1.6808339422816572,1.7602822284823427,1.7968157881930962,1.8042916135205886,1.5748530631439441,1.624497848864018,1.5517006591763118,1.6296510911431634,1.5302024521900397,1.4977985924591168,1.557557800341662,1.654747310910966,1.5317943249538077,1.642649250873537,1.6140624705626805,1.6592298337213467,1.3973677219054668,1.4198146344018543,1.5657704495590854,1.608864381908976,1.7555106703321715,1.838489032487576,1.8236180461329716,1.841800583602958,1.815859808126341,1.8801925054147592,1.6899063021738239,1.6799887975278154
Shadow Scizor,Fury Cutter,Night Slash,40,1.492873152000338,1.72553739328761,1.689938969732815,1.7408578093925429,1.7198072762883476,1.7423322404834471,1.6438566969901696,1.7782516012775251,1.6171876800448581,1.672471805167448,1.7997818028267378,1.846056026776565,1.6832568804114312,1.7347372301614075,1.7313993378807409,1.7531291086763847,1.617119887514714,1.6818014684037952,1.5231437924454367,1.6791173716617271,1.908726059359302,1.7787936650928597,1.659682746439212,1.6827909946078072,1.7075722445941426,1.7180139905353495,1.7035255493037518,1.7025146747954778,1.5797579521228196,1.6907937286012322,1.4617132600975105,1.7140560614808449,1.8385980113472686,1.7617742419527138,1.693153966636429,1.7119419808761849,1.770051694385488,1.7645521859987154,1.6950449318113805,1.7171113865754315,1.7085969986670762,1.794351146660455,1.7125425553150537,1.6912846295070991,1.673733471137306,1.7865300361553715,1.6509666663154192,1.7634161230638281,1.750166194695831,1.793936126517281,1.7271927553335387,1.766861406037987,1.6850268534309283,1.7217593907558626,1.7454242115328344,1.822872876257105,1.7868380257801901,1.82012124461859,1.7973970081332122,1.8408644982360944,1.8296043302095986,1.8220166500535049
Shadow Scizor,Bullet Punch,Night Slash,40,1.6146782715558143,1.878589703577815,1.8696172901099717,1.937017101807411,1.9295497631890475,1.9646239850937057,1.8465074029749153,2.001855238816536,1.7668681151882548,1.8726456863823417,1.9454714138965699,2.0054419571528634,1.9196072988706008,2.0088200890564445,1.9342423451361266,1.9963147361778673,1.8486752378250761,1.9626771373376568,1.7409626694600815,1.946484184226599,2.051275038914809,1.955573222228478,1.8438047253223717,1.9204406817391444,1.9143593592946273,1.943932652210504,1.8574384862615356,1.9337341912676467,1.8258415200358422,1.985164519689841,1.635503528400735,1.9182273966070496,1.954120031197253,1.925225241399459,2.040930526781002,2.130648891668316,2.1589832367080377,2.185156871536709,1.9195281946047626,1.9750947126031095,1.8470907854661893,1.939756355957055,1.8574033990400862,1.818450894293209,1.8649495358213197,1.9788376550156646,1.8327884638467615,1.9585420792551327,1.943682169440933,1.9904430809593727,1.6609886601885724,1.690276033162605,1.8907016863359534,1.927855555366815,2.1251505727264117,2.2233915887097786,2.2008295454545457,2.2215460523170165,2.175250671690885,2.2582575449141205,2.0279932000069754,2.0211973358453688
Yveltal,Snarl,Dark Pulse,40,1.2031910510775925,1.4109160566956267,1.262055005573248,1.358767111031176,1.4147682888397968,1.4548439823992543,1.3743029064286785,1.4839325707417208,1.249375385788205,1.3661746819954634,1.4966842880982252,1.5584895804797285,1.3994505288989796,1.4977892392641305,1.4299881006295436,1.476669036495619,1.3672445795538561,1.435785650223031,1.2798136663505455,1.4441173312520423,1.337988728207632,1.4268944316198413,1.3579155507980991,1.4316795426067048,1.435133136680068,1.471498904355377,1.1191419760976573,1.3494234215046539,1.3574652949154413,1.4916361290999947,1.1595620848134545,1.3735848420808463,1.2913706651525592,1.4317559029802294,1.3743142514772433,1.4437842985335128,1.4377730336914845,1.4796679158474377,1.3069000897781198,1.4160066078229336,1.3834966095963732,1.4846358690829682,1.3246066162825698,1.356504940254048,1.4061715928422622,1.483457628624545,1.3395369886267887,1.4544631072503666,1.4391937146469074,1.5055700113594275,1.4333798249638794,1.487513762273089,1.3787474023543633,1.451812811808806,1.4243302311936457,1.500043266234636,1.4165570556309361,1.4988195280094125,1.4725906461031133,1.5244466736755111,1.4920264044940659,1.4859368664286374
Yveltal,Sucker Punch,Dark Pulse,40,1.2594645664716475,1.484460828495822,1.3274733085771877,1.4333812716583285,1.4607637409851677,1.5047480069595147,1.3996058671085903,1.5213500839043945,1.2950268449732845,1.4044966085919834,1.5490205894653073,1.6261234971881307,1.4486302454339874,1.5509541513495841,1.4643256814177146,1.5197559101503078,1.4092865136038848,1.4902532664443964,1.328029987784041,1.502996609050153,1.4053062329167838,1.5006203962132119,1.421054972111609,1.4987480138619005,1.5085626886816401,1.550361480637788,1.1739203018095332,1.4160443320692135,1.3713535665235563,1.5017586161175727,1.2139954031744815,1.4407091271673684,1.28736895498705,1.417320869706679,1.4069369843993844,1.483985636465977,1.48484924424617,1.5360842051605292,1.3623444059681074,1.4895575263430547,1.4671762642901995,1.5804471494844814,1.3733909673949376,1.4170937301402573,1.4579988600716152,1.530391246486402,1.4074432422886436,1.5418686920851423,1.4853281280986113,1.5488824426567978,1.4929731997177518,1.5392321996105882,1.4425151248749135,1.5319862899922136,1.4873093036350973,1.577076906313485,1.4837047829036634,1.5748466533936374,1.5253987794376325,1.5900196346089093,1.6031520328522835,1.5912128572245199
Yveltal,Gust,Dark Pulse,40,1.4052099637486595,1.680042565477213,1.4745916527495893,1.6149451206813177,1.6414321297079395,1.7304686438092873,1.5979928898426392,1.780236930622881,1.643787688699446,1.6317838898318364,1.7310196880925413,1.8662610895792149,1.6396082100623128,1.8087109421643195,1.6541458223414711,1.736719853853626,1.5712701277409356,1.6989689553377019,1.489474849748306,1.692491707355371,1.572450156006217,1.7053512109195912,1.5877006808313447,1.7198655724610938,1.6576182163647921,1.725216799115194,1.3096728289723258,1.6171592153087455,1.5525377413262436,1.7264734138547753,1.3470407610331747,1.623753229881772,1.4967339428785806,1.6988656802165492,1.6205309397119823,1.7296556344064065,1.8445316820445594,1.9788522148379701,1.529753785644051,1.6852555568047909,1.6277669540832653,1.776588097440505,1.552774407923703,1.6150476862664078,1.6185727242271168,1.7400369202293289,1.5705268008363706,1.7503254550276948,1.6901091393855403,1.7931063652055361,1.6683833928106944,1.7626042828933572,1.6207212743849824,1.7272216618162526,1.6356211625621826,1.76557298043889,1.6408373473541384,1.746995964366246,1.691051779217849,1.8041131941411077,1.7713106057194539,1.7935059650776692
Shadow Pinsir,Bug Bite,X-Scissor,40,1.2244648569753458,1.3705939357125574,1.4073292742625292,1.3878503430293603,1.446186527419182,1.4477910479428624,1.4202113201458013,1.4102606656498555,1.2913633346889979,1.3382443944188704,1.449281216122392,1.4754985839000705,1.4283835655887889,1.4545998778111267,1.3730995728859885,1.3822801522748052,1.3591807515250067,1.3792550950458868,1.2495019156607174,1.3744991796833959,1.334778750568372,1.379222019352192,1.3498514436644407,1.3744946078299796,1.4250333905816843,1.4328788254524985,1.2341210556424447,1.34915233657727,1.3272812787084294,1.377343509793332,1.2050998966885675,1.3564957332940986,1.535294520827481,1.3907804442771239,1.4373663652826905,1.4380123085786791,1.4116948819622865,1.3808100650442054,1.3854858706340045,1.397612438305164,1.3456921161689746,1.3878639725623418,1.408466785371958,1.3517804463750984,1.379130331943823,1.3999243584564904,1.3613089607664657,1.4147700424793608,1.4038718194648043,1.412672906834932,1.428560698205068,1.3941819896803196,1.4454836984522965,1.3979084539813755,1.3975820321476602,1.3867082991839021,1.4080704715061059,1.383602019155655,1.4630618729643121,1.4601531767159412,1.407875380555915,1.404563321988068
Shadow Pinsir,Fury Cutter,X-Scissor,40,1.2976868422952257,1.4429637811732277,1.4488820498015886,1.4349286671511763,1.459982427293825,1.4626970417756624,1.4572554532922386,1.4598593283751724,1.348653225085771,1.3899152019140015,1.5090024402028495,1.5339893554496664,1.414043657894759,1.4324610856261135,1.45226504598508,1.4666158260104907,1.3990967226040478,1.424962669329916,1.2889496409169146,1.417259611443561,1.4105706469347443,1.4481522436799728,1.381602932582987,1.3947358689241873,1.4439691175485532,1.4454967476722367,1.2492113922529564,1.3866438537277892,1.347482539271143,1.3981108697026403,1.264728261038423,1.4248135244693239,1.6379710179924083,1.4508325651462106,1.4580198375684683,1.4461618430214882,1.4755669311179553,1.4414671801986736,1.3939923902355607,1.4041233071278527,1.4180273623779693,1.4659044757590365,1.4968596782790757,1.4102385392121226,1.4265549125494565,1.460880225947703,1.3949977328686196,1.4496214003770962,1.4368016401071342,1.4545109010524397,1.4872875958753267,1.4510710032329721,1.453747005954031,1.4060505672950017,1.4839186168954468,1.4830061376379635,1.48339670963365,1.4784591463150651,1.5004167365725816,1.4956380369513262,1.4885159150527283,1.5037410442372647
