Attacker,Fast Move,Charged Move,Level,"Tapu Koko, Tier 5","Tapu Koko, Tier 5","Arceus (Fairy), Tier 5","Arceus (Fairy), Tier 5","Arceus (Grass), Tier 5","Arceus (Grass), Tier 5","Shaymin, Tier 5","Shaymin, Tier 5","Xerneas, Tier 5","Xerneas, Tier 5","Mega Altaria, Mega Tier","Mega Altaria, Mega Tier","Mega Audino, Mega Tier","Mega Audino, Mega Tier","Mega Gardevoir, Mega Tier","Mega Gardevoir, Mega Tier","Wigglytuff, Tier 3","Wigglytuff, Tier 3","Azumarill, Tier 3","Azumarill, Tier 3","Bellossom, Tier 3","Bellossom, Tier 3","Gardevoir, Tier 3","Gardevoir, Tier 3","Granbull, Tier 3","Granbull, Tier 3","Kirlia, Tier 3","Kirlia, Tier 3","Ludicolo, Tier 3","Ludicolo, Tier 3","Meganium, Tier 3","Meganium, Tier 3","Mr. Mime, Tier 3","Mr. Mime, Tier 3","Tangela, Tier 3","Tangela, Tier 3","Togetic, Tier 3","Togetic, Tier 3"
Mega Beedrill,Poison Jab,Sludge Bomb,40,1.1099777626397824,1.0464052952380132,1.1218046358616058,1.0129535337994628,1.1170117043833523,1.019073136855091,1.019242893827157,1.0172145097639134,1.1328618207967098,1.0637637130645088,1.0804525073265816,1.0607383965866748,1.0,1.0,1.1426568910617358,1.2032488265351706,1.0,1.0,1.0271654732199083,1.0204360813433762,1.0029675993709177,1.0,1.2229761875799972,1.1898480612470692,1.0334104011964662,1.0037215422438353,1.1585691687596142,1.154451532904916,1.0044464461388636,1.0,1.0,1.0,1.1844017971598901,1.1691233828413865,1.0089338444365221,1.0046059005362264,1.0644927315472203,1.018371780439116
Mega Beedrill,Bug Bite,Sludge Bomb,40,1.3612537165150527,1.2995937314034696,1.3976545395076931,1.2596852582588303,1.119660100365068,1.0340650051142326,1.0108812044231765,1.0137459506396604,1.3844549436312525,1.2940443816811122,1.3277701082543099,1.3378512656142658,1.2516698327389024,1.2648030276084103,1.2597942145499168,1.3361999891309362,1.2144870189101642,1.235772686304759,1.3010597571812783,1.2838749895367452,1.0,1.0008578150583463,1.3886985245052723,1.383646585621555,1.270762405144748,1.2793848087775257,1.3408930350629575,1.3367362394913662,1.0277425863654048,1.035263923549173,1.0293160755926818,1.0342733203197958,1.3834262612685493,1.3472878001063067,1.0260953909993338,1.0233538356832625,1.3432947574884415,1.3085787972633824
Mega Beedrill,Infestation,Sludge Bomb,40,1.4285332492835678,1.3650012928236557,1.4291932938021954,1.3058187698743204,1.1643119490895495,1.0834906801152866,1.044196375186739,1.049132453370975,1.4126948837264584,1.3392537555260215,1.3363251459648526,1.3607719796128936,1.244147987213394,1.2609012345950075,1.35598442896277,1.4238052038660705,1.2419999348058735,1.2806205758261,1.2727554275222015,1.2780048958848205,1.0314409288313056,1.0234568063562604,1.4214661867756828,1.4133122475312885,1.287867847926388,1.2652667758716645,1.3446398801904749,1.3718650583997065,1.0372170094189772,1.0359608148666561,1.0315747693001514,1.0375634447941706,1.4083069454741783,1.381837605409375,1.0227696568687787,1.0274554937020821,1.3526692850826492,1.3129890036605283
Shadow Drapion,Poison Sting,Sludge Bomb,40,1.4744222716385784,1.48610547892319,1.418634881238301,1.4268855581912323,1.4120154897723958,1.436571489428737,1.444962481044264,1.4494136316624122,1.6356442439694057,1.5020105168530253,1.5149852266649244,1.4906261651787218,1.4943049856128308,1.4691429466926333,1.3537613759051752,1.5798194036527624,1.4674005610009841,1.4604044339194007,1.4586428399079572,1.4602990833357896,1.4277805728943271,1.4253761330989059,1.6806989826417058,1.6696031143247148,1.4582608555737047,1.447482401442358,1.646376487250558,1.697148655855986,1.4394649198234655,1.4497408371402747,1.4695681294364078,1.4693168066397908,1.5688844617736077,1.6173392300876288,1.4583207674328476,1.4405106331017392,1.460906494683387,1.441232584456992
Shadow Drapion,Ice Fang,Sludge Bomb,40,1.6720194166578308,1.6993107017095141,1.5544771128173573,1.5853968998268886,1.4497586271472223,1.4824201303297293,1.501070519852625,1.5165206279899142,1.894794820137044,1.7574806942250323,1.579567248351535,1.565285243713833,1.6179258423094651,1.6122164819055607,1.5587921077915576,1.8513436035407762,1.6214881498625122,1.6424833083772934,1.7400196267677335,1.7362803223373453,1.4900318401981596,1.4751110329342132,1.8566233420947325,1.8384897722492655,1.6130304428347684,1.6259073408872267,1.8529203083846173,1.8956596340252876,1.6205421859163867,1.6539262480790013,1.4866953342543956,1.4909527986684474,1.7531352806714045,1.8143853409586603,1.4836835030935407,1.4575867579158637,1.5016669787245474,1.4929547000388037
Shadow Drapion,Infestation,Sludge Bomb,40,1.735517000469149,1.7783820205695493,1.6340623810678585,1.6752872202577342,1.3970980633827503,1.4348366440871259,1.449117044913187,1.4647165225025804,1.967607255136182,1.8482249403600788,1.7958375938446467,1.8078253626897158,1.7034259213680416,1.710076469654022,1.547257206298305,1.832816199940005,1.733775806238636,1.7129551606677693,1.7577832860564617,1.742849103378881,1.4609998292766941,1.4459098657430438,1.8286509228761882,1.8183381050800662,1.7110810242743024,1.734792388887596,1.7863303551185294,1.8302684451118494,1.4645411501014751,1.473723819112389,1.4653030585202436,1.4704888715153182,1.7428173462318255,1.8027660070985407,1.4539196047172267,1.425958897571516,1.8400909034511639,1.8256859617776506
Shadow Drapion,Bite,Sludge Bomb,40,1.9768407842772715,2.0091979410538787,1.7435057117632895,1.789750804866905,1.5962486239738782,1.641998699808965,1.6111391898164618,1.624998551569756,2.2264290086588576,2.067240335688466,1.941956498830923,1.9436935874336179,1.8474947940673252,1.8554443780880427,1.5813893737645865,1.8953713448296365,1.8883495333371274,1.9522467194507982,1.928208917673507,1.9495599835106976,1.6934726387247512,1.6977342801873745,1.8822144696639458,1.8786165771623387,1.932654149809442,1.9760368919884208,1.9231608219729732,2.013686607373876,1.6940295987827936,1.728469619940942,1.6525611591582017,1.6510849413864463,1.7455500675920348,1.817449140348894,1.7369948446707588,1.7340824242814932,2.0195813551273747,2.019818788351818
Nidoking,Poison Jab,Sludge Wave,40,1.6429359706368079,1.6356204619080472,1.667643294622045,1.6072259221030887,1.6612154655830673,1.6113431683392387,1.7544243795518104,1.6542302171337273,1.7761494529527477,1.6797956451984601,1.7657991776697726,1.7254401974291769,1.6033705803645348,1.5756146444675228,1.8607430417041673,1.9286323166733377,1.6529462496526204,1.6507649127963002,1.7104582791414833,1.6498533569926073,1.6583212831636054,1.6100667582798602,1.991609282730379,1.9510235774799065,1.6287438268884502,1.6376095386213743,1.9299638639222458,1.9110078990807529,1.7734760449216573,1.6916763875795533,1.684061462957884,1.6328294883274819,1.9543248530665924,1.860072787213211,1.6627215868848453,1.5933050106272133,1.6656169323463974,1.6490531462691675
Slowbro (Galarian),Poison Jab,Sludge Bomb,40,1.5776866463998283,1.6039065457050279,1.490577769646403,1.5249629766524109,1.4885393594008618,1.5315618933088972,1.5624495490214267,1.5493139127119544,1.6103757124094442,1.5974167033067463,1.5996855127905218,1.6268058839373005,1.5420572048467382,1.536437623640639,1.5188609232527701,1.7747143519024082,1.5403553577140952,1.5823755344763983,1.585432899700449,1.573149062260586,1.5625381186533007,1.5600630017503962,1.7929703364416938,1.811665940900294,1.5516601433731438,1.5524400927230106,1.7906173059576547,1.8282099619587975,1.5694482303176582,1.6071412848627562,1.5820873168766905,1.5845221019420788,1.7540282600488701,1.7347759612134768,1.532955514505585,1.5383861202210858,1.594465551703592,1.5963197009019272
Slowbro (Galarian),Confusion,Sludge Bomb,40,1.8330923874442433,1.885473814775312,1.7501782525810163,1.8274924902057301,1.7480408321369854,1.8392882230648564,1.8494919395614962,1.879225586019427,1.8839478329084132,1.884865522692049,1.8151687313957394,1.8893321835078478,1.8216815162539959,1.848373121558829,1.9820841290043028,2.379832421966111,1.7986181883878214,1.864668842653113,1.878566179283314,1.870820678662666,1.8604263075565273,1.8822684431170578,2.331412526102978,2.382287586802635,1.8398976620274492,1.8539279286457224,2.3425000154511086,2.429098206514383,1.837173086406292,1.8728724102210155,1.8661009710273317,1.9000671983861968,2.294071428867755,2.296705249566331,1.8469361351490998,1.8578338274517436,1.8545207531125802,1.8785725562173654
Skuntank,Poison Jab,Sludge Bomb,40,1.581192799801302,1.5952041919042865,1.456966090154123,1.4879910871878193,1.4521185920537711,1.4932315959734013,1.5338872160267254,1.5417051863278692,1.646161338824606,1.6013363703136603,1.586633263551077,1.577044727534558,1.5375594430994544,1.5178615210204638,1.4608627412119024,1.7439628339435325,1.5470198825511234,1.570852624482965,1.5729061225510679,1.5712438533571675,1.5459889675342184,1.5520898863863,1.7751314396034434,1.7899235028869658,1.5340978389796076,1.5391937539369216,1.7830713096327417,1.8321718218242036,1.5603481440823497,1.5908556730897048,1.5678983558492512,1.5744191468952162,1.659091528682314,1.7185210414796444,1.5373813268185168,1.5278982167728357,1.586894579828376,1.5884360646885158
Skuntank,Bite,Sludge Bomb,40,2.065794814962214,2.1828647679674105,2.028590488535481,2.1671129315459416,1.6774963804179643,1.7668436198560913,1.8437965933463614,1.9019734340640821,2.199959766323759,2.194915520598606,2.0791288476071554,2.111599959469448,2.183027783122933,2.2456941221157836,1.6769805681616465,2.0410466805808416,2.1301200179670596,2.2333154084433096,2.2584697447637434,2.3181163569907706,1.957077717712935,2.004968580800968,2.1363602568443674,2.186400722412725,2.0878338863889425,2.1755520959510397,2.1929108360416145,2.289964688520374,1.8262649703751979,1.8751994066075142,1.9289356029896292,1.9584428119702986,2.027569756698308,2.1351070869450615,1.8709374545890831,1.8884347159351174,2.175470372463582,2.2438698321409443
Muk,Poison Jab,Gunk Shot,40,1.5690490805120259,1.5638309337156127,1.5406003370876695,1.539436402351826,1.5400502418889837,1.5516848123930838,1.5828726010127439,1.5614470459310235,1.6610410240867193,1.6364499572670934,1.5732435227394543,1.5698122336574385,1.5508625868712047,1.556396415583313,1.553448647226193,1.832795935584321,1.5183499366567237,1.5922330430467706,1.6195541788537027,1.607252144190954,1.5877876732947125,1.5810787529631294,1.779896815660099,1.778227502605506,1.554262451239743,1.5871139943193942,1.8349636150780702,1.8337158017413675,1.5152954147843993,1.550963651347307,1.6203933203468108,1.6056326996116015,1.8453776649367137,1.780464279310396,1.583856671418416,1.564565976429839,1.6258332573272336,1.6285494658225272
Muk,Acid,Gunk Shot,40,1.6594282195151357,1.6594295518236557,1.5818615593195764,1.5952410378056878,1.584525315826866,1.6047216459619749,1.6265469610822882,1.6178879821901533,1.6934742997735739,1.66378921711158,1.6177035435453753,1.6065877375969244,1.5972354297281133,1.603449843708718,1.6292151004769213,1.8866230791975027,1.5711527592309085,1.619025348548814,1.6200539515421872,1.6212221308968258,1.6122943100878169,1.6102807814143973,1.8329851281292546,1.8225924025068412,1.560789077500006,1.5944915439753906,1.8536571799026287,1.8637291174474873,1.542020120952454,1.5738828002147873,1.6622032539328053,1.6452179698816225,1.8896218520513781,1.8446530924684734,1.596852893720515,1.588331543019294,1.6526586918056316,1.6520422089466797
Muk,Poison Jab,Sludge Wave,40,1.705913046256905,1.700616800023615,1.6780537458932003,1.668787507009789,1.6715560164029797,1.677121385923768,1.7319338846270909,1.7098935587882174,1.8099227418329202,1.7735431987410115,1.7136537507133953,1.6973406403787419,1.6951383823421926,1.6864253830801421,1.7031448724988203,2.0074116880914468,1.6559112011796824,1.704696121334318,1.7583441349215223,1.7353444241063942,1.725715363830669,1.712319432872857,1.9453101649440108,1.9301326161876864,1.6972646693653068,1.725379374297172,1.979896643466149,1.967193545816618,1.6673384698684417,1.6842852735231926,1.7658072584163826,1.7403100079038412,2.013734428792488,1.9450859912658833,1.7301869462728683,1.6977355884885184,1.7740589567420704,1.7625435434682215
Muk,Acid,Sludge Wave,40,1.843795253609032,1.8232544420762895,1.7465042041028729,1.7388333661369675,1.7509478096313613,1.750731634801632,1.799730604497264,1.7840718816919088,1.8697795170770262,1.8175698644458156,1.7789783649421997,1.7565457538374134,1.7616434264285363,1.7554857471572258,1.8104193518906468,2.0853401100886706,1.7129121387596211,1.7616088099326492,1.7853458371831616,1.7745268968842196,1.774923189593962,1.7632516277887638,2.0172005654528142,1.9930869595676632,1.7113582216621783,1.7491201214218632,2.0225778109714585,2.0376276689326374,1.7127486079688363,1.7286394480290586,1.833416065016625,1.8032574884364405,2.0768381566369096,2.0278101731798617,1.7688469300871712,1.7414539106223164,1.8260727112488733,1.8174942569097823
Muk,Lick,Gunk Shot,40,2.0443878625553937,2.0343521963708597,1.8265461286266482,1.843718098171324,1.8246160137655516,1.8517591407201637,1.934073786453173,1.9413891221111927,2.0908330213291966,2.0392291445265287,1.9295748903846663,1.9633636954148916,,,1.7003295045484463,1.9640079456743325,2.19906170182085,2.326304163836038,1.9658550885411457,1.9633757656762734,1.9920155183262118,2.019016881358235,1.947079842592712,1.9317613470306176,1.9702839583244576,2.0265154757260797,1.955122823304696,2.030221054263618,1.986122434313723,2.038131954620712,1.9644353887441415,1.9865285522057772,1.9064665219408898,1.8683564521711635,1.8812387959162091,1.8810072887372615,2.0297595429070383,2.056194496371193
Muk,Poison Jab,Acid Spray,40,2.26625478408264,2.2740204510088535,2.242837318521958,,,,,,2.495678891285873,2.452437967697425,2.311239332774517,2.310955631188698,2.3007406893609534,2.315434898514958,,,2.2629792942349054,2.348310845281564,,,,,,,2.3334395559012875,,,,,,,,,,,,,
Muk,Infestation,Gunk Shot,40,2.258645336617859,2.272985435195999,2.1687912136278005,2.258789047661619,1.6987815701059126,1.7618518625347512,1.7356453541724595,1.7324224814295794,2.2777106622213505,2.2609910670886335,2.1545373101123917,2.230327204580351,2.20374742313791,2.2432332022550443,2.001203308342527,2.373737302922744,2.132512145168535,2.2587317070192894,2.198806724889802,2.178863621871924,1.7828447811453905,1.7807817158385417,2.3249339481703837,2.3292332419721546,2.180949014482936,2.2521477793690905,2.30803672354518,2.3972302278002027,1.731315838056038,1.7734768147820323,1.749135648339538,1.7570671442324588,2.266505228085335,2.2429706982498345,1.7767483683127139,1.7529007116420825,2.308242304232271,2.338585894055662
Muk (Alola),Poison Jab,Gunk Shot,40,1.5880868172106422,1.5764618877857015,1.4950675254088677,1.5081062668133347,1.4955464366719164,1.5164966729753295,1.5777802785601278,1.5646553768588896,1.66990093125806,1.629203166120419,1.5906013646393964,1.5747532881803874,1.575204051304541,1.5560376152972974,1.4996574509395075,1.7947687975182507,1.5427850267876035,1.585903018750605,1.6122724494029579,1.6061159462451544,1.597575608405378,1.5851952891484127,1.7243442045679096,1.7538999269501485,1.5818072820377167,1.5869599687294527,1.7822758540153203,1.8234955161135467,1.5152954147843993,1.550963651347307,1.6203933203468108,1.6056326996116015,1.7189475200153617,1.7663292442957532,1.5743640591871484,1.5629678654642531,1.6211651022981264,1.6210150626096422
Muk (Alola),Poison Jab,Sludge Wave,40,1.7261506417751544,1.7117287954650506,1.6290776518469487,1.6312190124916475,1.6292026700132585,1.6414023425626187,1.7243972098158886,1.707240807077177,1.816367083266475,1.7602811522540578,1.734228618426949,1.7033426856188805,1.7180356293137269,1.6860428426936112,1.645397044076997,1.9557252484967786,1.671970779771478,1.7072801779131632,1.754048020844981,1.7409882578009523,1.736629137702523,1.7161517532255555,1.8804599970309879,1.897640554611013,1.7259418684937624,1.725215862624162,1.91394090129734,1.956803169738671,1.6673384698684417,1.6842852735231926,1.7658072584163826,1.7403100079038412,1.873975970305732,1.9125746987276042,1.7231680224762485,1.6960034364112064,1.7774356710344943,1.7649071736619006
Muk (Alola),Snarl,Gunk Shot,40,2.085571105084963,2.109190995147006,1.882012152761297,1.960501097007708,1.7041546634005913,1.7877573479652895,1.7995268823692359,1.8066683719947907,2.1376351869350496,2.0856891909116517,2.081634535708492,2.1338534422402806,2.101960857800471,2.119964720106502,1.7464550907187906,2.091676559186093,1.9911203389652588,2.1012686701555703,2.12948774724725,2.1118734259744296,1.860430982841403,1.8590660960569705,2.0120555294622315,2.1069581603658722,2.07595018178429,2.099633454594794,2.0800422742340885,2.1330171895427665,1.7913599593108114,1.8376346869727458,1.814545557168897,1.8224543917542197,1.9423417128491245,2.0139151854307005,1.8338548488520368,1.820212283930377,2.0371497224385156,2.051105461874291
Muk (Alola),Poison Jab,Acid Spray,40,2.2855985858723775,2.293642958145875,2.193372982414656,2.2359093962446965,2.1895445498698876,2.2543771397128487,2.360138547749873,2.342386249816082,2.490291619866046,2.427222131435495,2.3298407533595538,2.324986846482173,2.3209794052408377,2.3162390887021638,2.284521184335457,2.72914662192679,2.2807390859230967,2.3554511414662986,2.4317048437214943,2.4129202237723923,2.3546858118074168,2.3501479917582,2.4961688014922516,2.5612870353024904,2.386319774590921,2.3857431862904996,2.635899334236112,2.7090386867688125,2.2245548535858277,2.270376833088614,2.3962437813273776,2.395400263953351,2.547592674576209,2.6227490119846357,2.34308300098059,2.3213834778291353,2.4366820833087064,2.4448647109421913
Muk (Alola),Bite,Gunk Shot,40,2.411199147107909,2.3993295598757842,2.0498300322157776,2.0842567821366367,1.8140968386904697,1.8496674750334476,1.9980722343442312,2.01583915765374,2.437254482459424,2.4013956593944368,2.2737083916289773,2.2699918043083023,2.4823884901154405,2.5318443487399724,1.8087391525586598,2.181072303732807,2.3579041524791173,2.4819236768139055,2.539684802055073,2.5557258734838775,2.135836028408841,2.128958455482743,2.2797755168712373,2.355342160010345,2.3413310595159755,2.390701981979992,2.3146632975659136,2.3767077773968035,1.9305632305530707,1.9693994242904245,2.076776306055722,2.0632297528234553,2.197038336921845,2.2713067376850082,1.989846262030777,1.977010167289506,2.4145082689254758,2.440799473568506
Muk (Alola),Snarl,Sludge Wave,40,2.415110191857147,2.4200680698873516,2.173211023267334,2.2323781763134676,1.9416022126869932,2.010203837116682,2.055451357257574,2.042552382833838,2.466122650311707,2.361058092049081,2.391807417331606,2.4342027495082483,2.4351479607362294,2.433130312019023,1.9927869421473714,2.3687309324438575,2.3360391750401526,2.376458064260131,2.441909034198245,2.41737369987773,2.1048654332360273,2.0906127156498395,2.2872464548109415,2.378140379778986,2.4016160267693016,2.420510765422379,2.3409065995101836,2.3804189842509285,2.0231492552292547,2.0747960198043702,2.0377569426505273,2.039698379956736,2.1864465969588625,2.25636176110996,2.071387228010573,2.0532989299645266,2.3403564217323503,2.3401427620833584
Muk (Alola),Bite,Sludge Wave,40,2.7432995246056175,2.710818433353907,2.28873379826002,2.3125870371109807,2.0018157480270258,2.0283108832202137,2.228184546671811,2.2335297516327093,2.7336597788039247,2.6637034497500105,2.5488783378731945,2.5327942132882484,2.821527407967613,2.8629875091392525,2.0220026434729785,2.4047145944606054,2.6635035544611294,2.7749607454719394,2.883488319572036,2.8633045411968845,2.367119807342067,2.3516214642437965,2.5548694714562754,2.599281753616153,2.640278201256921,2.685958782673245,2.5714316477095114,2.674006198113557,2.1371842994744106,2.169854808143482,2.2937399941349685,2.2712840198612905,2.431765381854991,2.489361198190404,2.2028101194769905,2.176153884774851,2.718950876536347,2.7446715778633197
Venusaur,Vine Whip,Sludge Bomb,40,1.6152817579570098,1.6632598148196773,1.6392062474271822,1.709947557766493,1.7515095319459566,1.8514087103924315,1.8808863389724295,1.9217969207583254,1.7630766579305508,1.7713430542528723,1.9073901212217823,1.942901987529888,1.7320233103466793,1.754514186974287,1.5803057562218426,1.888848934447982,1.6819534922780874,1.728537333334496,1.4772357448461344,1.4763600416238551,1.8566922630972826,1.8818969529278005,1.9473543086422083,1.965892786766959,1.6877100219019534,1.7337024951356708,1.9788423899059693,2.000566508406688,1.6738803039051213,1.7039037042028218,1.9747799460635063,1.9940251551168173,1.9315869934079246,1.9025733589964977,1.883159437616495,1.8967920630306248,1.873592707482652,1.9014237847296507
Venusaur,Razor Leaf,Sludge Bomb,40,1.7724273581987013,1.8433417951518734,1.697131043910286,1.7855368482574556,1.9529777347210022,2.115466415799318,2.0431554245335835,2.0801868493039786,1.8400162242150866,1.8506896356957379,2.154453997560912,2.2231863822122637,1.7974031681605753,1.8197027647931474,1.7740118401152096,2.112987394854348,1.8053371337457507,1.8463640343495105,1.525437445930756,1.5106950863681,2.177395389746829,2.192050494646077,2.0845752314389583,2.1141150089206,1.7921817828734476,1.840690208192899,2.1261680957044944,2.1585067450299014,1.8430198341209327,1.8729784954533766,2.1389841983649163,2.1609513400988245,2.0668168448476854,2.05138726104617,2.1076463279700843,2.1232003624843565,2.1855850723365142,2.214954018392643
Weezing,Acid,Sludge Bomb,40,1.6856103799523883,1.6888416538757376,1.6286915457963718,1.6403752900648099,1.6256723355889109,1.6471647626041983,1.7329280674025336,1.7364221058934608,1.8268737185544401,1.783852969110644,1.7502826946349093,1.7467008707897547,1.6541398445529387,1.640471958687285,1.7220886301446743,1.948927989998005,1.6669407766609448,1.7169904411245303,1.7189313894397986,1.7033849164868269,1.7161450556901836,1.707071631547877,1.9545686231529318,1.9642000177146661,1.6477825271532915,1.6681730671760622,1.9704730934388737,1.98812902824561,1.666877711889817,1.6828055832504933,1.6726208796513171,1.6714140268166273,1.9320531147156246,1.8893999661143932,1.7030725526897401,1.6819029313009084,1.678335104365149,1.6668746523530809
Weezing,Tackle,Sludge Bomb,40,2.1117980016877738,2.1529683155442236,1.9367609378735173,1.9573539799524446,1.9263372152388296,1.9680681069351655,2.048318211980521,2.0787915152939043,2.21360557922825,2.1805494005505115,2.063470632249865,2.0808626318860384,1.9946730554946457,2.0002919254749303,2.01073651291718,2.316288775665497,2.111940387153663,2.219409429197084,2.088806158450103,2.090791574851697,2.112067030916603,2.1235702687616684,2.3612425948470266,2.3978258796458176,2.098276957957013,2.1552439895507147,2.5112316550609863,2.5479577641525695,2.1232110200298853,2.1615023539915623,2.0798232443291305,2.095392488171098,2.3614526271995566,2.3272579482236067,2.150624731620971,2.149808530407342,2.1393109677761126,2.161608419362882
Weezing,Infestation,Sludge Bomb,40,2.1048929454843344,2.1619164251949994,2.085190149031412,2.163616694305348,1.7893297448481764,1.8359367477030328,1.8025375123007088,1.8105457875708773,2.2293337374529765,2.207038061571803,2.162513098374098,2.230845282978303,2.1253411265697975,2.1422746510982837,2.050307318863823,2.3662570435267103,2.029560840208643,2.1136290500513217,2.177284774983669,2.1736239912525877,1.7832219710639077,1.7705348738137685,2.290297542919105,2.377983756206691,2.093349701526053,2.1471555753122025,2.2818923086981937,2.3086270841801024,1.7928573065838675,1.8165327445062829,1.8089626005755777,1.8147102172693557,2.335189669590222,2.312778390166316,1.814024018972998,1.7984171991637075,2.199171640366996,2.207302466467288
Shadow Victreebel,Acid,Sludge Bomb,40,1.344397477926043,1.2771528046529776,1.3482308075346774,1.2104069706014655,1.3522913324182335,1.2197982707015484,1.1976666273976564,1.1987724727492979,1.3634271722916556,1.2855782326495642,1.305182055849806,1.2980928046126796,1.228465208259682,1.2395131879689014,1.3134619756174732,1.427941281675465,1.2336373239689522,1.2205528358753028,1.2535232181425486,1.2248428325108653,1.1942247563271686,1.1899976237833876,1.494724976640131,1.44922316251231,1.242903420005754,1.2000808190611498,1.4060552408047198,1.417332530340895,1.219267055634164,1.2005077997409197,1.2013668680495082,1.1985636344950414,1.480420089976525,1.4368565694339621,1.2206716622965939,1.1888716124789331,1.2477828954438255,1.2165880511264129
Shadow Victreebel,Razor Leaf,Sludge Bomb,40,1.6590357613354618,1.5614330529566305,1.6942674815684846,1.5095027917247208,2.0983799429520666,1.798361981171636,1.6765057547194975,1.715563268385807,1.6876527780254,1.572755136444332,1.7282987844597757,1.7747186102718675,1.4548638924564692,1.4836126065697228,1.6739220306526004,1.7601991372092356,1.510552056128828,1.5129136060271233,1.2579727307101536,1.2347044708908097,1.7394515016110126,1.7652906610725336,1.8345223862515876,1.774265929234538,1.5193483108840757,1.484574761181449,1.7351962925145394,1.741658499127636,1.540056610506335,1.5274752497344202,1.7236407845729835,1.7431537574392206,1.7791328780575693,1.7480378460959918,1.7450412709123146,1.7292273467421966,1.7274778639741803,1.7317990884826882
Shadow Victreebel,Acid,Acid Spray,40,2.2778705585194072,2.2106054857060746,2.0971635358477116,1.9845287283862625,2.100011346274624,2.0004919869625892,2.0403828096940417,2.033014630613208,2.3357144300427297,2.207320647341194,2.3568196801817973,2.272042668160484,2.1782663218668565,2.1732115699461123,2.21383438424526,2.4556087284515953,2.175411151179102,2.098638992860276,,,2.0229343837341105,2.007351543950835,2.6611308100537303,2.5212804370522917,2.1376298388739587,2.0228468662201964,2.454736545580934,2.4333302487590074,2.003500521624495,1.9794680440096575,2.0204588723408445,2.0149849036958787,2.5525475470403225,2.447187567295333,2.098339633855405,2.0219923498940995,2.178901371256111,2.1035678717442914
Drapion,Poison Sting,Sludge Bomb,40,1.7345948544694771,1.7316410744252466,1.5724823063493474,1.6001471393169753,1.566986762364192,1.6087964801654302,1.7270149060605064,1.7114987027472486,1.7487447925023918,1.7273421361535697,1.751695372553281,1.7466148229943597,1.6840446367705915,1.662606286122461,1.58687464332773,1.8851111331039638,1.7212743904763537,1.7651216596042671,1.7223193609088931,1.7143878259057854,1.6934527310601193,1.69280442738218,1.9486425458434329,1.9789541125338053,1.7659202043521165,1.7663498853978612,2.0046534186147804,2.0317534670270607,1.698970008450069,1.7296081254317548,1.755826087150901,1.7635647788861628,1.8754103378772013,1.9411163476547004,1.7199604691073362,1.7149729655348533,1.7241583979907749,1.7246676237254177
Drapion,Ice Fang,Sludge Bomb,40,1.997462994621493,1.9836868419546516,1.7958217439669852,1.8616529109308892,1.6501543532060021,1.7179288356190219,1.7508520653211543,1.7441391877347392,2.0007771577314624,2.012885110820825,1.8317802443117854,1.8785078287070576,1.9138095568393876,1.9037182029027508,1.8008369038476217,2.1595478223954085,1.8873112616223724,1.9479182018918915,2.0819119620294138,2.0773424548715558,1.7593621825556975,1.7592484908498147,2.1072561500254703,2.1590624250637216,1.9373212503391348,1.933489147013777,2.188772215848414,2.248979598362091,1.9307492373874666,1.9692243989430855,1.7706321478323204,1.7812713691573516,2.090790237114398,2.1617392557779174,1.740612516339757,1.7277742791067563,1.7871931539383477,1.7852883938675452
Drapion,Infestation,Sludge Bomb,40,2.068024128479944,2.0969281799633817,1.91573067161223,2.011525736482812,1.6515926376011068,1.7219068876843506,1.747340350985615,1.737142432784983,2.1053872714198265,2.1210810723668927,2.105872176632304,2.1885484368962596,2.071833014115685,2.065518194705784,1.7853603478966138,2.151696919746294,2.0153608135785,2.0864459161773565,2.1002526541745867,2.1079092409629188,1.7489195567467979,1.7353557002772366,2.0879676566352456,2.1311871326097065,2.0576133802790535,2.0751759264116614,2.137073618516349,2.183083843306884,1.7452812187923588,1.7830643823020729,1.76272217927688,1.7693860344346148,2.0963502079321814,2.153439897657331,1.709809346480003,1.70482024234633,2.1366093779562534,2.1533541564923846
Drapion,Bite,Sludge Bomb,40,2.2417498812603402,2.27386942265657,2.1426761533343286,2.2699298862073145,1.749672106426852,1.820202794301347,1.9564044563315124,1.961625173238695,2.2987874033530042,2.277877205030154,2.1398726348008448,2.1811472316100087,2.3400474854897677,2.3695081234141244,1.79724539613845,2.1122735368700223,2.249369882192003,2.3293271222299445,2.3746676764496444,2.4095959482429037,2.040899693723596,2.0625201337491,2.192868456630082,2.2669618699527474,2.2387603350696286,2.2770389852376036,2.257400349292648,2.3541345866234678,2.0507383588528723,2.1052923140362565,1.998390539276919,2.016454597082622,2.1338177083425935,2.219933571423797,1.9126052450354682,1.9298729445221658,2.2713079415088253,2.312373500784188
Nidoqueen,Poison Jab,Sludge Wave,40,1.7851375419219995,1.783569326293029,1.7682361322426168,1.7426823455081342,1.7590680089163309,1.7507156153830792,1.8619481149022035,1.8027159212945925,1.8637865416272945,1.827191698229713,1.8750769694367655,1.8693721805536563,1.7670491964366957,1.732708973263981,1.8110635661771477,2.093323805674654,,,,,,,,,,,,,,,,,,,,,,
