Attacker,Fast Move,Charged Move,Level,Arceus (Grass),Arceus (Grass),Arceus (Grass),Shaymin,Shaymin,Shaymin,Mega Venusaur,Mega Venusaur,Mega Venusaur,Amoonguss,Amoonguss,Amoonguss,Bellossom,Bellossom,Bellossom,Gloom,Gloom,Gloom,Grotle,Grotle,Grotle,Meganium,Meganium,Meganium,Tangela,Tangela,Tangela,Venusaur,Venusaur,Venusaur,Vileplume,Vileplume,Vileplume
Darmanitan (Galarian Standard),Ice Fang,Avalanche,35,1.4192155484367972,1.441519440098926,1.424988663205226,1.477534428855375,1.4537517701948204,1.512510767164372,1.471557632863948,1.464891663057924,1.4953962399390746,1.3873608464547187,1.4565239193661619,1.3916608163674655,1.3965632541505537,1.458891828763605,1.3855144942284767,1.4070486183253688,1.4625753168501974,1.4107105755246208,1.376283448838654,1.4489360924692154,1.3985968844013008,1.4278603356514012,1.4479794728586584,1.4610809389535149,1.4096180986640352,1.472978278631989,1.4755992741858466,1.4263300354676125,1.433544894530521,1.4306514840395743,1.40961045751634,1.4315189542483662,1.420496732026144
Frosmoth,Powder Snow,Ice Beam,35,1.8202539806263738,1.897810405083255,1.8178172526894156,1.7595746944002402,1.8645141375735974,1.7702094200435066,1.7657682141950515,1.892158824495647,1.8036316394642138,1.7533221341891485,1.868794504061779,1.7567069501554506,1.7737524108587988,1.8601459599337073,1.7789666501904455,1.808941928111365,1.8775322044462912,1.8228236027425722,1.754783625446086,1.8171321388987003,1.757548445245606,1.8172413480456604,1.8562556100568486,1.8333892450110163,1.7729602393913348,1.8510170948333493,1.7735650845191482,1.736858316221766,1.811489639723726,1.7400224005973493,1.7313568627450981,1.7976784313725491,1.7278013071895426
Ho-Oh,Incinerate,Sacred Fire++,35,1.3658005780399456,1.4616160714773527,1.1345809574628891,1.3655121207507503,1.4562566349717498,1.1359822469533878,1.3617871488942315,1.44881210148282,1.1278241521943644,1.3701735031591615,1.4587929996991273,1.1461613679671045,1.3732833231568438,1.4546661626881439,1.1543434225956832,1.4028802202368584,1.4569784957407022,1.1870065447745688,1.36673446768084,1.4604947444064162,1.1285945702349487,1.383406018514321,1.4424487501473349,1.1573354609993383,1.3735183947198082,1.4604675346724818,1.132715754623882,1.3388650364009707,1.4111349635990293,1.1071868583162219,1.34799477124183,1.422640522875817,1.117134640522876
Emboar,Ember,Blast Burn,50,1.2725729698031496,1.3389929283897017,1.073327663418303,1.2973593594553952,1.3663359522136038,1.0918582509328065,1.3109352367584035,1.3663087789508266,1.0971433691221049,1.3274119947848761,1.3842142212416007,1.1061829304984454,1.331007278612896,1.3807170063675747,1.1086073716550848,1.3379129441097029,1.3871156243507168,1.1187279243714938,1.327076964300939,1.3876350437864633,1.1081446475768242,1.357728958320111,1.3912306311370624,1.1311959961194273,1.3002154097560459,1.3821029510075447,1.1058903426394593,1.3001866716445771,1.3545361209632256,1.0963412357662872,1.3141228758169936,1.3484549019607843,1.0922875816993465
Kyurem (Black),Dragon Tail,Glaciate,30,1.3518012300194684,1.344532933161172,1.3507777314390719,1.2955135598487486,1.3625171283946549,1.3128140205686731,1.3216001911389192,1.3534009288156854,1.3119148237191454,1.2802000802326747,1.373545782770033,1.288737338281015,1.295631863072912,1.3602864924064004,1.303559832911736,1.3382765426968626,1.3907386245584874,1.3575472678163307,1.2860187812869202,1.337308015541454,1.2893560527629928,1.3251883619087341,1.3628879439311652,1.328198525745061,1.3305425566909665,1.3752162056048982,1.3547575844395632,1.2562068321821915,1.3066548441291768,1.2706178831435504,1.2773437908496732,1.3093019607843137,1.2676496732026143
Kyurem (Black),Shadow Claw,Avalanche,30,1.382098244936687,1.45865848839094,1.38348415671548,1.4027221894311808,1.5017237891241733,1.4073711016608026,1.4216912807800859,1.5020801290187704,1.3944300924335868,1.4449027178818574,1.537232975629325,1.4362777053455018,1.416557632851646,1.5116932709175315,1.4147840161273126,1.4828329524205277,1.536788385622273,1.481884998961147,1.4293874767060886,1.532209541673264,1.4141383384285593,1.4769658999211193,1.5266064029448834,1.4732485289184265,1.4669722726259828,1.5584630566962723,1.4642663865278707,1.3862329662124324,1.482602202725406,1.397750606682845,1.3863006535947713,1.471675816993464,1.3954091503267974
Kyurem (Black),Shadow Claw,Glaciate,30,1.4093830416119557,1.3939467890008506,1.4123952598539056,1.3586962189264329,1.4397946052595902,1.3910091831137492,1.4170979736288023,1.4391386802454942,1.3939044604058717,1.400837428542774,1.4966778658108515,1.3990196570053153,1.3502747652138516,1.4427548241405712,1.3679237054051696,1.4392920216081446,1.5011167670891337,1.4482391439850404,1.371935252061435,1.4501784344055637,1.3698403225217104,1.4065625198335343,1.4550424777637747,1.4143417986635598,1.4022750665860206,1.45524676620083,1.4289200861639024,1.3198338622363264,1.384664924397984,1.3335542281127497,1.3340235294117648,1.396329411764706,1.325762091503268
Kyurem (Black),Shadow Claw,Blizzard,30,1.675299628298825,1.7013423857715486,1.6711983492898341,1.624505961828447,1.7226649592151284,1.6489581139056493,1.6652649812594265,1.7101318559887706,1.6477548643361657,1.639980944739745,1.7558670143415906,1.6445692508273995,1.5959061436920303,1.6910999331259267,1.6071972009808198,1.705316330770829,1.7536100145439435,1.7065889258258882,1.6046307686686234,1.7028610404004725,1.5955446207812138,1.663151786604771,1.720662236043992,1.6772505961393742,1.6861808805271703,1.7720158320865036,1.7136748055475972,1.5619469852529402,1.6220179204778795,1.5667631136830316,1.578551633986928,1.629050980392157,1.563450980392157
Kyurem (Black),Dragon Tail,Ice Beam,30,1.4253128317947465,1.5021043640741072,1.424842969457127,1.4214972041871494,1.5102666085465735,1.422450345904932,1.4387384831334837,1.5114399629668345,1.415061149521406,1.4493029786380502,1.531190452311704,1.450318423427941,1.4394692718479534,1.5428527122767228,1.4537648164839743,1.4841445044670682,1.5412164969873259,1.4827420527737378,1.4454892025869943,1.5374225058767645,1.4435526107450398,1.468379679580753,1.541140416889558,1.4714895777610548,1.4802364201657487,1.5538471333524337,1.4840140493850742,1.4158950905357477,1.5009800261340303,1.4293354489453052,1.4176522875816995,1.491932026143791,1.4179137254901961
Kyurem (Black),Shadow Claw,Ice Beam,30,1.4713174539289051,1.5651642605951226,1.472876377033566,1.4923237678505508,1.607092876047778,1.484696548459018,1.5124643481117566,1.600836232771365,1.4801887496826795,1.5178517701333867,1.6401689900712064,1.5156829806438672,1.498754591535099,1.6152414735556653,1.508650015991626,1.577900997298982,1.647919696654893,1.5754337211718263,1.5066684530406926,1.6284666820944422,1.5004811030047622,1.5662825383297219,1.6454716074456222,1.5718857951093905,1.549698108001995,1.6672290665223528,1.5573807022570274,1.473912637670338,1.5734646257233527,1.4855142803808101,1.4771032679738563,1.5583477124183007,1.471518954248366
Kyurem (Black),Dragon Tail,Avalanche,30,1.3388071688608751,1.3909946694299915,1.339506498851751,1.3324545797729561,1.4176429243305586,1.3342023538637695,1.358711006913853,1.4140128720115879,1.3295055773739306,1.3711638752381907,1.435224651489319,1.3649583792999698,1.363552660909681,1.439517731321296,1.3682047703505558,1.3898555994182422,1.4486546852275088,1.393102015375026,1.3606932755197738,1.4479860662825963,1.3563937980341765,1.378673170554795,1.4443346359243108,1.3843761616784385,1.3903691677543268,1.4585468861087236,1.3857638557285201,1.337119656524174,1.405180138137017,1.3498319955198805,1.328177777777778,1.4019660130718954,1.3335006535947713
Kyurem (Black),Dragon Tail,Blizzard,30,1.57697456005041,1.6010650212986048,1.576541121149815,1.5171575937447206,1.5952630733710558,1.527437759011569,1.533937611062165,1.586450042558275,1.5267639285020982,1.498746364456925,1.5988366262160265,1.5121351920569652,1.5236724527277836,1.5924558291900484,1.5345273747564911,1.566551527114066,1.6178448992312486,1.582536879285269,1.5058402250831273,1.5852161309574557,1.505145975177521,1.5162521646886022,1.5694105700271097,1.5349659543216705,1.5621239614172477,1.6204649879561541,1.594796209637199,1.4714019040507746,1.5332835542281127,1.4848515960425612,1.4914091503267974,1.5302065359477124,1.4904575163398694
Calyrex (Ice Rider),Confusion,Glaciate,35,1.4361524466533235,1.4630839359894519,1.4374290881210423,1.4485918738933024,1.4846840345633798,1.5265784715110737,1.2016963579076263,1.238935595143877,1.2221362760762764,1.2123783973523217,1.2780939725203089,1.2155500952763012,1.4602583859118619,1.5202318301204703,1.4680312854359898,1.2295475794722626,1.271867857884895,1.2340925618117597,1.4427609222561903,1.4841114210199384,1.442358988100313,1.4702474318406427,1.4849446474390942,1.456484092372136,1.475578051549783,1.5148187056314266,1.4734451766253887,1.1736606309501587,1.2164457718872503,1.184468919171178,1.1637960784313726,1.1866248366013072,1.174797385620915
Calyrex (Ice Rider),Confusion,Avalanche,35,1.467764347647137,1.5388301156262008,1.469430719891021,1.480033036684485,1.580970118902865,1.499706966277137,1.2746487075723865,1.345982349515433,1.2845252139113295,1.2864557215926185,1.3551800220639856,1.286380503460034,1.5209005708525958,1.5934928619195765,1.5180220781360547,1.2998259921047164,1.3636635154789112,1.3005921462705172,1.4986175901002399,1.5874693981949501,1.5176911927700572,1.5382118538801195,1.5919414650068455,1.526896539218264,1.534736149577139,1.6010462759579367,1.5307250713611138,1.2784394250513347,1.3402557401530708,1.2815195071868584,1.2630065359477125,1.318243137254902,1.269448366013072
Ho-Oh,Incinerate,Sacred Fire++,50,1.221722209372843,1.3172900234384817,1.013083298579304,1.2219214252492872,1.3181178266700315,1.0109955429675035,1.2118237340779787,1.3002434034673795,1.0089865157465618,1.2509778357235983,1.3458404372680774,1.0372204392738942,1.2423845937642348,1.322245805832582,1.0325453822967852,1.2631285061292332,1.3275503843756493,1.0464886765011427,1.244241988721484,1.3104515060351023,1.0546265057306066,1.240577371184028,1.287914917537831,1.0466031389118078,1.2665138636870086,1.323273803839175,1.0615244219484503,1.2184618256486839,1.2787287661004294,1.0106216165764421,1.216962091503268,1.2815686274509805,1.0158954248366014
Arcanine,Fire Fang,Flamethrower,30,1.6479674811554244,1.6591039470257531,1.3977985674662219,1.6581120285650524,1.7226670448644015,1.376019621788361,1.6819209461376499,1.7420789344005256,1.3719862021592726,1.6484304483000702,1.7205395647377393,1.3894168087453616,1.6763682532298239,1.752343015536107,1.3982011843495283,1.684902867234573,1.7419748597548306,1.3956991481404528,1.650512161553171,1.7229090289027198,1.3844804696539712,1.7127106888016466,1.7540823080340548,1.4174607636024046,1.669149715086111,1.7217712412058703,1.4000573011173718,1.6564028374089976,1.712096322568602,1.3740153070748553,1.6285490196078432,1.6801882352941178,1.367926797385621
Shadow Typhlosion,Incinerate or Ember,Blast Burn,45,1.2158197914029762,1.2369909141736342,1.0183501275730882,1.1800269883015932,1.2488888703497842,1.0018249431139161,1.2287126495139398,1.2719966550689146,1.0452252602027865,1.1908660114331562,1.2660716076622205,0.9844298465550095,1.1826243712383333,1.2464261138409947,0.9949117552990433,1.2201199875337627,1.2662580511115729,1.005298150841471,1.1616749692459472,1.2423662959940562,0.9857008879090897,1.2137760329304672,1.2603973053593611,1.0381347864325026,1.208692791731661,1.2650495017986185,1.016712825900105,1.175499346649244,1.2192458465559082,0.9925331342169125,1.1812496732026143,1.2155084967320262,0.9966222222222223
Shadow Moltres,Fire Spin,Overheat,40,1.1585002285570674,1.1620478713232816,0.9640828487498566,1.1287450439759148,1.1789633071723393,0.9377809108864635,1.119867994683949,1.1561993220541462,0.9658667702002479,1.1441680874536155,1.1958680172500251,0.955470865509979,1.1136665406720359,1.1603620891848148,0.9412768102036266,1.1571525036359858,1.2094847288593393,0.9770413463536256,1.1238078998331364,1.1795914887397536,0.936884157704347,1.1237340538384122,1.1746348362996746,0.9667612631808002,1.147444264052038,1.1902609323104023,0.9804857861394964,1.1445678551428038,1.1600522680604817,0.9356169497853276,1.1336470588235295,1.1626039215686275,0.9597908496732026
Mamoswine,Powder Snow,Avalanche,35,1.4625029821689064,1.5171144624720223,1.4674802448383437,1.6460757466102984,1.573595263073371,1.700517449584643,1.6295190168291847,1.5627846551286455,1.6154792659070887,1.4661393039815465,1.5566517901915555,1.490196570053154,1.4862520474127485,1.5773461654018743,1.4968743639694122,1.5208679617702057,1.5605131934344483,1.5136998753376272,1.5290671473636772,1.565180322278114,1.5837789118546215,1.5585213930167827,1.5687577634120027,1.5562547033809944,1.5933106251127453,1.5969290845615935,1.594170141873322,1.5343009146910584,1.5305208138883704,1.545286540974426,1.520491503267974,1.5363450980392157,1.5386771241830066
Kyurem,Dragon Breath,Glaciate,40,1.4770250065106894,1.4909132630482411,1.4769867619018133,1.5192786990554095,1.6238698388001676,1.5442522634508735,1.5965804052742396,1.6739916675377426,1.616868009616677,1.5643491124260354,1.6567671246615183,1.5544453916357437,1.5069539344246405,1.5784801170780876,1.5105980868199924,1.5889777685435278,1.6541268439642633,1.591484001662165,1.558785915252792,1.6363592073371254,1.5580794855242803,1.5860299384367096,1.654384231093542,1.5796197401467003,1.5474485085792506,1.6710597523318371,1.5423126306518533,1.556169497853276,1.6244166511106963,1.5694885196938586,1.5414169934640523,1.615132026143791,1.54480522875817
Kyurem,Steel Wing,Glaciate,40,1.5868362056248713,1.6013564087948031,1.585036887835847,1.5508366582058828,1.6488767735840006,1.571864174176742,1.5726880403780967,1.638454761300342,1.5992115519584273,1.5946745562130178,1.675521512385919,1.5905877043425936,1.618468874480272,1.7456265325308444,1.6362631930916174,1.616741117805942,1.6924475379181383,1.6140920423852068,1.6688549748486656,1.747865486035833,1.6532160822381643,1.6109181906376653,1.6573127941029804,1.6084066985212118,1.622226466749435,1.7298464542280798,1.6128354502912807,1.586783647563935,1.6731099495986559,1.5996453238753034,1.6088261437908498,1.6868496732026144,1.6069856209150328
Kyurem,Dragon Breath,Blizzard,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kyurem,Steel Wing,Blizzard,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kyurem,Ice Shard,Frenzy Plant,40,2.462095039674229,2.477434770177218,2.258549946548606,2.5008061034440328,2.572304246173355,2.3133688032753037,2.688303194110532,2.77195335015754,2.6947869846342227,2.6131280714070804,2.7342418012235483,2.617490723096981,2.4618672404268307,2.5310286007811666,2.2753176518477596,2.7171073135258674,2.7963588198628715,2.7208082277166006,2.4674859627541013,2.552257530175511,2.2646310122650815,2.438132973080794,2.484935580680551,2.2696453990733776,2.518649391440911,2.5845562877365,2.3247699996816604,2.673987306328169,2.7486839649057306,2.6873063281687513,2.680972549019608,2.7472522875816994,2.684862745098039
Victini,Quick Attack or Confusion,V-Create,30,1.5326199196134744,1.6260223603479895,1.2948185839660389,1.5481294854494678,1.6530001021968144,1.3256324210008197,1.4773843833529947,1.5454238654859858,1.2780802484805949,1.4545431752081035,1.5516623207301172,1.2655200080232674,1.582734858837554,1.6842768392793106,1.3579313620019577,1.4861572823602742,1.5660840432162892,1.2777763349262414,1.6006114271098497,1.6968807473539333,1.3278686527897885,1.6164398465904455,1.67646178814612,1.3607209886393516,1.5877821284181708,1.705069026623797,1.3542800751281316,1.4371663244353183,1.5103509426918051,1.2643737166324436,1.4335163398692812,1.5044287581699347,1.270337254901961
Moltres,Fire Spin,Overheat,50,1.2804003664197765,1.3030721347958558,1.0762196843180714,1.2460711581818977,1.3024358297859915,1.0449290566399774,1.255164483999582,1.2773455582600386,1.0652291427120821,1.281140306889981,1.3306213017751478,1.0573538260956774,1.2581048469165237,1.3078824179338817,1.0462981808313707,1.2670371909412008,1.296813318096821,1.075693434448369,1.2504902378719414,1.307905923047879,1.0587798253413394,1.2634800032640332,1.3075081827495854,1.0753175632179741,1.2606776387695116,1.321056038370526,1.081303918759749,1.2338249019973866,1.2588855702818742,1.037054321448572,1.2529882352941177,1.284883660130719,1.0278797385620915
Kyurem,Ice Shard,Frenzy Plant,35,2.6075993859008517,2.6277816123562867,2.3838666028042406,2.543472230622754,2.6058602573274072,2.347344029933238,2.694123971508355,2.7756596532620548,2.7042513476787073,2.7488968007220937,2.8682805134891183,2.754400260756193,2.5810775448492422,2.6514116244584653,2.399286676552399,2.8537684396426344,2.933136816954083,2.8572356118844793,2.5798448290561855,2.6624605678233437,2.3791335273985115,2.5645961212406956,2.612568340692519,2.383986291061083,2.5469391653137237,2.613907193412494,2.371979753605195,2.6821728579428785,2.7518667164457717,2.6873063281687513,2.686483660130719,2.752250980392157,2.690666666666667
Kyurem,Steel Wing,Glaciate,35,1.652043263758498,1.6864925504965425,1.6530758681981508,1.7026385548953316,1.8005472743692474,1.7267945447757613,1.7407469350575657,1.7927695730733049,1.7185091164304807,1.7164777855781765,1.833467054457928,1.7270208604954367,1.6580118047277062,1.765155700287849,1.6665115963519708,1.7957225223353417,1.8428734676916683,1.7920345938084354,1.6709377245654848,1.7922609405259247,1.654214827716405,1.7405637710462134,1.7968774083577381,1.7492859927647268,1.6549623828775772,1.7529791275374316,1.7065652224662826,1.624239313048348,1.7046947918611164,1.6410024267313794,1.6271790849673202,1.6937307189542485,1.6078326797385623
Kyurem,Dragon Breath,Glaciate,35,1.6737880556622964,1.6953379821780123,1.6729066084862967,1.588163523245604,1.690831694360613,1.6094600879726864,1.6722415518091,1.7112757029581736,1.6453865336658355,1.6142187343295555,1.721404573262461,1.6196720489419316,1.648591283109935,1.7443665862239408,1.646429990598862,1.6697745688759609,1.720055059214627,1.6696966548929981,1.5968235021862782,1.7026418035881759,1.5832308198238798,1.6067293481907283,1.6918118103596784,1.619304942290082,1.5850231857298995,1.6805462706522778,1.6127399484289944,1.6089229046107896,1.6908904237446332,1.619199178644764,1.5642771241830067,1.619921568627451,1.56158954248366
Mamoswine,Powder Snow,Avalanche,50,1.2970440559682532,1.379717973327117,1.2998231642132447,1.4869031653899016,1.437291826131934,1.4943447619961332,1.4224259710006422,1.4040826078516284,1.468373975241537,1.306676862902417,1.4092618593922375,1.3085573162170294,1.345719574719662,1.4092887118502795,1.343916882311323,1.352080303345107,1.4272672969042177,1.3596509453563266,1.3399266774661096,1.4327612876508775,1.3677941122736075,1.3325505698457745,1.3886556717108067,1.38009665164607,1.3605831980390284,1.4133851165653286,1.438300491304025,1.348543961172298,1.3761433638230354,1.352790741086429,1.3582117647058825,1.3680418300653596,1.3725281045751634
Mega Mewtwo Y,Psycho Cut,Ice Beam,40,1.091728783803226,1.1650728377681903,1.0909329317042344,1.1270056124821937,1.1900673039020413,1.104269949756709,1.0170621350814582,1.0739677751728465,1.0175937402003972,1.0226782669742251,1.0820379099388227,1.0264517099588808,1.110972193954196,1.1920739685401098,1.1094311827019063,1.0306072096405567,1.0931461666320381,1.0333601703719093,1.1346966615105416,1.1983605958369365,1.127595824756708,1.148214301904926,1.2124794864587962,1.1564650521791955,1.1312195587813962,1.222869512622163,1.1381911947282972,0.9905357476199366,1.0471905917491133,0.9886876983386224,1.0138143790849674,1.0469960784313725,1.015916339869281
Shadow Houndoom,Fire Fang,Flamethrower,30,1.4771579520558298,1.4350488165114725,1.2596681460652672,1.4863900956687321,1.4933353077479785,1.29424131379219,1.5109889945794197,1.508172682067287,1.2384786536652381,1.4296209006117742,1.4869621903520207,1.2015344499047236,1.440176780158753,1.4770932069510267,1.2174764244662188,1.4671202991896946,1.5167515063370038,1.2185746935383337,1.432615129776013,1.482832539614874,1.182721703226435,1.486776132664811,1.4669017979382193,1.2499705330347348,1.4672057216226828,1.5180339349950658,1.233852226785089,1.423511293634497,1.4396490573081948,1.2299701325368677,1.4240209150326797,1.4385359477124184,1.2359111111111112
Kyurem,Dragon Breath,Glaciate,50,1.41442950881174,1.4517944916836187,1.411980032671823,1.4522542740167728,1.5565492515647583,1.4545213747765748,1.3775292308151776,1.476416742574701,1.3941015724162649,1.4161693912345803,1.5631080132383912,1.425183030789289,1.4251058839492532,1.5394023977747409,1.433033853788077,1.4534983378350301,1.567811136505298,1.4306435694992727,1.4380473307918102,1.5463259564205936,1.4517861710290731,1.5087630221319577,1.553099471407977,1.5054899222978795,1.5102452275597151,1.5885249206803977,1.5075499527796348,1.3914224379316782,1.4542841142430465,1.3945118536494308,1.482718954248366,1.5306248366013073,1.483534640522876
Kyurem,Steel Wing,Glaciate,50,1.5077408909536931,1.5550767897111075,1.506280311128999,1.4714756177171735,1.5827262355907705,1.486208644181977,1.4708557946451237,1.5798019920259232,1.502172711932743,1.508048340186541,1.6657055460836425,1.514341590612777,1.4888494751839036,1.601275453338373,1.5041723606547843,1.531009765219198,1.6738650529815085,1.5138946602950343,1.4619563231550612,1.5894547093285263,1.4849274691545984,1.533043801510522,1.5892667712366153,1.5175849781944457,1.5724275512261379,1.6444571780260826,1.5688939823215442,1.4536400970692551,1.504573455292141,1.4492346462572336,1.4549124183006537,1.522164705882353,1.4597437908496733
Kyurem,Ice Shard,Frenzy Plant,50,2.3989914350287838,2.399914769157362,2.1822137072320555,2.32089591150173,2.393847751774366,2.1492532332777854,2.473403318052175,2.5657801603774995,2.4889930861469085,2.4930799318022263,2.607887874837027,2.4982699829505566,2.312883435582822,2.376597951133467,2.127051047209219,2.5839133596509454,2.667567006025348,2.5867052773737793,2.318892123308527,2.409071532099923,2.1356710473429716,2.3625434071065254,2.405220639569148,2.1978185378945176,2.3487303557974935,2.4211526013646156,2.168008998397691,2.509417584468919,2.5875676684711593,2.522643270487213,2.4076967320261438,2.4702849673202616,2.419419607843137
Shadow Entei,Fire Fang,Overheat,40,1.1713868405764374,1.1815289466159895,0.9852321174582997,1.1872913047196156,1.2209015427547674,0.9645523049552941,1.1802768527782341,1.2108441471172369,0.9792793465438201,1.1555510981847357,1.2340913649583793,0.9718433457025373,1.1693658593318408,1.2238924587367583,0.9783967667839385,1.1670605651360897,1.2395465406191564,0.9740806150010388,1.146243133624837,1.2046088449873937,0.9574071592999037,1.170527594679626,1.1939107649624183,1.0027472278385754,1.174407623170874,1.2121839153641274,0.9782149640806885,1.1507840209072242,1.1821261900317341,0.9635523613963038,1.1550849673202614,1.181354248366013,0.9843346405228759
Shadow Entei,Fire Fang,Overheat,35,1.2544122441025902,1.2408864007634353,1.0478603962505715,1.2045959367380863,1.2570479303059439,1.0461679323081672,1.2064240596114504,1.2392671017068109,1.047668254513417,1.202763012736937,1.2641786179921772,0.999648982047939,1.2180579381463281,1.2714118182963587,1.0245592610899503,1.2286775399958445,1.2864507583627676,1.0309578225638893,1.2153758084357453,1.2541076452748376,1.0163209626932024,1.2326258239416827,1.2684304534285948,1.0433844396289882,1.2452275597151923,1.271533017116056,1.0579271851356657,1.2127216725779355,1.2353649430651483,1.0200672017920478,1.216637908496732,1.2314875816993465,1.012078431372549
Mega Alakazam,Psycho Cut or Confusion,Fire Punch,45,1.3476252829645763,1.3909436766181567,1.1650491625341242,1.3591654900128685,1.4344991417553241,1.3275887600189378,1.1857093792464946,1.202640106321024,1.0922723132289038,1.15143917360345,1.1944639454417811,1.0342618593922375,1.3809108442609446,1.446321441378575,1.212998769129377,1.1584250986910452,1.1997974236442968,1.0467224184500312,1.3560649428157314,1.437523598406879,1.1832941549029876,1.4006600600219417,1.44352769441397,1.2407315060792616,1.388713802141364,1.456201784823693,1.2298199259330003,1.1312301661377637,1.165736419637857,1.0382303528094083,1.1337934640522875,1.16079477124183,1.0390274509803923
Mega Glalie,Frost Breath,Avalanche,50,1.2920922897047333,1.3405245339165939,1.291966628846998,1.2949379206493878,1.3555135181357632,1.313164409646545,1.3016888915435962,1.3541176997625697,1.3425328893335524,1.28932654698626,1.3527354327549894,1.292723899307993,1.3138041655763284,1.3732930150515124,1.3211215460510375,1.3183695200498649,1.3720003116559318,1.3254207355079992,1.3037769630829568,1.3629100032885522,1.3086732518909174,1.3256507665944348,1.3699600155948248,1.3368210131195997,1.3015736584641178,1.3627266842814547,1.3112193465550357,1.2875490013067015,1.330614149710659,1.290050401344036,1.2853228758169934,1.3224993464052288,1.2928209150326797
Mega Glalie,Ice Shard,Avalanche,50,1.2990783049260877,1.345947983689585,1.2963137660559063,1.3399858592979288,1.3902792058681828,1.3473461155825115,1.3328057102752102,1.381280332103872,1.379410754550749,1.3268353224350615,1.392789088356233,1.3241525423728813,1.3190959400653233,1.3820447959371576,1.3285358454724314,1.331562954498234,1.384453563266154,1.3350560980677333,1.319050461006297,1.3724955239150822,1.3164439789045468,1.3378274233178897,1.3805227892975982,1.348907002257623,1.3225204002589162,1.386729485669415,1.3239317055571473,1.3035560948291955,1.3446518573828636,1.3056934851596043,1.310253594771242,1.3630640522875817,1.3155869281045751
Mega Glalie,Ice Fang,Avalanche,50,1.2898649965306677,1.3414496892170236,1.290027080825428,1.3230003316182344,1.3938248096323627,1.346664108270225,1.3241566741828066,1.3786193199635641,1.3913658966356564,1.3149884665530036,1.375438772440076,1.3155776752582489,1.295670630651586,1.3708021981217107,1.3065061688909565,1.3060461250779138,1.372130168294203,1.3172137959692498,1.305701375102006,1.3597919686247761,1.3038135025516728,1.3335116462513488,1.3706128222099319,1.3352887309258068,1.3253430108553783,1.3730408854083767,1.3272848820552001,1.295538547694605,1.3347862609669592,1.3056468172484599,1.3025464052287583,1.3466248366013072,1.3144679738562093
Kyurem (White),Steel Wing,Blizzard,45,1.4033713533310144,1.4742477194375492,1.4047117358135266,1.4415653214924071,1.5195352339159942,1.4317231425728987,1.4671942897247898,1.5646333268624846,1.5026326399569938,1.503698224852071,1.6163373783973523,1.5051273693711764,1.5176344023493151,1.6139524515647563,1.511761114180211,1.4720418657801786,1.547202888011635,1.4728729482651153,1.4777535534633326,1.5973959538628308,1.5022106378573254,1.4673188688312042,1.5118819870708025,1.4631209596257242,1.4932458960727513,1.6067551650590521,1.4840140493850742,1.4712245659884264,1.544483852902744,1.4599309314915065,1.471048366013072,1.5642875816993465,1.471675816993464
Kyurem (White),Dragon Breath,Blizzard,45,1.3560336334017487,1.4219964778536398,1.3547296743562613,1.4328222797397945,1.5291834474531094,1.4407185478875502,1.3477085728791793,1.4355040542356683,1.3716308032314424,1.4281040016046533,1.5210485407682277,1.4318022264567245,1.429544771707421,1.515511877416916,1.430261971912889,1.4569265530853936,1.5271140660710576,1.4607573239143985,1.4145037331157204,1.4991291426622657,1.4202769691728683,1.3800513178533542,1.4526125864742097,1.3812934637737664,1.4052356243168964,1.4917178662761703,1.3831959167648213,1.390377076722046,1.4633376890050402,1.378878103416091,1.386237908496732,1.4461908496732028,1.3843869281045753
Mega Abomasnow,Powder Snow,Weather Ball Ice,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mega Abomasnow,Powder Snow,Blizzard,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mega Abomasnow,Razor Leaf,Weather Ball Ice,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mega Abomasnow,Razor Leaf,Blizzard,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mega Abomasnow,Powder Snow,Avalanche,30,1.609966909307463,1.6778438053750067,1.6112162331974131,1.6066382045062537,1.6842681560983341,1.603628612605247,1.6379261427270149,1.6913733629996865,1.6230471724879418,1.5797312205395646,1.6723999598836625,1.5785026577073513,1.588385233429283,1.6620048653311235,1.6027292375386464,1.6370117390400998,1.7120169333056305,1.6322719717431955,1.588017490225692,1.6527897884364762,1.5954106427292547,1.6372208571713527,1.6844858694568106,1.6532146192414752,1.5927270026209956,1.6779146637803881,1.6110315262258725,1.5806421504573456,1.6289061041627777,1.5872409930931493,1.5895424836601308,1.6312679738562093,1.5874300653594773
