Attacker,Fast Move,Charged Move,Level,Arceus (Flying),Arceus (Flying),Articuno (Galarian),Articuno (Galarian),Moltres (Galarian),Moltres (Galarian),Lugia,Lugia,Thundurus,Thundurus,Thundurus (Therian),Thundurus (Therian),Tornadus,Tornadus,Tornadus (Therian),Tornadus (Therian),Yveltal,Yveltal,Zapdos,Zapdos,Mega Aerodactyl,Mega Aerodactyl,Mega Pidgeot,Mega Pidgeot,Aerodactyl,Aerodactyl,Braviary (Hisuian),Braviary (Hisuian),Drifblim,Drifblim,Farfetch'd,Farfetch'd,Fearow,Fearow,Golbat,Golbat,Noctowl,Noctowl,Swellow,Swellow,Togekiss,Togekiss,Togetic,Togetic,Tranquill,Tranquill,Xatu,Xatu
Shadow Mamoswine,Powder Snow,Avalanche,35,1.0652705711327675,1.077355338584216,1.062585384616842,1.1272114734187384,1.0490055828937643,1.1206376985434006,1.1000998910864928,1.1723346802518544,1.0428962749794444,1.1168939691845707,1.0703443728330462,1.0523876374619785,1.0813280040923021,1.1186941047438625,1.0848166945476196,1.0860302248433469,1.0877067104654636,1.0719920522692712,1.0311662629159044,1.0940801898452563,1.0588093705393378,1.0795936074337373,1.0834448816916435,1.1115047454181302,1.0563704069612798,1.1389406087319984,1.0893839960293388,1.1456791485137594,1.0996490403677,1.1946724621506923,1.0286369848414558,1.1074137693243227,1.0314367339817683,1.0879094517381254,1.1052076966848616,1.1809837931252503,1.0493158082527314,1.0993162904174583,1.0450531796381206,1.1066758915065025,1.026377155623822,1.088745374572366,1.0571967852964035,1.1320471102684329,1.0508676238603245,1.0822437902729873,1.0979176735096972,1.1420226513416403
Shadow Mamoswine,Powder Snow,Avalanche,45,0.9478876852646463,0.9878144498025574,0.9736243247391327,1.039034862503529,0.9696685167068956,1.028356905369377,1.0014474540662117,1.0722373669998517,0.960767972687949,1.0279532942480247,0.9820900601961159,0.9748069682853678,0.9593609245828583,1.0239100560524022,0.9961004470403659,0.9941440547411796,0.9766687665220875,0.9872695472115379,0.9536243634745637,1.0132476392940128,0.9464384673514512,0.9910185003778443,0.9442929176018278,1.0179953501947483,0.9750541475092147,1.0526560778204204,0.9928858986378426,1.0480119119836762,0.9944345731949075,1.1015139723050265,0.9478541068495555,1.0111839713128628,0.9489466567802155,1.0208160683909802,1.0301586967059368,1.096925119602099,0.9848407409907521,1.0260368952448915,0.9618068177820515,1.0226673077148587,0.9568177057878936,1.024938909446345,0.980151511269398,1.056487910698882,0.9749070880457742,1.0217774925804124,1.0113046584438234,1.0468260805614507
Glaceon,Ice Shard or Frost Breath,Avalanche,40,1.2417090921307,1.265081527133464,1.2859790169376553,1.3333813350411836,1.2793626291873752,1.334031399885622,1.2933188974601886,1.33798632458803,1.2921745969327565,1.3538881242626817,1.2823346733882117,1.2418501265607385,1.2543101392856677,1.3064002913164294,1.2588467681722382,1.2608636479628001,1.2589121733884243,1.2542893194755562,1.2566332130320859,1.3111998813467147,1.2365641355761425,1.2969828430686556,1.2168198150142413,1.2833797978374715,1.2935364973211234,1.3219496903142456,1.2903766613356862,1.3444879501461424,1.322853492709144,1.3846899367097902,1.2409318304349461,1.2931404140075478,1.2575674968377895,1.315272386269464,1.3334000716558831,1.4033488587746843,1.2569070097107977,1.3223560497208267,1.2801576040432943,1.3320825075929033,1.2399706765342458,1.2999162186692732,1.2809876416681614,1.3398754772092547,1.2632683618085079,1.328266623887062,1.3073900527410645,1.3567481246454163
Shadow Articuno,Frost Breath,Ice Beam or Blizzard,50,1.1925622333456511,1.2504695559756533,1.277503557494993,1.3223668378938114,1.2484281212669417,1.3185133476551683,1.3013823637453357,1.369968228189909,1.2595806670718193,1.3486777428234369,1.202788590389892,1.2686980196966795,1.23117822756495,1.2977106516904588,1.211246892927689,1.275121683820541,1.22286380946762,1.2734316268677452,1.2778009591140553,1.33873733128986,1.203971563715749,1.2792045677181,1.214679428469825,1.2837689590273655,1.2834669605198161,1.3583330166812329,1.281155903601169,1.3497380466552693,1.3048796604942805,1.4028252984625325,1.230124001655027,1.319144401118397,1.234570593623239,1.3299821171544468,1.3432949061097177,1.4159940146262302,1.2540815244120003,1.3292606486079905,1.2599880389788571,1.3396109150181175,1.259568526146757,1.335355721566711,1.2624885768701906,1.3456318805674414,1.265327130290634,1.329857490441432,1.2779412073711416,1.3549515664726524
Shadow Cloyster,Frost Breath,Avalanche,40,1.3038218038889924,1.3192461450599657,1.382208545946161,1.4041731168961589,1.360564483488104,1.3887935738549497,1.412417428738988,1.4622263467574064,1.5168845851356665,1.450948235798806,1.4723629634356454,1.37198221768447,1.3316780606649123,1.3788349076847712,1.3748901301426182,1.3590386269339456,1.3829850808761535,1.3609841787630392,1.5170890394027785,1.4378405102091263,1.3498390663046824,1.3619300848050602,1.3334406881443386,1.3728868715130655,1.3859387468176465,1.4211726260592015,1.3887277339656978,1.4415044394198422,1.417039897795856,1.4752199004390667,1.3252128339832239,1.3947239740712414,1.3487809133336242,1.4019823788546255,1.405930578094375,1.4685662500790322,1.3588559195363505,1.4224245171120262,1.3373946081592927,1.3833507276287862,1.355777420931369,1.4115548418627384,1.3773775056154827,1.4340362294703939,1.341702093526911,1.3840672709285848,1.3798407261877246,1.4393267634636802
Aerodactyl,Rock Throw,Rock Slide,50,1.237028802487196,1.278183284112669,1.2630120945355738,1.3144162392304062,1.2913526596171776,1.3481484030498625,1.3255379618351604,1.3833729675386193,1.2904318449933865,1.3602178886783682,1.3030012975134537,1.2685044562142385,1.245234678793291,1.308938472409473,1.2340714697515287,1.282028599242016,1.225061996486707,1.2755289446989435,1.3482572798734365,1.3476383052355763,1.2060399115564386,1.265473424948921,1.2404714218138266,1.2890125705774012,1.3231276361287383,1.3703879621537411,1.3021232007941321,1.3617603264765896,1.3509890013069208,1.4295804637366187,1.2587484484120515,1.3207868901789184,1.2396846512845117,1.3081301522222708,1.3501338278994288,1.4384918544121057,1.2637344622416804,1.3305432067811647,1.257455116854486,1.316814615898777,1.252363331704252,1.3202052642602806,1.3103077199005868,1.3782657340268347,1.2586695542899922,1.3238148712601268,1.3128532705763696,1.3630728499085962
Shadow Glaceon,Frost Breath,Avalanche,50,0.9665416553413329,0.9920839734055711,1.0008583463285325,1.033032122616573,1.0151641029926737,1.0493693640548163,1.0358615445095347,1.069466194922955,0.9884620884424266,1.0327726736495906,1.0089422074745282,0.9802118562950672,0.9517398787048557,1.0074476432414154,1.0199155065354844,1.0031585811902803,0.994551160661778,0.9800031592990923,0.9729688040737627,1.0190774707074701,0.9624450726300764,1.0026365137563324,0.9671863310486888,1.0277545734826907,1.0157597750503478,1.044258464110651,1.0123090497987095,1.0616665747532124,1.0459331267713183,1.1072849821583284,0.9719648432112541,1.049299747984503,0.9808958869455228,1.0201836262921447,1.0428670783367404,1.0859975974203881,0.99235286743363,1.0499619089865861,0.9887777478100778,1.031907782872287,0.9765551909516164,1.0260629756335964,0.9887519536754721,1.042899724136753,0.9926606240474853,1.02318119836368,1.0236074047614045,1.0604210880208442
Shadow Omastar,Rock Throw,Rock Slide,35,1.2561546190564903,1.280114953410885,1.2820795097762425,1.3281819921592999,1.2667007506673418,1.30721482916214,1.282717553119502,1.3350205260071277,1.3858475136738997,1.3634643227397847,1.422812839001978,1.306696020249718,1.3998209617777237,1.3006584965124395,1.3261201999867682,1.2856994338748853,1.268418618548892,1.251874168542897,1.38003065209868,1.3369239135808573,1.3226118839038317,1.2723389963335106,1.2065640757254,1.2590706428204794,1.2865733176273892,1.3322947144431356,1.2936414272321182,1.3383223956322727,1.3327949015404044,1.3891393412531756,1.2592875860426043,1.320962423360959,1.2571422340471932,1.3113686919352727,1.3270985689898627,1.3831376846719636,1.2712273020954878,1.3368402781126145,1.2451774804460758,1.2957538374942834,1.2576904279829646,1.3179012776652936,1.2726263376805282,1.3393203344521596,1.2461832571321623,1.3112082564637308,1.3057195688260386,1.3633039860477822
Golem (Alola),Rock Throw,Stone Edge,40,1.425623860467815,1.446911925042069,1.4826824364908981,1.5385469504072882,1.467773413496281,1.5349877182891798,1.5726027750388287,1.6161810670945873,1.4454071783505522,1.5148759518106745,1.4815519111735052,1.4368025865186225,1.438004222354201,1.4673959692557126,1.4017560274840037,1.4334684850718762,1.4177659187755622,1.443757814983071,1.432321154891976,1.5014881099520443,1.5451258081670352,1.4955386380811104,1.3759028707347432,1.440664660473636,1.4863966257552155,1.5423015541285103,1.5274361661059945,1.5726244967738376,1.5425042952172572,1.6151632182557747,1.465087703900598,1.541858394874431,1.4341824050246434,1.5031294979718237,1.512023435688845,1.592646841872326,1.4605733902930598,1.533081321902815,1.442112175615934,1.5093987827902013,1.4235355721566711,1.4836347133980312,1.4699155328943436,1.5568679699710473,1.4256035934868052,1.4813641346488062,1.4995587400979178,1.566472652392259
Darmanitan (Galarian Zen),Ice Fang,Avalanche,40,0.9079548126815234,0.9495735057430895,0.9764286350398571,1.0094001239201984,0.9480579493557633,0.9995051265286592,0.9647932254509599,1.0259794159915963,0.9127104708111392,0.9976696278554319,0.9456724735711398,0.9438431923085103,0.9159690823098965,0.9722534106131083,0.9460262553517252,0.9465328380919976,0.9486442610190071,0.938703888031395,0.9300558659217877,0.9877272951994858,1.1329732150354053,0.98719807439335,0.9258413094603073,0.9812867145066544,1.0264562830109816,1.0244328760877,0.943826173275244,1.0139083439033805,0.9731860967121397,1.0461387098195274,0.9177627042140502,0.9847787655002068,0.9315654032363588,0.9775483054913421,0.9705789373854032,1.043794389765854,0.9280803093568887,0.9733073607267188,0.9358209130246139,0.9835829121568536,0.9134329400265307,0.978300635341758,0.9505239693561198,1.0026390632606523,0.8998155129541991,0.981738456191011,0.9610850791115968,1.0099073354205628
Shadow Aggron,Smack Down or Iron Tail,Meteor Beam,50,1.036011507557179,1.0776210385509273,1.1063098876570556,1.150610411191472,1.09538931958175,1.1484817052487721,1.1272419104331406,1.1695390187473014,1.1294507203374682,1.1732273084760303,1.1744134601067788,1.0855614404526406,1.082101813358072,1.1188783450452364,1.172945079248065,1.0939692080864214,1.1698694219814896,1.0961378520191918,1.1173916052800712,1.155811539031987,1.1532312687172885,1.102236278653195,1.0366079905527767,1.0842668169634022,1.0991944370558955,1.1647129232055327,1.1092152429272597,1.1780620967297193,1.1721611183717824,1.235921232323529,1.0564088418571411,1.1139335732286821,1.1142648405809743,1.1452654075980286,1.1518261712575608,1.2051992665809605,1.0897694288276647,1.1552570420158343,1.0843134725658736,1.1266930121838246,1.0714235844445996,1.1208196606856107,1.1124377599562718,1.1573872419653761,1.0853185743696694,1.1523221304243203,1.1097266289844718,1.1547351389968692
Shadow Mewtwo,Psycho Cut or Confusion,Ice Beam,35,1.12242965822433,1.1865732950155297,1.2370892774921887,1.324610286134391,1.2876296380049717,1.4244457662919066,1.2846290173939383,1.3563057053921854,1.1679566010081148,1.2654658063132305,1.0955459128326206,1.181005253865952,1.1511095601208616,1.236438830052411,1.1259028230646364,1.1909419981664728,1.2237659225819466,1.314201810697082,1.1234231472783902,1.2132753250605626,1.120996949256906,1.1705533320272048,1.1155339056686695,1.207711430268018,1.1651784017935176,1.2442907626249193,1.2822478354381515,1.3723377267964485,1.237140046109341,1.2973171412208697,1.168135712225886,1.233170756171872,1.147217254765124,1.2353447899856065,1.0546692237981834,1.108916942401315,1.1659803855389155,1.2578906257533824,1.1687090305709629,1.2299095887519496,1.127550094253997,1.2088598757243594,1.1684046905292647,1.2668528530067387,1.1579369535573916,1.248696558915537,1.2645037927339202,1.3649744699628081
Shadow Tyranitar,Smack Down,Stone Edge,30,1.1376203666659541,1.1744320281458722,1.1733859583635713,1.2199754054407408,1.1581514017864605,1.207874715079057,1.2050319329247465,1.2467271168854603,1.191101687341365,1.237919154184392,1.2002063259098545,1.1687214174802714,1.143328116804016,1.2037632707205312,1.2135151738542818,1.1675692534520399,1.1932044618438507,1.16456712844454,1.1911860384634398,1.2232916398872793,1.116418035769263,1.1734977189397968,1.1327811270242254,1.1701842141460093,1.1931736140137554,1.2286734810198732,1.1993051342855567,1.2416588540230518,1.21750686500536,1.2795195230473282,1.1627944882580838,1.2110159609814812,1.1592990796877045,1.2029157761591138,1.2226285063963414,1.305053847288668,1.1524604866006423,1.2182952583920772,1.15725224855471,1.2166703800555836,1.1364728059764015,1.1931369126579627,1.1831373252367898,1.2357904805828146,1.1492206090746238,1.2007834015133285,1.1961925574163181,1.2564980773675696
Shadow Mewtwo,Psycho Cut or Confusion,Ice Beam,45,1.0183836890760665,1.0866807966112564,1.1544151781400223,1.2428627460640178,1.1704724402997426,1.2699960836172302,1.1822258311905085,1.2628347156970787,1.0829505237193007,1.1571716476602438,1.0080764894816328,1.0855231531703995,1.0451302037047472,1.1292044720539975,1.0348785997145746,1.0940675002599072,1.1248284748007833,1.2175120329328382,1.0598111435210362,1.1440707964601768,1.0185031766912032,1.0967561364717735,1.0255068321272691,1.1226730006005161,1.0806607896036784,1.1550898658661704,1.1538190040258092,1.284067721833122,1.1234819894565267,1.220414396687176,1.0628158030016173,1.1814887721453915,1.0662646661141886,1.1361822305578575,0.9573015237412801,1.024236548715463,1.0817269211853537,1.1634538423707075,1.09193569192162,1.1585421625995287,1.04913775047127,1.12389164281226,1.0900185332274293,1.1963155602244486,1.058461003716478,1.1497419855084088,1.1887646823979323,1.279874345989788
Gigalith,Smack Down,Meteor Beam,50,1.1055439672364455,1.1340593763075033,1.1602360168182826,1.2151038636953608,1.1554951438492307,1.2082188323935654,1.1810722502561724,1.2286307187647016,1.1322458263325348,1.2117532978229006,1.122359772828792,1.1452747112500796,1.1384078169908574,1.169798029279035,1.1148090390994925,1.1493379455045507,1.1263700605024807,1.1498269046671983,1.1608543036535324,1.204752064072774,1.1021607097875674,1.1577010271768031,1.1132324869077455,1.1654941508402192,1.1737185089485884,1.2124292282555003,1.1754811669332157,1.219720950752771,1.214320327758117,1.2730289725252941,1.1597101194879447,1.215529671376807,1.133423474506041,1.1911719806341867,1.2248730215599908,1.284442243250648,1.1648906932564442,1.2244187504218942,1.1367426152420934,1.2062689822578188,1.1342805278223835,1.1854290302310968,1.176236473733207,1.2424778156413607,1.1559316595812947,1.1904360845966686,1.1761257380597172,1.251749280326112
Mega Mewtwo Y,Psycho Cut,Ice Beam,30,0.9901492500847491,1.0497408661818914,1.127670016048992,1.1947025062575911,1.1420614593523712,1.2187881499106115,1.1399300117935929,1.2189071270679066,1.0356884317019983,1.1167398026668574,0.9771999234254355,1.0387935251951588,1.0089822565752111,1.0780593643926355,0.9938567391571446,1.0557297721322785,1.1094640039738652,1.1793435128741439,1.0253977356998072,1.1047589855144113,0.9856111282151753,1.0639620476363738,0.9949140658286282,1.0475112135454934,1.051307139871566,1.1033552456586997,1.126454530414162,1.201577234875641,1.0717337993215759,1.1672418097182045,1.0107326002733301,1.0853968930626778,1.0102935403672526,1.11134252191739,0.9946363463929693,1.0774515795907185,1.0337611741675425,1.1374651635984918,1.0187037536498704,1.1046589350000586,1.0165468128185435,1.0927180060043287,1.0589134575144978,1.130168165552111,1.0679527285366701,1.1293280928317424,1.1114286314639323,1.205406484419323
Frosmoth,Powder Snow,Ice Beam,30,1.6545045306425357,1.671720056071855,2.0669832252979106,1.8078952703790934,1.730577445240284,1.785005333818375,1.6267385882489416,1.7973834979925114,1.5681818181818181,1.70992564258392,1.6345755429349327,1.6425073915725437,1.7433099095271742,1.721248759087382,1.6530418592342662,1.6765091156539738,1.6437928337199985,1.6649525248699644,1.787905275127305,1.7229248034804963,1.8545103417392035,1.7617481597581797,1.6728563424886858,1.7944658594926814,1.8024660865600184,1.7523083938138848,1.7000386036508024,1.7602933877460982,1.6583062893728249,1.7442840570346114,1.564615018117532,1.6686435046453603,1.569993893662494,1.6990775068696298,1.6768108916942401,1.7650108537587725,1.565608154369859,1.688859101823547,1.6972219942071134,1.7664903784138748,1.687844725267053,1.7151155484186273,1.5992040106929035,1.7249481155038562,1.6726558113419427,1.736250367637229,1.6369691748439832,1.7342564770649913
Shadow Aerodactyl,Rock Throw,Rock Slide,30,1.2158293045685125,1.233498352354804,1.3401609446736105,1.3210366853052244,1.2466714843090698,1.2915247182744318,1.353408219425272,1.3432966636377113,1.3657902262896364,1.3474980338183247,1.4195392763703656,1.2959224044413247,1.2423692002236895,1.2735101462217733,1.2128025555965105,1.2398177814322304,1.2372919097201736,1.2390771040265838,1.454181045137687,1.3318811489593119,1.4078367712502449,1.2957681435248678,1.2008138836609332,1.2541725795683667,1.279296652353992,1.322728654481894,1.2843875806540561,1.329322230188055,1.3329123775679526,1.3756736515954713,1.2147523101420565,1.274333287360357,1.2060452741309373,1.2657347232520608,1.303894708002276,1.3712301629117578,1.235171023828581,1.2885659456696787,1.2450133095676443,1.2836403719643046,1.212092438734902,1.2673811352370314,1.2648116357921888,1.3207956476807845,1.2309697601668406,1.2970375123659796,1.2658695971927465,1.3310920131957724
Shadow Tyranitar,Smack Down,Stone Edge,45,1.0149601297348803,1.0530514266866602,1.0316868115939282,1.07645156217137,1.0383182822974584,1.0852886570739868,1.0653094368076097,1.1012122266689868,1.0367832374075001,1.0903929682193543,1.0895135388084145,1.0332269797715525,1.0248355926251858,1.0493330501090268,1.0795920874800344,1.0348634778417307,1.0638787438170043,1.0351995401887586,1.0518435754189943,1.0885193058782814,1.0147303311035853,1.0557978113017437,0.9933339372041453,1.0362322487142583,1.0585173082038226,1.0958220921837596,1.0579275354326365,1.1020018750344676,1.0968736692168755,1.1450975785253823,1.0162493574231728,1.093082738819163,1.0312622671958827,1.080560038382693,1.0818036207296255,1.1255980104954793,1.0244264650575223,1.0666640951214574,1.031579441115424,1.0751316298650282,1.0297074635202124,1.076254974516512,1.0630129732592004,1.1153928275555784,1.0363760327263978,1.1012539771663858,1.0464163392238028,1.102876594314051
Shadow Weavile,Ice Shard or Snarl,Avalanche,35,1.1323216374447602,1.110332674682458,1.1441927091721789,1.106798747155425,1.1095374571696843,1.1512575849191407,1.0586251119746857,1.0959998453299307,1.1149210846173094,1.1766010974868621,1.1596452045178993,1.1201327292451024,1.1370964595516675,1.1340142276863319,1.1474855160811666,1.1340157078454165,1.144370452560079,1.114994680577733,1.16379097246255,1.1632333020220498,1.2862240756808194,1.1611771949956617,1.2435981306843533,1.1926884664029764,1.1425884409317173,1.171894592848729,1.052092869354216,1.1039761760326476,1.053921496644591,1.1064920189723784,1.0883057286507767,1.1353235452687538,1.0823701312862564,1.1418524010991407,1.1558831587599316,1.2108895867141563,1.0858253213627904,1.1540516301989412,1.0966497414308665,1.162400178242668,1.18300635341758,1.1524191859247366,1.130962446727647,1.1773638405630003,1.0879120879120878,1.1532311970268174,1.027263558235801,1.0718938454749847
Calyrex (Ice Rider),Confusion,Avalanche,40,1.1845484780278344,1.2557240018690619,1.373680031984296,1.4580518759509549,1.5032371607371977,1.6072195812583878,1.4151048211949553,1.4990945356353396,1.2319088942909233,1.316224573696064,1.1625954523216981,1.225299385276413,1.1979369421312052,1.2805329530035503,1.1806440027597418,1.2453410454884837,1.3922821748919463,1.4891603686863977,1.2259257428190042,1.2971295792752262,1.1895295138402977,1.260992471101906,1.1918866601582814,1.2689036725409877,1.2361306379906525,1.3125546224873657,1.3953785915182264,1.4905751943969558,1.2992554956754139,1.3883757470741127,1.232079942826335,1.322492069661597,1.218388799232346,1.2997448423256424,1.1105608126620161,1.188981854201353,1.240580912062797,1.3158275393205334,1.2315982035015303,1.3140823434220248,1.2028764923549535,1.302597221252531,1.2510355547584275,1.3463578364805657,1.2156225769364455,1.3046175235956259,1.4169380765270745,1.5162110483074531
Calyrex (Ice Rider),Confusion,Glaciate,40,1.1328011189938827,1.1954986760812003,1.3590729859651849,1.4156234190226977,1.5485557724040855,1.6002733274669525,1.3883275654286618,1.4508477853179438,1.1991831408858542,1.263155542844886,1.148395124752728,1.1658541254546613,1.188341273729067,1.2415910558920047,1.1351366166699746,1.2003742663528878,1.4794674106879468,1.5178471850835407,1.1891906857171108,1.2338023434023828,1.1856559097651767,1.2175515687536735,1.1754479547231085,1.2301754244708583,1.1939905764334842,1.2580461298780257,1.389477747752716,1.4410191363811835,1.2259798234922685,1.2816928295569685,1.1792444550321601,1.272076432162694,1.185174684869368,1.2430649452610458,1.0090518240637316,1.082119749625914,1.1846787336425617,1.2632715841039934,1.1672314926650798,1.2174677814651078,1.1614954967534734,1.2351323046847729,1.1883812891268886,1.2806972593029116,1.146493409267132,1.2002219192000214,1.3894643945283773,1.4539618835494106
Shadow Weavile,Ice Shard or Snarl,Avalanche,45,0.995958001081124,1.006711214676411,0.9514589045378666,0.9802618240522663,1.0222234239017332,1.0669701453649856,0.9746044635204197,1.009247981233365,1.0425901762413756,1.0898902513137667,1.033401399612873,1.0158849679875779,1.0144422720947472,1.055139870901737,1.047121646015859,1.0439214796752578,1.021513684903689,1.0218277116207013,1.0367073713353439,1.0597181984476194,1.1074729211564835,1.0727784152928992,1.097042039473022,1.0798283664959054,1.0473838203442642,1.092573241630885,0.9577234875641096,1.00401477968345,0.9601462576542974,1.0005433266274102,1.0086512782577077,1.0691726118083678,1.0130959131155406,1.0549025166833863,1.06646083162975,1.1128896288646757,0.9922371478992084,1.0714182393272838,1.0164405408257795,1.0769492360190909,1.0560636738113525,1.0625008727221952,1.0371006174895592,1.0855261472238593,1.012446191278308,1.0527526001978558,0.9544871929566515,1.0079111596730475
Shadow Mewtwo,Confusion or Psycho Cut,Ice Beam,40,1.0769247213967876,1.149575338156653,1.1837732753017949,1.2779090456060436,1.2442610244536318,1.3639646902862237,1.223861724957949,1.3008642190128183,1.131110803274586,1.2123945411646944,1.0424478335779463,1.115982813264416,1.092874452156045,1.1903397391157333,1.0692184827090834,1.1253376430670938,1.1596549893135757,1.2605146612413,1.0971335343847333,1.1779087358481237,1.06528030451454,1.1318928601416216,1.070297272181349,1.1690200854141715,1.121793897480716,1.1792662537523275,1.2117906579165059,1.2861633485909667,1.1694151162278448,1.2694459536850762,1.0997279235678372,1.1903908120917286,1.079142495747372,1.1790574431892529,1.0,1.0581571792872346,1.1157002478326696,1.1968582146404498,1.1232454237367637,1.1883039975608898,1.0818892690078894,1.17130489422607,1.1277426187364952,1.2061800199851394,1.1093419962033102,1.1722146466672014,1.239162866928621,1.326794982244542
Shadow Piloswine,Ice Shard,Avalanche,50,1.2311543900047948,1.2670956550420385,1.2796257382631087,1.3469708711741533,1.2765654470165848,1.3335725767996107,1.3042811386294944,1.3829205575856003,1.256311890036821,1.3341950273477996,1.2343011507455384,1.2230765958351943,1.2466652505451346,1.3123328290206653,1.2585462209494644,1.268256353549387,1.2662071091842346,1.2601892153709418,1.2517249221337816,1.3195609828447126,1.2154412382098574,1.2578969464580592,1.2466309040952506,1.3133552739728325,1.265208800395182,1.3442736634114831,1.2793911652787735,1.3570175922351513,1.3131910894433105,1.4077446071161104,1.2446556415110899,1.3445340220921047,1.2157172765734723,1.3042264578880796,1.33153491116778,1.4248877742418176,1.2405519821791917,1.3253261844376514,1.243289515344114,1.3185032306483577,1.2274104587027859,1.3093067094882358,1.2729765046503883,1.3598435351490772,1.250327531349429,1.3142696719339055,1.2887100502195794,1.3517681914647728
Kyurem (White),Steel Wing,Blizzard,40,1.2947269245686956,1.3246227518576092,1.319386310797163,1.3697767352143686,1.2966504276067297,1.4165245134426971,1.2798974021872926,1.3637788475790913,1.5202181567940514,1.677695903192364,1.4363920617701487,1.5686044285623124,1.3078200254034862,1.3724341828617503,1.273395900082225,1.3296114623796156,1.2974974925442444,1.333140476521269,1.467189400306521,1.588901962723093,1.0266786084133337,1.090819782249713,1.2617478034199217,1.3384092029911734,1.085695558004332,1.1365657179769733,1.3601610323719187,1.4375006893509072,1.3623988604825328,1.5225627395409624,1.3367980239978936,1.412791353736976,1.2677847079862172,1.3436341431499979,1.3790490842799636,1.4659213049800839,1.3093954618655919,1.370736458403649,1.300080912790084,1.3948544156103053,1.0338267122809468,1.0866648048593173,1.0919230999171556,1.1601714964086534,1.2880003208470363,1.3790406673618352,1.3039860477821437,1.4072408648694081
Kyurem (White),Dragon Breath,Blizzard,40,1.1829038868545705,1.2092356697624276,1.2422980943953583,1.2961579054075818,1.1847025105816074,1.289245350729283,1.2991254696492212,1.4096900798484233,1.221376416544525,1.31571738819576,1.153553272499096,1.2284070363516473,1.2121819687268345,1.2700616012866475,1.1887890215203152,1.2515882692071412,1.2056265974919733,1.2502298104610863,1.210765808078311,1.3056548178177683,1.1931316297685353,1.2875451314058608,1.230876585580236,1.2970809555920115,1.2481570847741006,1.3131055971425316,1.277141123917719,1.3631500579054763,1.3085361018517159,1.4560272544383912,1.2830096417869277,1.368908058226864,1.23862694639508,1.3175077419636236,1.3240215810659866,1.430535943855508,1.252943615656853,1.325441903972073,1.2170573542690293,1.3154777958886923,1.5423654262375202,1.6650562033093625,1.6643777703758744,1.8114393570592808,1.2158231063340552,1.3163150717895244,1.2947616145909941,1.3848311655565129
Rhyperior,Smack Down,Rock Wrecker,40,1.1126247186481675,1.1635948289289237,1.1600654844351304,1.2266526956432766,1.1777185677509638,1.2352549827367814,1.2022878281099962,1.2707267559886317,1.1598036499481643,1.2280703714295926,1.0876459702635441,1.1515240465403185,1.1364158542030631,1.2115490491032916,1.1197255380078823,1.1706011889572523,1.1116336431095877,1.1679167467593394,1.1540574479655905,1.2269481386265881,1.1082705925158833,1.1694589828990456,1.1205024205155045,1.1850662748216065,1.1763498879051564,1.238990006459703,1.1831136601775767,1.2497545910770418,1.2206346642388288,1.3238373544398596,1.161703674912547,1.2346377120503529,1.1481004928686702,1.236031752955031,1.2470231195599486,1.330070180614976,1.182171477063424,1.2485462733488268,1.1728484820056992,1.2290066489205764,1.1399148223137612,1.2139356280108917,1.1924551828981869,1.2736768385901083,1.173738670089035,1.2383225047458624,1.206677733184846,1.2824273497089786
Avalugg (Hisuian),Powder Snow,Avalanche,50,1.2258694038853275,1.2907841813845105,1.2812154790349382,1.355135582718627,1.277535530112723,1.3500131911637228,1.3441318820125154,1.415726079307078,1.2934838951846421,1.3740303149465556,1.3352455703741517,1.3036564354540232,1.249753985009342,1.3367024020600233,1.2622019337094899,1.319502490383434,1.2680570120262715,1.3117181448443473,1.2817758441686853,1.3636505660750482,1.2387276442105852,1.3330291919729071,1.2354861327777722,1.2947594078040239,1.315955466048562,1.3891685982444808,1.3416864280593392,1.3930623724700821,1.3787280283117227,1.4758072805768074,1.2634000777361234,1.3511666687563473,1.2778601648711128,1.3599685959785406,1.38081940609918,1.443149486817425,1.3074378730749574,1.3998302780161815,1.295636572581118,1.3787773960153382,1.2670041192487609,1.3487607344829995,1.3136556577587606,1.4092683218461486,1.27131627496591,1.335926846875752,1.3249248807547647,1.3991405938097539
Avalugg (Hisuian),Powder Snow,Glaciate,50,1.109130916787046,1.1793978689030256,1.1434840523799688,1.2309008467880225,1.1554115725014216,1.2394745164742067,1.2334035793231897,1.2976586818243334,1.1977934079290744,1.2635889965323703,1.2843766617744028,1.1831089273179758,1.1698283747404379,1.2416452442159382,1.1653009725254473,1.1940854574839093,1.1716755514023671,1.1904143820430007,1.1770504770850843,1.2441864834132594,1.145859106048308,1.2349408043885919,1.113168744988711,1.191433757049353,1.1981228863472282,1.270291066610936,1.2066177687089836,1.3204985385760768,1.2750260649936123,1.35386716398185,1.1529019396416615,1.221297190215279,1.1611964059842108,1.2385833296986086,1.2447786043962992,1.3307445889270586,1.1598858233927039,1.2439271352664925,1.1278656613154778,1.222240463430937,1.150394470432172,1.2334566780702367,1.1672175390948611,1.2871625372586197,1.153979840111227,1.2512365979519264,1.2065516589271081,1.26537580634994
